Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
People,Sex and Age,Total population,704457,(+/- 3112 ),681621,(+/- 6239 ),709482,(+/- 4694 ),683273,(+/- 5034 ),712529,(+/- 877 ),706308,(+/- 5741 ),665630,(+/- 7888 )
People,Sex and Age,Male,338759,(+/- 2756 ),332477,(+/- 4502 ),344900,(+/- 3675 ),334330,(+/- 4197 ),351008,(+/- 1995 ),341170,(+/- 4214 ),313408,(+/- 5899 )
People,Sex and Age,Female,365698,(+/- 2731 ),349144,(+/- 3857 ),364582,(+/- 3326 ),348943,(+/- 3430 ),361521,(+/- 1838 ),365138,(+/- 4725 ),352222,(+/- 5486 )
People,Sex and Age,Under 5 years,41250,(+/- 1409 ),40969,(+/- 1563 ),41654,(+/- 2115 ),40667,(+/- 1826 ),38861,(+/- 1274 ),43431,(+/- 1862 ),39811,(+/- 3139 )
People,Sex and Age,5 to 9 years,45932,(+/- 2817 ),45607,(+/- 2834 ),47570,(+/- 2651 ),41314,(+/- 2703 ),46187,(+/- 2459 ),42477,(+/- 2736 ),43701,(+/- 3325 )
People,Sex and Age,10 to 14 years,44301,(+/- 3087 ),40278,(+/- 2476 ),41834,(+/- 3109 ),43709,(+/- 2836 ),42149,(+/- 2411 ),51986,(+/- 3525 ),37490,(+/- 3122 )
People,Sex and Age,15 to 19 years,46822,(+/- 1837 ),45196,(+/- 2175 ),48807,(+/- 2691 ),46645,(+/- 2326 ),49414,(+/- 2167 ),45719,(+/- 2367 ),53084,(+/- 2297 )
People,Sex and Age,20 to 24 years,42524,(+/- 1637 ),45361,(+/- 2279 ),57540,(+/- 3153 ),38598,(+/- 2279 ),45689,(+/- 2167 ),39020,(+/- 2479 ),56990,(+/- 3044 )
People,Sex and Age,25 to 34 years,90338,(+/- 2158 ),93644,(+/- 3100 ),89632,(+/- 3894 ),81750,(+/- 3490 ),90941,(+/- 1968 ),93505,(+/- 3982 ),89755,(+/- 4037 )
People,Sex and Age,35 to 44 years,84166,(+/- 1611 ),81824,(+/- 2739 ),86387,(+/- 2816 ),82566,(+/- 2363 ),90774,(+/- 1850 ),94747,(+/- 3577 ),77805,(+/- 3119 )
