Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,Total population,766924,(+/- 10818 ),722770,(+/- 11620 ),752284,(+/- 17180 ),753807,(+/- 12768 ),785110,(+/- 12782 ),764776,(+/- 16691 ),818387,(+/- 22796 ),782511,(+/- 12157 ),784502,(+/- 19251 )
People,Sex and Age,Male,386302,(+/- 6329 ),352848,(+/- 6241 ),379643,(+/- 9882 ),384104,(+/- 7263 ),384661,(+/- 8738 ),378831,(+/- 9624 ),406508,(+/- 13177 ),377387,(+/- 8694 ),393944,(+/- 11809 )
People,Sex and Age,Female,380622,(+/- 6485 ),369922,(+/- 6927 ),372641,(+/- 10300 ),369703,(+/- 7397 ),400449,(+/- 8190 ),385945,(+/- 9916 ),411879,(+/- 12251 ),405124,(+/- 7495 ),390558,(+/- 10977 )
People,Sex and Age,Under 5 years,44846,(+/- 2450 ),42202,(+/- 2570 ),53643,(+/- 4457 ),35606,(+/- 2829 ),55395,(+/- 3873 ),43439,(+/- 4142 ),70400,(+/- 4826 ),42808,(+/- 4031 ),47983,(+/- 4621 )
People,Sex and Age,5 to 9 years,55455,(+/- 3431 ),39661,(+/- 2867 ),57253,(+/- 3765 ),41782,(+/- 3701 ),58231,(+/- 4039 ),43183,(+/- 4391 ),72893,(+/- 4822 ),44527,(+/- 3633 ),46907,(+/- 4517 )
People,Sex and Age,10 to 14 years,54119,(+/- 2911 ),40357,(+/- 3377 ),53767,(+/- 4120 ),40074,(+/- 3637 ),58578,(+/- 3695 ),43303,(+/- 3393 ),64406,(+/- 5543 ),57147,(+/- 5016 ),43800,(+/- 3624 )
People,Sex and Age,15 to 19 years,60494,(+/- 3155 ),41315,(+/- 2536 ),63657,(+/- 3270 ),42622,(+/- 2869 ),50766,(+/- 2969 ),41244,(+/- 4171 ),70185,(+/- 4716 ),51895,(+/- 3692 ),52835,(+/- 3862 )
People,Sex and Age,20 to 24 years,53154,(+/- 2940 ),52130,(+/- 3696 ),74160,(+/- 5193 ),38570,(+/- 3411 ),38921,(+/- 3990 ),41358,(+/- 4295 ),65453,(+/- 4804 ),39673,(+/- 3347 ),74465,(+/- 5511 )
People,Sex and Age,25 to 34 years,92339,(+/- 3687 ),95560,(+/- 3617 ),97683,(+/- 5295 ),76237,(+/- 4773 ),102752,(+/- 5747 ),99322,(+/- 6372 ),133814,(+/- 6742 ),86319,(+/- 5123 ),145461,(+/- 6754 )
People,Sex and Age,35 to 44 years,90333,(+/- 3942 ),78519,(+/- 3127 ),97076,(+/- 5022 ),77851,(+/- 4420 ),105174,(+/- 4781 ),94910,(+/- 5128 ),108695,(+/- 5337 ),92045,(+/- 5934 ),104712,(+/- 5908 )
People,Sex and Age,45 to 54 years,82392,(+/- 3026 ),84666,(+/- 3075 ),89804,(+/- 4720 ),84731,(+/- 3574 ),105763,(+/- 5030 ),111711,(+/- 5037 ),98198,(+/- 4535 ),97620,(+/- 4845 ),91628,(+/- 5490 )
People,Sex and Age,55 to 59 years,48337,(+/- 2742 ),45813,(+/- 2853 ),36599,(+/- 2856 ),51237,(+/- 3377 ),43592,(+/- 3108 ),56165,(+/- 3210 ),38277,(+/- 3473 ),51392,(+/- 3410 ),43285,(+/- 2865 )
People,Sex and Age,60 to 64 years,49353,(+/- 2833 ),51228,(+/- 2980 ),39797,(+/- 2853 ),57507,(+/- 3393 ),39743,(+/- 3023 ),51006,(+/- 3671 ),34236,(+/- 2841 ),49238,(+/- 3347 ),44463,(+/- 3848 )
