Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE
People,Sex and Age,Total population,725733,(+/- 3255 ),758929,(+/- 1748 ),794237,(+/- 3633 ),709349,(+/- 4800 )
People,Sex and Age,Male,362210,(+/- 3447 ),366715,(+/- 1917 ),391317,(+/- 2805 ),348540,(+/- 4674 )
People,Sex and Age,Female,363523,(+/- 2235 ),392214,(+/- 2011 ),402920,(+/- 2686 ),360809,(+/- 3209 )
People,Sex and Age,Under 5 years,44334,(+/- 1537 ),48740,(+/- 1173 ),53792,(+/- 1411 ),41850,(+/- 1825 )
People,Sex and Age,5 to 9 years,47368,(+/- 2812 ),52810,(+/- 2726 ),54742,(+/- 3540 ),46371,(+/- 3312 )
People,Sex and Age,10 to 14 years,47260,(+/- 2618 ),47518,(+/- 2785 ),57432,(+/- 3251 ),45123,(+/- 3253 )
People,Sex and Age,15 to 19 years,50266,(+/- 2693 ),52462,(+/- 2430 ),59580,(+/- 2224 ),52743,(+/- 3227 )
People,Sex and Age,20 to 24 years,42159,(+/- 2359 ),52970,(+/- 1949 ),58182,(+/- 2378 ),42098,(+/- 3091 )
People,Sex and Age,25 to 34 years,88901,(+/- 2077 ),105146,(+/- 2193 ),110405,(+/- 2556 ),78126,(+/- 3387 )
People,Sex and Age,35 to 44 years,87474,(+/- 2437 ),93393,(+/- 1687 ),102779,(+/- 3084 ),81320,(+/- 2640 )
People,Sex and Age,45 to 54 years,93555,(+/- 2180 ),97367,(+/- 1623 ),95500,(+/- 2714 ),92613,(+/- 2644 )
People,Sex and Age,55 to 59 years,50171,(+/- 2231 ),47640,(+/- 2622 ),46742,(+/- 2539 ),50560,(+/- 3016 )
People,Sex and Age,60 to 64 years,45229,(+/- 2261 ),47070,(+/- 2728 ),42622,(+/- 2378 ),48205,(+/- 2825 )
People,Sex and Age,65 to 74 years,73659,(+/- 1427 ),68058,(+/- 919 ),67260,(+/- 1447 ),75311,(+/- 1681 )
People,Sex and Age,75 to 84 years,40801,(+/- 2055 ),33772,(+/- 1753 ),31156,(+/- 1745 ),39711,(+/- 1756 )
