Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE,District 37 Estimate,District 37 MOE,District 38 Estimate,District 38 MOE,District 39 Estimate,District 39 MOE,District 40 Estimate,District 40 MOE,District 41 Estimate,District 41 MOE,District 42 Estimate,District 42 MOE,District 43 Estimate,District 43 MOE,District 44 Estimate,District 44 MOE,District 45 Estimate,District 45 MOE,District 46 Estimate,District 46 MOE,District 47 Estimate,District 47 MOE,District 48 Estimate,District 48 MOE,District 49 Estimate,District 49 MOE,District 50 Estimate,District 50 MOE,District 51 Estimate,District 51 MOE,District 52 Estimate,District 52 MOE,District 53 Estimate,District 53 MOE
People,Sex and Age,Total population,703162,(+/- 4603 ),716202,(+/- 5366 ),740253,(+/- 5318 ),737169,(+/- 6466 ),735968,(+/- 8328 ),763987,(+/- 8751 ),738468,(+/- 8538 ),723600,(+/- 9155 ),760794,(+/- 7672 ),744989,(+/- 5117 ),756337,(+/- 6793 ),756991,(+/- 7903 ),755243,(+/- 4005 ),749041,(+/- 9710 ),769371,(+/- 6848 ),730141,(+/- 11908 ),774647,(+/- 10326 ),739012,(+/- 13588 ),762005,(+/- 13750 ),743764,(+/- 6014 ),726385,(+/- 16942 ),755289,(+/- 12208 ),725299,(+/- 16655 ),738700,(+/- 2452 ),728858,(+/- 11165 ),726532,(+/- 3639 ),724293,(+/- 10270 ),709613,(+/- 13462 ),726264,(+/- 18931 ),759943,(+/- 20104 ),742627,(+/- 12155 ),719488,(+/- 12332 ),712919,(+/- 13911 ),758622,(+/- 21352 ),744729,(+/- 11704 ),749841,(+/- 10186 ),729010,(+/- 19550 ),708889,(+/- 13074 ),729909,(+/- 8462 ),723345,(+/- 16823 ),760165,(+/- 8689 ),793044,(+/- 11368 ),724077,(+/- 15843 ),723685,(+/- 13866 ),774130,(+/- 8246 ),736031,(+/- 8870 ),714311,(+/- 11946 ),727100,(+/- 7682 ),739697,(+/- 11243 ),751527,(+/- 12232 ),747202,(+/- 17459 ),750537,(+/- 15408 ),766812,(+/- 20024 )
People,Sex and Age,Male,353345,(+/- 3668 ),351736,(+/- 3980 ),371178,(+/- 4273 ),367265,(+/- 3897 ),358097,(+/- 5828 ),374577,(+/- 5801 ),358946,(+/- 4937 ),362034,(+/- 6132 ),375900,(+/- 6372 ),366593,(+/- 3820 ),369763,(+/- 5085 ),388621,(+/- 4132 ),367674,(+/- 4546 ),370815,(+/- 5503 ),379378,(+/- 5421 ),360766,(+/- 7130 ),395908,(+/- 7051 ),368429,(+/- 8548 ),381471,(+/- 8205 ),374704,(+/- 3926 ),384526,(+/- 9336 ),370892,(+/- 7396 ),366600,(+/- 9245 ),371449,(+/- 1982 ),364529,(+/- 8430 ),359485,(+/- 2787 ),352531,(+/- 6753 ),354241,(+/- 9079 ),359734,(+/- 10874 ),374134,(+/- 11847 ),364875,(+/- 8893 ),356153,(+/- 7331 ),344943,(+/- 8238 ),384655,(+/- 11695 ),375097,(+/- 8734 ),374649,(+/- 7893 ),358055,(+/- 12383 ),347401,(+/- 7961 ),361059,(+/- 6816 ),358179,(+/- 10750 ),371437,(+/- 6920 ),399728,(+/- 8535 ),347752,(+/- 9036 ),350235,(+/- 8137 ),383011,(+/- 6613 ),361582,(+/- 7821 ),354532,(+/- 9157 ),357714,(+/- 7002 ),368794,(+/- 7658 ),374454,(+/- 9110 ),379494,(+/- 9557 ),380718,(+/- 9376 ),381393,(+/- 11220 )
People,Sex and Age,Female,349817,(+/- 3626 ),364466,(+/- 4409 ),369075,(+/- 3888 ),369904,(+/- 4018 ),377871,(+/- 5660 ),389410,(+/- 6826 ),379522,(+/- 6773 ),361566,(+/- 7513 ),384894,(+/- 5647 ),378396,(+/- 3869 ),386574,(+/- 4521 ),368370,(+/- 5006 ),387569,(+/- 4643 ),378226,(+/- 6393 ),389993,(+/- 5376 ),369375,(+/- 7199 ),378739,(+/- 6021 ),370583,(+/- 8156 ),380534,(+/- 7425 ),369060,(+/- 3039 ),341859,(+/- 9879 ),384397,(+/- 7814 ),358699,(+/- 9417 ),367251,(+/- 1471 ),364329,(+/- 8037 ),367047,(+/- 2663 ),371762,(+/- 6812 ),355372,(+/- 8697 ),366530,(+/- 10868 ),385809,(+/- 11245 ),377752,(+/- 6879 ),363335,(+/- 8104 ),367976,(+/- 8662 ),373967,(+/- 12560 ),369632,(+/- 7646 ),375192,(+/- 7586 ),370955,(+/- 10253 ),361488,(+/- 8487 ),368850,(+/- 6416 ),365166,(+/- 9428 ),388728,(+/- 6563 ),393316,(+/- 6583 ),376325,(+/- 11047 ),373450,(+/- 8849 ),391119,(+/- 6502 ),374449,(+/- 7037 ),359779,(+/- 8313 ),369386,(+/- 5876 ),370903,(+/- 8036 ),377073,(+/- 8021 ),367708,(+/- 10511 ),369819,(+/- 9783 ),385419,(+/- 12565 )
People,Sex and Age,Under 5 years,35977,(+/- 1216 ),36122,(+/- 2381 ),45714,(+/- 2326 ),37353,(+/- 1436 ),40012,(+/- 3092 ),52567,(+/- 3565 ),46485,(+/- 3265 ),52060,(+/- 4082 ),51772,(+/- 2802 ),53791,(+/- 1941 ),44079,(+/- 2277 ),35178,(+/- 1267 ),45381,(+/- 2547 ),40024,(+/- 2048 ),43625,(+/- 3072 ),64197,(+/- 3299 ),51226,(+/- 3667 ),41282,(+/- 3406 ),47826,(+/- 3134 ),50605,(+/- 1331 ),61582,(+/- 3947 ),58902,(+/- 3328 ),52709,(+/- 3865 ),42929,(+/- 981 ),48800,(+/- 4219 ),44628,(+/- 1553 ),40467,(+/- 3885 ),33244,(+/- 3502 ),43674,(+/- 3822 ),42113,(+/- 3749 ),60018,(+/- 3835 ),41212,(+/- 3551 ),31600,(+/- 3398 ),49946,(+/- 4570 ),50573,(+/- 3258 ),42068,(+/- 4121 ),40054,(+/- 3983 ),44108,(+/- 3555 ),43652,(+/- 3851 ),54493,(+/- 3499 ),55588,(+/- 3714 ),54079,(+/- 3979 ),51886,(+/- 4031 ),52877,(+/- 3905 ),45134,(+/- 3491 ),53871,(+/- 3298 ),44615,(+/- 3550 ),36899,(+/- 2921 ),51271,(+/- 5100 ),51891,(+/- 4815 ),51034,(+/- 3853 ),43272,(+/- 4043 ),47957,(+/- 4700 )
People,Sex and Age,5 to 9 years,39585,(+/- 2692 ),38829,(+/- 2807 ),51531,(+/- 3212 ),46539,(+/- 3060 ),40371,(+/- 3037 ),51689,(+/- 4041 ),45341,(+/- 3025 ),57443,(+/- 4172 ),59364,(+/- 2994 ),55457,(+/- 3391 ),50267,(+/- 3152 ),27425,(+/- 2024 ),38133,(+/- 2446 ),42631,(+/- 2714 ),50679,(+/- 2958 ),63358,(+/- 4445 ),49382,(+/- 3366 ),44534,(+/- 3734 ),51034,(+/- 3542 ),52946,(+/- 3326 ),63071,(+/- 4488 ),59676,(+/- 5146 ),55905,(+/- 4376 ),43417,(+/- 2706 ),54080,(+/- 3964 ),48131,(+/- 2824 ),36359,(+/- 2775 ),29210,(+/- 3107 ),51201,(+/- 3318 ),40351,(+/- 3665 ),51887,(+/- 3612 ),44529,(+/- 3634 ),34934,(+/- 3419 ),45576,(+/- 3673 ),54096,(+/- 4162 ),51550,(+/- 5111 ),38894,(+/- 3979 ),40942,(+/- 3455 ),39048,(+/- 2690 ),60760,(+/- 3198 ),57413,(+/- 4063 ),57688,(+/- 4061 ),47028,(+/- 3556 ),58579,(+/- 3582 ),41154,(+/- 3412 ),55528,(+/- 3746 ),43203,(+/- 3011 ),36247,(+/- 3031 ),47933,(+/- 4032 ),47973,(+/- 3300 ),53487,(+/- 3905 ),39919,(+/- 3146 ),38479,(+/- 3678 )
People,Sex and Age,10 to 14 years,39593,(+/- 2549 ),43943,(+/- 2698 ),48119,(+/- 3010 ),45763,(+/- 2858 ),44233,(+/- 3012 ),51255,(+/- 3961 ),53401,(+/- 4025 ),53992,(+/- 3883 ),59210,(+/- 3905 ),57819,(+/- 3249 ),48035,(+/- 3210 ),22249,(+/- 1809 ),36728,(+/- 3108 ),43477,(+/- 2623 ),53154,(+/- 3158 ),58367,(+/- 4215 ),41139,(+/- 2608 ),48701,(+/- 3676 ),53144,(+/- 3900 ),49180,(+/- 2961 ),66901,(+/- 4188 ),60956,(+/- 3975 ),55234,(+/- 4788 ),41346,(+/- 2615 ),52062,(+/- 3839 ),49717,(+/- 2438 ),36931,(+/- 3287 ),28389,(+/- 2691 ),46617,(+/- 3946 ),42225,(+/- 3952 ),53370,(+/- 4155 ),47097,(+/- 3451 ),34050,(+/- 3318 ),41174,(+/- 2975 ),58601,(+/- 4019 ),51013,(+/- 3482 ),37417,(+/- 3286 ),49713,(+/- 3061 ),46086,(+/- 3671 ),57036,(+/- 3512 ),58133,(+/- 4062 ),58298,(+/- 4531 ),43664,(+/- 3760 ),56943,(+/- 4320 ),50927,(+/- 4030 ),51705,(+/- 4041 ),42938,(+/- 3127 ),42982,(+/- 3396 ),49856,(+/- 4665 ),50946,(+/- 4182 ),50040,(+/- 3749 ),39846,(+/- 3546 ),42579,(+/- 4157 )
People,Sex and Age,15 to 19 years,42500,(+/- 2014 ),42429,(+/- 2273 ),54018,(+/- 2299 ),46793,(+/- 2328 ),43123,(+/- 2519 ),47109,(+/- 2579 ),47418,(+/- 2298 ),54444,(+/- 3990 ),55139,(+/- 3046 ),55042,(+/- 2045 ),45983,(+/- 2329 ),23061,(+/- 1626 ),44448,(+/- 2500 ),40059,(+/- 2080 ),44859,(+/- 2933 ),57185,(+/- 2351 ),42728,(+/- 2641 ),42398,(+/- 2927 ),49145,(+/- 2601 ),58281,(+/- 1725 ),61824,(+/- 3224 ),55412,(+/- 3127 ),48178,(+/- 3426 ),59833,(+/- 2741 ),53938,(+/- 3139 ),50378,(+/- 1568 ),39363,(+/- 3078 ),30655,(+/- 3403 ),47248,(+/- 3328 ),39887,(+/- 3672 ),56708,(+/- 3587 ),47502,(+/- 3467 ),46424,(+/- 3518 ),43655,(+/- 3281 ),56410,(+/- 3536 ),46111,(+/- 3056 ),41835,(+/- 3467 ),52950,(+/- 3137 ),46464,(+/- 3591 ),61050,(+/- 4143 ),65967,(+/- 3348 ),58002,(+/- 3875 ),46819,(+/- 3594 ),56179,(+/- 3484 ),54340,(+/- 3061 ),52140,(+/- 3269 ),48587,(+/- 3997 ),41400,(+/- 2780 ),45328,(+/- 3613 ),50741,(+/- 3470 ),57554,(+/- 3432 ),42850,(+/- 3498 ),43260,(+/- 3551 )
People,Sex and Age,20 to 24 years,51269,(+/- 2092 ),39661,(+/- 2205 ),63929,(+/- 2512 ),35582,(+/- 1995 ),49132,(+/- 3200 ),55556,(+/- 3280 ),44327,(+/- 3026 ),52675,(+/- 4387 ),51820,(+/- 3255 ),51192,(+/- 1949 ),44961,(+/- 2525 ),39319,(+/- 2215 ),52519,(+/- 3150 ),43760,(+/- 2261 ),43953,(+/- 3347 ),59588,(+/- 3233 ),44887,(+/- 4063 ),40359,(+/- 2782 ),56276,(+/- 3996 ),61785,(+/- 1640 ),57646,(+/- 3674 ),54059,(+/- 3817 ),53029,(+/- 3150 ),79485,(+/- 2784 ),50033,(+/- 3353 ),52021,(+/- 1605 ),44223,(+/- 3597 ),39345,(+/- 3614 ),57208,(+/- 4172 ),50731,(+/- 5006 ),61532,(+/- 3625 ),57516,(+/- 4181 ),41834,(+/- 3287 ),58980,(+/- 4132 ),64735,(+/- 4114 ),41218,(+/- 3834 ),61774,(+/- 5026 ),50512,(+/- 4284 ),54330,(+/- 3762 ),60241,(+/- 3750 ),71767,(+/- 4122 ),51957,(+/- 3549 ),55057,(+/- 4659 ),55968,(+/- 3534 ),50674,(+/- 3924 ),59894,(+/- 3724 ),53676,(+/- 4442 ),44072,(+/- 3678 ),52983,(+/- 5126 ),49871,(+/- 5111 ),65566,(+/- 4520 ),58745,(+/- 4706 ),63888,(+/- 4803 )
People,Sex and Age,25 to 34 years,80664,(+/- 2260 ),76574,(+/- 3283 ),106344,(+/- 3133 ),76671,(+/- 2633 ),97022,(+/- 4288 ),137641,(+/- 4501 ),95124,(+/- 4287 ),95191,(+/- 5688 ),102376,(+/- 3603 ),105739,(+/- 2997 ),98360,(+/- 3422 ),187717,(+/- 2391 ),137138,(+/- 5361 ),110173,(+/- 3317 ),108854,(+/- 4794 ),113682,(+/- 4201 ),143789,(+/- 5496 ),99420,(+/- 6069 ),112298,(+/- 5109 ),102685,(+/- 2225 ),107368,(+/- 4488 ),112158,(+/- 4934 ),109051,(+/- 4602 ),93893,(+/- 1449 ),92789,(+/- 6238 ),95268,(+/- 2259 ),98154,(+/- 5686 ),139659,(+/- 7990 ),123993,(+/- 5944 ),113556,(+/- 7086 ),118263,(+/- 6430 ),108532,(+/- 7129 ),105089,(+/- 6277 ),146340,(+/- 6198 ),117883,(+/- 5186 ),88762,(+/- 5106 ),135195,(+/- 6006 ),99208,(+/- 5303 ),105313,(+/- 6885 ),110550,(+/- 5738 ),117043,(+/- 6015 ),113412,(+/- 5800 ),115315,(+/- 6540 ),108467,(+/- 4953 ),100554,(+/- 5505 ),127886,(+/- 4847 ),109239,(+/- 5628 ),100981,(+/- 5714 ),101466,(+/- 6286 ),103500,(+/- 5667 ),123318,(+/- 6937 ),128381,(+/- 7380 ),144116,(+/- 8039 )
People,Sex and Age,35 to 44 years,75275,(+/- 2244 ),88847,(+/- 3293 ),85926,(+/- 3703 ),86372,(+/- 2417 ),94568,(+/- 3832 ),99744,(+/- 3425 ),97383,(+/- 3231 ),85404,(+/- 4016 ),99205,(+/- 3534 ),93467,(+/- 2582 ),97515,(+/- 2332 ),122899,(+/- 1880 ),110698,(+/- 4045 ),108313,(+/- 2790 ),112501,(+/- 4130 ),86643,(+/- 3846 ),123927,(+/- 4691 ),101482,(+/- 4654 ),103102,(+/- 4694 ),94628,(+/- 1870 ),95268,(+/- 4832 ),94383,(+/- 3878 ),88032,(+/- 5442 ),82403,(+/- 1236 ),89107,(+/- 4750 ),88411,(+/- 2377 ),95418,(+/- 4641 ),109458,(+/- 6120 ),101905,(+/- 5356 ),105075,(+/- 6421 ),95658,(+/- 4842 ),92627,(+/- 4946 ),95024,(+/- 5955 ),111860,(+/- 6447 ),102594,(+/- 5337 ),85936,(+/- 4387 ),101737,(+/- 5890 ),95005,(+/- 4322 ),91459,(+/- 4546 ),99503,(+/- 5535 ),95968,(+/- 4540 ),109702,(+/- 4316 ),102312,(+/- 5506 ),94978,(+/- 5593 ),107032,(+/- 5344 ),99088,(+/- 3870 ),96181,(+/- 4746 ),87936,(+/- 5319 ),88639,(+/- 5197 ),91512,(+/- 5360 ),90921,(+/- 4202 ),107382,(+/- 4977 ),107653,(+/- 6022 )
People,Sex and Age,45 to 54 years,83667,(+/- 2565 ),99068,(+/- 2847 ),92623,(+/- 3231 ),100710,(+/- 2187 ),98709,(+/- 4238 ),87748,(+/- 3879 ),105595,(+/- 3607 ),88701,(+/- 4807 ),94713,(+/- 3419 ),95678,(+/- 2182 ),106992,(+/- 3185 ),100962,(+/- 2124 ),95385,(+/- 3679 ),108148,(+/- 3203 ),118110,(+/- 4563 ),81521,(+/- 2868 ),106146,(+/- 4403 ),111173,(+/- 4998 ),107862,(+/- 3984 ),89882,(+/- 1702 ),85201,(+/- 4130 ),88043,(+/- 3933 ),87369,(+/- 3359 ),84058,(+/- 1132 ),111006,(+/- 5020 ),98002,(+/- 1947 ),102798,(+/- 4410 ),100761,(+/- 4417 ),99556,(+/- 5202 ),108476,(+/- 6110 ),89750,(+/- 4467 ),95430,(+/- 5231 ),105536,(+/- 5423 ),99668,(+/- 4930 ),94991,(+/- 4877 ),93361,(+/- 4225 ),95470,(+/- 5806 ),96252,(+/- 4813 ),98129,(+/- 4521 ),92572,(+/- 4762 ),92515,(+/- 4586 ),103988,(+/- 4412 ),95417,(+/- 5255 ),93362,(+/- 4841 ),119200,(+/- 4977 ),94670,(+/- 3919 ),103048,(+/- 4993 ),108667,(+/- 4509 ),103395,(+/- 5460 ),102263,(+/- 4727 ),92774,(+/- 4993 ),92880,(+/- 4708 ),96220,(+/- 4860 )
People,Sex and Age,55 to 59 years,51824,(+/- 3129 ),53694,(+/- 2919 ),46894,(+/- 2362 ),59268,(+/- 3264 ),50379,(+/- 3466 ),43938,(+/- 3022 ),50679,(+/- 3080 ),46157,(+/- 3657 ),46414,(+/- 3187 ),45981,(+/- 2706 ),50121,(+/- 2593 ),45358,(+/- 3016 ),46733,(+/- 2943 ),48804,(+/- 2577 ),52759,(+/- 2825 ),40592,(+/- 3286 ),45916,(+/- 3291 ),51661,(+/- 3143 ),47504,(+/- 2791 ),45444,(+/- 2583 ),34014,(+/- 3032 ),42671,(+/- 2635 ),47018,(+/- 3638 ),45499,(+/- 2616 ),52331,(+/- 3757 ),48378,(+/- 2889 ),54944,(+/- 3806 ),47071,(+/- 3817 ),43287,(+/- 3152 ),54349,(+/- 4095 ),41822,(+/- 2862 ),46793,(+/- 3240 ),51704,(+/- 4050 ),41055,(+/- 3153 ),42506,(+/- 3522 ),48106,(+/- 3348 ),43066,(+/- 3004 ),43132,(+/- 3668 ),54823,(+/- 3748 ),35483,(+/- 2813 ),40275,(+/- 3044 ),51779,(+/- 3189 ),44256,(+/- 3549 ),38729,(+/- 3733 ),50433,(+/- 3686 ),39308,(+/- 3052 ),44090,(+/- 3282 ),54949,(+/- 4060 ),48006,(+/- 3998 ),52516,(+/- 4136 ),37868,(+/- 2826 ),47422,(+/- 4193 ),43511,(+/- 3054 )
People,Sex and Age,60 to 64 years,53294,(+/- 3519 ),54202,(+/- 2822 ),42682,(+/- 2296 ),54139,(+/- 3389 ),55486,(+/- 3395 ),43706,(+/- 2844 ),42516,(+/- 3212 ),44188,(+/- 3977 ),42527,(+/- 3497 ),39335,(+/- 2228 ),47725,(+/- 3143 ),41990,(+/- 2871 ),44019,(+/- 2796 ),48609,(+/- 2935 ),42749,(+/- 3128 ),31526,(+/- 2798 ),36952,(+/- 2982 ),44621,(+/- 3261 ),41636,(+/- 2854 ),41988,(+/- 2848 ),30940,(+/- 2929 ),35823,(+/- 2822 ),37960,(+/- 3446 ),45272,(+/- 2695 ),41044,(+/- 2962 ),45147,(+/- 2824 ),47515,(+/- 3222 ),40904,(+/- 3388 ),37953,(+/- 2932 ),45663,(+/- 3586 ),35619,(+/- 3381 ),41012,(+/- 3187 ),44906,(+/- 3424 ),35066,(+/- 3085 ),35058,(+/- 3069 ),43119,(+/- 3465 ),38948,(+/- 3305 ),41639,(+/- 3653 ),43268,(+/- 3375 ),27593,(+/- 2427 ),34870,(+/- 2599 ),39423,(+/- 2655 ),38174,(+/- 3013 ),31522,(+/- 2268 ),43027,(+/- 2695 ),31882,(+/- 3141 ),39478,(+/- 2848 ),49723,(+/- 3570 ),41463,(+/- 3233 ),45525,(+/- 3565 ),39578,(+/- 3616 ),42045,(+/- 3600 ),40988,(+/- 3329 )
People,Sex and Age,65 to 74 years,88850,(+/- 2215 ),89482,(+/- 2447 ),61137,(+/- 2650 ),88514,(+/- 2393 ),72734,(+/- 2763 ),56902,(+/- 3192 ),60327,(+/- 2606 ),57566,(+/- 3350 ),58360,(+/- 3146 ),53338,(+/- 1943 ),69926,(+/- 2567 ),60470,(+/- 1553 ),61761,(+/- 3220 ),66242,(+/- 2229 ),59669,(+/- 3462 ),44087,(+/- 2006 ),47836,(+/- 3095 ),61902,(+/- 3057 ),54551,(+/- 2784 ),57126,(+/- 1224 ),37094,(+/- 2012 ),52172,(+/- 2191 ),55712,(+/- 2910 ),69374,(+/- 1033 ),51371,(+/- 3763 ),60625,(+/- 1860 ),65333,(+/- 3330 ),61039,(+/- 3987 ),43011,(+/- 2992 ),63846,(+/- 3841 ),46278,(+/- 3527 ),56735,(+/- 3560 ),69140,(+/- 3445 ),50573,(+/- 3504 ),42076,(+/- 3018 ),86418,(+/- 3831 ),49995,(+/- 3278 ),55520,(+/- 3088 ),61868,(+/- 3665 ),40607,(+/- 3019 ),42875,(+/- 3613 ),54774,(+/- 3797 ),44724,(+/- 2821 ),46016,(+/- 2978 ),62661,(+/- 3925 ),38803,(+/- 2963 ),53372,(+/- 3821 ),68664,(+/- 3812 ),65701,(+/- 4083 ),60119,(+/- 3210 ),47954,(+/- 2503 ),61301,(+/- 3855 ),55508,(+/- 3480 )
