Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,952065,(*****)
People,Sex and Age,Male,460232,(+/- 1173 )
People,Sex and Age,Female,491833,(+/- 1173 )
People,Sex and Age,Under 5 years,55241,(+/- 775 )
People,Sex and Age,5 to 9 years,54716,(+/- 2814 )
People,Sex and Age,10 to 14 years,59275,(+/- 2971 )
People,Sex and Age,15 to 19 years,60834,(+/- 1650 )
People,Sex and Age,20 to 24 years,59452,(+/- 1708 )
People,Sex and Age,25 to 34 years,128569,(+/- 1402 )
People,Sex and Age,35 to 44 years,110018,(+/- 1350 )
People,Sex and Age,45 to 54 years,125863,(+/- 1107 )
People,Sex and Age,55 to 59 years,69814,(+/- 3131 )
People,Sex and Age,60 to 64 years,61609,(+/- 3058 )
People,Sex and Age,65 to 74 years,100290,(+/- 755 )
People,Sex and Age,75 to 84 years,48194,(+/- 2073 )
People,Sex and Age,85 years and over,18190,(+/- 1937 )
People,Sex and Age,Median age (years),40.6,(+/- 0.4 )
People,Sex and Age,18 years and over,747828,(+/- 234 )
People,Sex and Age,65 years and over,166674,(+/- 606 )
People,Race,Total population,952065,(*****)
People,Race,One race,926351,(+/- 3500 )
People,Race,White,659091,(+/- 5072 )
People,Race,Black or African American,209911,(+/- 4102 )
People,Race,American Indian and Alaska Native,4055,(+/- 1038 )
People,Race,Asian,35646,(+/- 1583 )
People,Race,Native Hawaiian and Other Pacific Islander,2053,(+/- 1731 )
People,Race,Some other race,15595,(+/- 4525 )
People,Race,Two or more races,25714,(+/- 3500 )
People,Hispanic or Latino and Race,Total population,952065,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),87152,(*****)
People,Hispanic or Latino and Race,Mexican,33194,(+/- 4866 )
People,Hispanic or Latino and Race,Puerto Rican,28560,(+/- 4592 )
People,Hispanic or Latino and Race,Cuban,1933,(+/- 1019 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,23465,(+/- 3397 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,864913,(*****)
People,Place of Birth,Total population,952065,(*****)
People,Place of Birth,Native,862674,(+/- 5326 )
People,Place of Birth,Born in United States,845571,(+/- 5737 )
People,Place of Birth,State of residence,428286,(+/- 8550 )
People,Place of Birth,Different state,417285,(+/- 8565 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",17103,(+/- 2657 )
People,Place of Birth,Foreign born,89391,(+/- 5326 )
People,Ancestry,Total population,952065,(*****)
People,Ancestry,American,94955,(+/- 8026 )
People,Ancestry,Arab,3973,(+/- 1954 )
People,Ancestry,Czech,2267,(+/- 1009 )
People,Ancestry,Danish,477,(+/- 267 )
People,Ancestry,Dutch,7372,(+/- 1771 )
People,Ancestry,English,83828,(+/- 5441 )
People,Ancestry,French (except Basque),17835,(+/- 2986 )
People,Ancestry,French Canadian,3171,(+/- 834 )
People,Ancestry,German,119089,(+/- 6700 )
People,Ancestry,Greek,4745,(+/- 1812 )
People,Ancestry,Hungarian,3741,(+/- 1317 )
People,Ancestry,Irish,139304,(+/- 8100 )
People,Ancestry,Italian,82929,(+/- 5560 )
People,Ancestry,Lithuanian,2388,(+/- 879 )
People,Ancestry,Norwegian,4159,(+/- 1104 )
People,Ancestry,Polish,39423,(+/- 3514 )
People,Ancestry,Portuguese,954,(+/- 447 )
People,Ancestry,Russian,8495,(+/- 2789 )
People,Ancestry,Scotch-Irish,7174,(+/- 1412 )
People,Ancestry,Scottish,15103,(+/- 1836 )
People,Ancestry,Slovak,1965,(+/- 832 )
People,Ancestry,Subsaharan African,13407,(+/- 3618 )
People,Ancestry,Swedish,7947,(+/- 1826 )
People,Ancestry,Swiss,1897,(+/- 590 )
People,Ancestry,Ukrainian,5691,(+/- 1214 )
People,Ancestry,Welsh,7058,(+/- 1541 )
People,Ancestry,West Indian (excluding Hispanic origin groups),10793,(+/- 3634 )
People,Veteran Status,Civilian population 18 years and over,745299,(+/- 735 )
People,Veteran Status,Civilian veterans,63316,(+/- 3921 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,937935,(+/- 681 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,115758,(+/- 4997 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,203704,(+/- 278 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,8656,(+/- 1608 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,571596,(+/- 1025 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,56546,(+/- 3557 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,162635,(+/- 743 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,50556,(+/- 2670 )
People,Residence 1 Year Ago,Population 1 year and over,942073,(+/- 1325 )
People,Residence 1 Year Ago,Same house,817779,(+/- 9121 )
People,Residence 1 Year Ago,Different house in the U.S.,118547,(+/- 9538 )
People,Residence 1 Year Ago,Same county,76715,(+/- 8070 )
People,Residence 1 Year Ago,Different county,41832,(+/- 3904 )
