Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,681170,(*****)
People,Sex and Age,Male,323591,(+/- 455 )
People,Sex and Age,Female,357579,(+/- 455 )
People,Sex and Age,Under 5 years,43546,(+/- 182 )
People,Sex and Age,5 to 9 years,34709,(+/- 2392 )
People,Sex and Age,10 to 14 years,26875,(+/- 2323 )
People,Sex and Age,15 to 19 years,37591,(+/- 1795 )
People,Sex and Age,20 to 24 years,58291,(+/- 1871 )
People,Sex and Age,25 to 34 years,154662,(+/- 208 )
People,Sex and Age,35 to 44 years,98911,(+/- 220 )
People,Sex and Age,45 to 54 years,77605,(+/- 428 )
People,Sex and Age,55 to 59 years,35336,(+/- 2254 )
People,Sex and Age,60 to 64 years,34547,(+/- 2205 )
People,Sex and Age,65 to 74 years,46167,(+/- 565 )
People,Sex and Age,75 to 84 years,22588,(+/- 1586 )
People,Sex and Age,85 years and over,10342,(+/- 1546 )
People,Sex and Age,Median age (years),33.9,(+/- 0.2 )
People,Sex and Age,18 years and over,560388,(+/- 182 )
People,Sex and Age,65 years and over,79097,(+/- 462 )
People,Race,Total population,681170,(*****)
People,Race,One race,663435,(+/- 2345 )
People,Race,White,277268,(+/- 3530 )
People,Race,Black or African American,320554,(+/- 2554 )
People,Race,American Indian and Alaska Native,2004,(+/- 567 )
People,Race,Asian,26436,(+/- 1256 )
People,Race,Native Hawaiian and Other Pacific Islander,41,(+/- 68 )
People,Race,Some other race,37132,(+/- 4302 )
People,Race,Two or more races,17735,(+/- 2345 )
People,Hispanic or Latino and Race,Total population,681170,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),74422,(*****)
People,Hispanic or Latino and Race,Mexican,14887,(+/- 2988 )
People,Hispanic or Latino and Race,Puerto Rican,4658,(+/- 1279 )
People,Hispanic or Latino and Race,Cuban,2598,(+/- 1225 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,52279,(+/- 3337 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,606748,(*****)
People,Place of Birth,Total population,681170,(*****)
People,Place of Birth,Native,590539,(+/- 5024 )
People,Place of Birth,Born in United States,576860,(+/- 5309 )
People,Place of Birth,State of residence,253314,(+/- 6445 )
People,Place of Birth,Different state,323546,(+/- 6827 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13679,(+/- 1876 )
People,Place of Birth,Foreign born,90631,(+/- 5024 )
