Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Sex and Age,Total population,762506,(+/- 1571 ),720418,(+/- 9374 ),732088,(+/- 6986 ),778620,(+/- 11856 ),728346,(+/- 12994 ),765005,(+/- 9769 ),762326,(+/- 13747 ),744430,(+/- 3535 ),832753,(+/- 15714 ),791447,(+/- 16014 ),758331,(+/- 11136 ),760472,(+/- 8232 ),728996,(+/- 7696 ),769968,(+/- 11969 ),762822,(+/- 18653 ),803454,(+/- 11632 ),768138,(+/- 11789 ),754652,(+/- 10080 ),799332,(+/- 10769 ),794621,(+/- 16410 ),758201,(+/- 13284 ),737019,(+/- 10420 ),749377,(+/- 8009 ),749624,(+/- 18637 ),763628,(+/- 14209 ),788816,(+/- 17401 ),747049,(+/- 15095 )
People,Sex and Age,Male,384615,(+/- 2002 ),369218,(+/- 6301 ),363650,(+/- 4757 ),381806,(+/- 7018 ),352183,(+/- 7951 ),371546,(+/- 4942 ),372624,(+/- 8774 ),361588,(+/- 3218 ),404925,(+/- 9456 ),386704,(+/- 9697 ),365334,(+/- 6002 ),367982,(+/- 5326 ),350232,(+/- 5175 ),371445,(+/- 7162 ),378168,(+/- 10671 ),387676,(+/- 7189 ),380068,(+/- 7929 ),368674,(+/- 6115 ),388783,(+/- 5883 ),387382,(+/- 10405 ),362578,(+/- 7778 ),363634,(+/- 6817 ),358972,(+/- 6122 ),365395,(+/- 9655 ),372931,(+/- 9753 ),382387,(+/- 9786 ),370360,(+/- 9162 )
People,Sex and Age,Female,377891,(+/- 1929 ),351200,(+/- 5914 ),368438,(+/- 4606 ),396814,(+/- 7242 ),376163,(+/- 7883 ),393459,(+/- 6267 ),389702,(+/- 7940 ),382842,(+/- 2736 ),427828,(+/- 9418 ),404743,(+/- 9531 ),392997,(+/- 7774 ),392490,(+/- 4683 ),378764,(+/- 4484 ),398523,(+/- 6820 ),384654,(+/- 10485 ),415778,(+/- 6758 ),388070,(+/- 6763 ),385978,(+/- 5907 ),410549,(+/- 6674 ),407239,(+/- 10038 ),395623,(+/- 7759 ),373385,(+/- 8056 ),390405,(+/- 6777 ),384229,(+/- 12477 ),390697,(+/- 8595 ),406429,(+/- 10825 ),376689,(+/- 9662 )
People,Sex and Age,Under 5 years,46651,(+/- 776 ),35008,(+/- 1487 ),40412,(+/- 1744 ),44760,(+/- 2632 ),49207,(+/- 3177 ),35515,(+/- 1743 ),41162,(+/- 3190 ),33583,(+/- 1374 ),51672,(+/- 3887 ),51676,(+/- 3706 ),29760,(+/- 2502 ),36979,(+/- 2171 ),34403,(+/- 1700 ),48334,(+/- 3507 ),46122,(+/- 3879 ),40804,(+/- 2797 ),32516,(+/- 2495 ),37251,(+/- 2530 ),34817,(+/- 2078 ),54338,(+/- 4225 ),38320,(+/- 2917 ),37359,(+/- 3915 ),39048,(+/- 3139 ),47397,(+/- 3559 ),41426,(+/- 3329 ),51373,(+/- 4048 ),37574,(+/- 3674 )
People,Sex and Age,5 to 9 years,40495,(+/- 3133 ),40141,(+/- 3009 ),43637,(+/- 3656 ),41612,(+/- 3457 ),51208,(+/- 3987 ),37711,(+/- 2889 ),44205,(+/- 2840 ),34873,(+/- 3069 ),56974,(+/- 4514 ),49302,(+/- 4053 ),31086,(+/- 2982 ),38339,(+/- 2821 ),32452,(+/- 2461 ),45505,(+/- 3561 ),49504,(+/- 4778 ),44109,(+/- 3371 ),37470,(+/- 3504 ),39280,(+/- 3428 ),36614,(+/- 2665 ),53503,(+/- 4200 ),40317,(+/- 3173 ),33320,(+/- 3742 ),39410,(+/- 3038 ),46727,(+/- 4001 ),39110,(+/- 3196 ),50582,(+/- 4519 ),35770,(+/- 3415 )
People,Sex and Age,10 to 14 years,48659,(+/- 3010 ),39606,(+/- 2922 ),41035,(+/- 3694 ),48251,(+/- 3911 ),43243,(+/- 3486 ),37013,(+/- 3162 ),39510,(+/- 3260 ),40683,(+/- 3359 ),55922,(+/- 4636 ),52422,(+/- 4564 ),35618,(+/- 4044 ),42557,(+/- 3257 ),36338,(+/- 2694 ),45297,(+/- 3347 ),49252,(+/- 4126 ),42503,(+/- 3008 ),39908,(+/- 3477 ),40911,(+/- 3647 ),42961,(+/- 2704 ),53974,(+/- 4761 ),39142,(+/- 3503 ),39957,(+/- 3532 ),45386,(+/- 3682 ),42051,(+/- 3679 ),42784,(+/- 3128 ),45404,(+/- 3905 ),36089,(+/- 4190 )
People,Sex and Age,15 to 19 years,50518,(+/- 2387 ),46928,(+/- 3835 ),54941,(+/- 3266 ),43116,(+/- 2729 ),52036,(+/- 2938 ),44686,(+/- 2408 ),56439,(+/- 2861 ),42393,(+/- 3252 ),58185,(+/- 3081 ),44583,(+/- 2870 ),34803,(+/- 3127 ),42006,(+/- 2194 ),34592,(+/- 1949 ),50716,(+/- 2350 ),48598,(+/- 3680 ),42588,(+/- 3075 ),41205,(+/- 3157 ),42443,(+/- 2889 ),40840,(+/- 2572 ),48016,(+/- 3504 ),43445,(+/- 2739 ),42620,(+/- 2693 ),41463,(+/- 2889 ),44412,(+/- 3068 ),46122,(+/- 3177 ),48185,(+/- 3693 ),38834,(+/- 2768 )
People,Sex and Age,20 to 24 years,53702,(+/- 2106 ),46886,(+/- 3326 ),67929,(+/- 3284 ),47888,(+/- 2872 ),73372,(+/- 3753 ),44361,(+/- 2685 ),63520,(+/- 3255 ),40694,(+/- 2614 ),52345,(+/- 4376 ),54130,(+/- 4457 ),28079,(+/- 2236 ),35871,(+/- 2176 ),38106,(+/- 1919 ),60137,(+/- 3008 ),44747,(+/- 4106 ),40204,(+/- 3131 ),31447,(+/- 3555 ),38538,(+/- 3088 ),37470,(+/- 2260 ),55440,(+/- 4301 ),38716,(+/- 3193 ),34730,(+/- 2970 ),46707,(+/- 3809 ),53751,(+/- 3733 ),41948,(+/- 4004 ),52941,(+/- 3871 ),43197,(+/- 3627 )
People,Sex and Age,25 to 34 years,106795,(+/- 2737 ),88282,(+/- 3918 ),96808,(+/- 3470 ),115077,(+/- 5061 ),113975,(+/- 5195 ),81353,(+/- 2453 ),119258,(+/- 5243 ),78795,(+/- 2448 ),115764,(+/- 6638 ),137430,(+/- 6456 ),66454,(+/- 4477 ),77793,(+/- 2684 ),93213,(+/- 2314 ),121895,(+/- 4595 ),107347,(+/- 6219 ),83205,(+/- 4672 ),72148,(+/- 4106 ),75946,(+/- 4127 ),81139,(+/- 2629 ),116173,(+/- 5178 ),88524,(+/- 4819 ),91093,(+/- 6081 ),99154,(+/- 5089 ),117278,(+/- 5036 ),94097,(+/- 5249 ),109027,(+/- 6076 ),112893,(+/- 5757 )
People,Sex and Age,35 to 44 years,88964,(+/- 2447 ),80656,(+/- 3884 ),85759,(+/- 3006 ),100154,(+/- 3640 ),89578,(+/- 3174 ),77848,(+/- 2624 ),99249,(+/- 3741 ),71465,(+/- 1525 ),113207,(+/- 5742 ),109656,(+/- 5242 ),63160,(+/- 4031 ),87003,(+/- 2914 ),81034,(+/- 2636 ),102622,(+/- 3657 ),99503,(+/- 4886 ),86609,(+/- 3766 ),72262,(+/- 4292 ),82645,(+/- 3748 ),81800,(+/- 3288 ),110549,(+/- 6293 ),86094,(+/- 4416 ),86715,(+/- 4498 ),97590,(+/- 4753 ),98352,(+/- 5453 ),104165,(+/- 4853 ),107850,(+/- 6098 ),102591,(+/- 6161 )
