Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
People,Sex and Age,Total population,864758,(+/- 5320 ),818382,(+/- 5320 )
People,Sex and Age,Male,437311,(+/- 4095 ),403892,(+/- 4409 )
People,Sex and Age,Female,427447,(+/- 3680 ),414490,(+/- 4267 )
People,Sex and Age,Under 5 years,54371,(+/- 2120 ),59772,(+/- 1733 )
People,Sex and Age,5 to 9 years,61405,(+/- 4239 ),64962,(+/- 3136 )
People,Sex and Age,10 to 14 years,60560,(+/- 3914 ),61273,(+/- 3313 )
People,Sex and Age,15 to 19 years,63235,(+/- 2702 ),58260,(+/- 2629 )
People,Sex and Age,20 to 24 years,53905,(+/- 3111 ),58132,(+/- 3482 )
People,Sex and Age,25 to 34 years,102816,(+/- 3352 ),117739,(+/- 4090 )
People,Sex and Age,35 to 44 years,104972,(+/- 3220 ),100859,(+/- 3654 )
People,Sex and Age,45 to 54 years,107827,(+/- 2784 ),90326,(+/- 3765 )
People,Sex and Age,55 to 59 years,58195,(+/- 3383 ),47004,(+/- 3369 )
People,Sex and Age,60 to 64 years,54349,(+/- 3569 ),47016,(+/- 2897 )
People,Sex and Age,65 to 74 years,87617,(+/- 2569 ),67566,(+/- 2651 )
People,Sex and Age,75 to 84 years,41289,(+/- 2239 ),30802,(+/- 1879 )
People,Sex and Age,85 years and over,14217,(+/- 1599 ),14671,(+/- 1714 )
People,Sex and Age,Median age (years),38.0,(+/- 0.5 ),34.0,(+/- 0.5 )
People,Sex and Age,18 years and over,650179,(+/- 4975 ),596504,(+/- 4831 )
People,Sex and Age,65 years and over,143123,(+/- 3277 ),113039,(+/- 3383 )
People,Race,Total population,864758,(+/- 5320 ),818382,(+/- 5320 )
People,Race,One race,844205,(+/- 5652 ),796865,(+/- 5400 )
People,Race,White,775188,(+/- 7623 ),734931,(+/- 7128 )
People,Race,Black or African American,3819,(+/- 1224 ),7618,(+/- 2134 )
People,Race,American Indian and Alaska Native,14469,(+/- 1899 ),12127,(+/- 2198 )
People,Race,Asian,10269,(+/- 1901 ),14137,(+/- 1788 )
People,Race,Native Hawaiian and Other Pacific Islander,1260,(+/- 988 ),1115,(+/- 597 )
People,Race,Some other race,39200,(+/- 4386 ),26937,(+/- 4771 )
People,Race,Two or more races,20553,(+/- 2941 ),21517,(+/- 2820 )
People,Hispanic or Latino and Race,Total population,864758,(+/- 5320 ),818382,(+/- 5320 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),92719,(+/- 3756 ),114529,(+/- 3788 )
People,Hispanic or Latino and Race,Mexican,79871,(+/- 3868 ),102874,(+/- 4657 )
People,Hispanic or Latino and Race,Puerto Rican,1751,(+/- 1189 ),531,(+/- 382 )
People,Hispanic or Latino and Race,Cuban,353,(+/- 324 ),179,(+/- 209 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,10744,(+/- 2691 ),10945,(+/- 2973 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,772039,(+/- 6050 ),703853,(+/- 6091 )
People,Place of Birth,Total population,864758,(+/- 5320 ),818382,(+/- 5320 )
People,Place of Birth,Native,829204,(+/- 6975 ),755983,(+/- 6055 )
People,Place of Birth,Born in United States,822437,(+/- 7200 ),748560,(+/- 6076 )
People,Place of Birth,State of residence,380943,(+/- 11097 ),431489,(+/- 9903 )
People,Place of Birth,Different state,441494,(+/- 10823 ),317071,(+/- 9184 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6767,(+/- 1543 ),7423,(+/- 2010 )
People,Place of Birth,Foreign born,35554,(+/- 3909 ),62399,(+/- 4510 )
People,Ancestry,Total population,864758,(+/- 5320 ),818382,(+/- 5320 )
