Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE
People,Sex and Age,Total population,691474,(+/- 15480 ),713917,(+/- 12291 ),720930,(+/- 14494 ),695098,(+/- 16697 ),723373,(+/- 12713 ),722323,(+/- 13209 ),723481,(+/- 15876 ),717789,(+/- 12657 ),724071,(+/- 16066 ),710610,(+/- 7793 ),730480,(+/- 9077 ),693736,(+/- 3049 ),704699,(+/- 7382 ),736397,(+/- 9581 ),700549,(+/- 4872 ),687998,(+/- 6074 ),691212,(+/- 7398 ),713402,(+/- 7888 )
People,Sex and Age,Male,322348,(+/- 8992 ),334166,(+/- 7606 ),361574,(+/- 8909 ),352478,(+/- 9278 ),356625,(+/- 8642 ),353209,(+/- 7618 ),343743,(+/- 8908 ),362008,(+/- 7953 ),350566,(+/- 9739 ),351902,(+/- 5523 ),357773,(+/- 6618 ),343254,(+/- 2941 ),348787,(+/- 4774 ),368410,(+/- 6671 ),347422,(+/- 3313 ),343262,(+/- 3958 ),340563,(+/- 4740 ),351634,(+/- 4362 )
People,Sex and Age,Female,369126,(+/- 9828 ),379751,(+/- 8372 ),359356,(+/- 8514 ),342620,(+/- 10190 ),366748,(+/- 7953 ),369114,(+/- 7989 ),379738,(+/- 10601 ),355781,(+/- 7877 ),373505,(+/- 9535 ),358708,(+/- 5007 ),372707,(+/- 5725 ),350482,(+/- 2782 ),355912,(+/- 4316 ),367987,(+/- 5885 ),353127,(+/- 3275 ),344736,(+/- 3502 ),350649,(+/- 4225 ),361768,(+/- 5144 )
People,Sex and Age,Under 5 years,37461,(+/- 4162 ),44947,(+/- 3796 ),44057,(+/- 3259 ),49686,(+/- 3912 ),46314,(+/- 3255 ),40341,(+/- 3201 ),44130,(+/- 4109 ),45591,(+/- 3305 ),42140,(+/- 4388 ),46061,(+/- 2628 ),48250,(+/- 3210 ),42550,(+/- 1456 ),37559,(+/- 2128 ),41637,(+/- 3248 ),41355,(+/- 1623 ),35063,(+/- 1612 ),42417,(+/- 1801 ),39931,(+/- 1855 )
People,Sex and Age,5 to 9 years,38041,(+/- 2864 ),46973,(+/- 3885 ),48407,(+/- 3077 ),49306,(+/- 4051 ),37439,(+/- 3087 ),44423,(+/- 3526 ),39812,(+/- 3354 ),52380,(+/- 3923 ),43555,(+/- 3975 ),45168,(+/- 2711 ),50814,(+/- 3810 ),42372,(+/- 2414 ),39252,(+/- 2957 ),53031,(+/- 3914 ),46376,(+/- 2126 ),42891,(+/- 2723 ),42032,(+/- 2588 ),45085,(+/- 2982 )
People,Sex and Age,10 to 14 years,47802,(+/- 4137 ),49526,(+/- 4203 ),54810,(+/- 4523 ),47672,(+/- 3392 ),33223,(+/- 3394 ),48952,(+/- 4147 ),38157,(+/- 3438 ),45488,(+/- 4579 ),41493,(+/- 3621 ),50092,(+/- 2814 ),55168,(+/- 3597 ),42843,(+/- 2444 ),37313,(+/- 2412 ),62077,(+/- 4347 ),43985,(+/- 2215 ),43729,(+/- 2466 ),43833,(+/- 2588 ),44462,(+/- 2875 )
People,Sex and Age,15 to 19 years,47384,(+/- 3619 ),52432,(+/- 3552 ),45630,(+/- 3184 ),47664,(+/- 3418 ),29325,(+/- 2640 ),51787,(+/- 3325 ),41926,(+/- 4094 ),45771,(+/- 3403 ),46234,(+/- 3985 ),52324,(+/- 3025 ),52755,(+/- 2926 ),44440,(+/- 2053 ),55398,(+/- 2248 ),55024,(+/- 3154 ),44616,(+/- 2169 ),46945,(+/- 2177 ),45351,(+/- 2389 ),49768,(+/- 2097 )
People,Sex and Age,20 to 24 years,48303,(+/- 3661 ),56444,(+/- 3656 ),45762,(+/- 3860 ),49133,(+/- 3599 ),54834,(+/- 3878 ),42288,(+/- 3658 ),58353,(+/- 4219 ),40789,(+/- 4058 ),38750,(+/- 3393 ),48993,(+/- 2480 ),51870,(+/- 3323 ),44396,(+/- 1845 ),72889,(+/- 3360 ),44585,(+/- 3535 ),40579,(+/- 1551 ),46937,(+/- 2217 ),46198,(+/- 2438 ),42971,(+/- 2538 )
People,Sex and Age,25 to 34 years,92967,(+/- 5860 ),83073,(+/- 5596 ),96136,(+/- 5192 ),124415,(+/- 5088 ),160634,(+/- 6357 ),85431,(+/- 4894 ),146103,(+/- 8059 ),103710,(+/- 4762 ),100078,(+/- 5800 ),85753,(+/- 4206 ),93074,(+/- 4213 ),92351,(+/- 2351 ),94334,(+/- 3527 ),76718,(+/- 3695 ),85916,(+/- 2437 ),77556,(+/- 2994 ),84637,(+/- 2911 ),82865,(+/- 2219 )
People,Sex and Age,35 to 44 years,79928,(+/- 5257 ),86953,(+/- 5087 ),90070,(+/- 5076 ),105512,(+/- 4892 ),105621,(+/- 4911 ),84162,(+/- 4740 ),98863,(+/- 5336 ),104997,(+/- 5428 ),97823,(+/- 6096 ),93252,(+/- 3313 ),107148,(+/- 3969 ),83647,(+/- 2394 ),79084,(+/- 3312 ),98564,(+/- 4720 ),85319,(+/- 2121 ),84085,(+/- 2881 ),79570,(+/- 2628 ),89885,(+/- 2433 )
People,Sex and Age,45 to 54 years,96312,(+/- 4287 ),94850,(+/- 4683 ),101262,(+/- 5368 ),86379,(+/- 4488 ),87159,(+/- 4599 ),113079,(+/- 5066 ),85615,(+/- 4766 ),97217,(+/- 4670 ),95448,(+/- 4408 ),97606,(+/- 3356 ),103126,(+/- 4762 ),92330,(+/- 2062 ),85829,(+/- 3022 ),115011,(+/- 4699 ),89897,(+/- 1979 ),93445,(+/- 2539 ),87585,(+/- 2292 ),94297,(+/- 2226 )
People,Sex and Age,55 to 59 years,51574,(+/- 3577 ),48741,(+/- 3110 ),49266,(+/- 3540 ),38573,(+/- 2657 ),40591,(+/- 2804 ),57549,(+/- 3422 ),43976,(+/- 3299 ),45827,(+/- 3353 ),50635,(+/- 4087 ),47599,(+/- 2438 ),42385,(+/- 3198 ),48299,(+/- 2404 ),46232,(+/- 2484 ),51960,(+/- 3709 ),48832,(+/- 2367 ),48447,(+/- 2221 ),49584,(+/- 2344 ),49978,(+/- 2458 )
People,Sex and Age,60 to 64 years,43951,(+/- 3452 ),43868,(+/- 3569 ),47508,(+/- 3338 ),31170,(+/- 2697 ),37667,(+/- 3296 ),48569,(+/- 3235 ),39318,(+/- 3061 ),44967,(+/- 3700 ),47453,(+/- 3378 ),43381,(+/- 2676 ),39643,(+/- 3020 ),47011,(+/- 2611 ),46934,(+/- 2615 ),44988,(+/- 3221 ),47904,(+/- 2478 ),47360,(+/- 2276 ),46998,(+/- 2565 ),46970,(+/- 2594 )
People,Sex and Age,65 to 74 years,60935,(+/- 3169 ),62220,(+/- 3079 ),59516,(+/- 3622 ),40213,(+/- 2989 ),51545,(+/- 3469 ),62909,(+/- 3336 ),53125,(+/- 3287 ),53378,(+/- 3491 ),61472,(+/- 3617 ),57572,(+/- 3158 ),51156,(+/- 3512 ),65284,(+/- 1494 ),60233,(+/- 2150 ),57614,(+/- 3732 ),68613,(+/- 1333 ),68749,(+/- 1463 ),68451,(+/- 1982 ),70874,(+/- 1836 )
People,Sex and Age,75 to 84 years,33151,(+/- 2541 ),30928,(+/- 2539 ),27379,(+/- 2354 ),18233,(+/- 1879 ),24614,(+/- 2277 ),27980,(+/- 1976 ),25829,(+/- 2565 ),26442,(+/- 2265 ),36115,(+/- 2588 ),27502,(+/- 2201 ),25056,(+/- 2183 ),31817,(+/- 1643 ),32582,(+/- 1895 ),24425,(+/- 2614 ),38550,(+/- 1812 ),36463,(+/- 1707 ),37246,(+/- 1609 ),37501,(+/- 1822 )
People,Sex and Age,85 years and over,13665,(+/- 1598 ),12962,(+/- 1307 ),11127,(+/- 1392 ),7142,(+/- 1139 ),14407,(+/- 1959 ),14853,(+/- 1651 ),8274,(+/- 1501 ),11232,(+/- 1526 ),22875,(+/- 2452 ),15307,(+/- 1923 ),10035,(+/- 1693 ),16396,(+/- 1548 ),17060,(+/- 1904 ),10763,(+/- 2119 ),18607,(+/- 1485 ),16328,(+/- 1342 ),17310,(+/- 1269 ),18815,(+/- 1698 )
People,Sex and Age,Median age (years),39.4,(+/- 1.1 ),38.0,(+/- 0.9 ),37.7,(+/- 0.7 ),33.2,(+/- 0.5 ),35.0,(+/- 0.6 ),40.5,(+/- 0.9 ),34.5,(+/- 0.6 ),37.3,(+/- 0.7 ),40.1,(+/- 0.7 ),38.2,(+/- 0.5 ),36.1,(+/- 0.6 ),39.4,(+/- 0.5 ),36.9,(+/- 0.6 ),38.9,(+/- 0.8 ),40.5,(+/- 0.4 ),41.0,(+/- 0.6 ),40.2,(+/- 0.6 ),40.6,(+/- 0.5 )
People,Sex and Age,18 years and over,541210,(+/- 11140 ),540224,(+/- 9705 ),546105,(+/- 12513 ),518021,(+/- 12686 ),589883,(+/- 10813 ),554766,(+/- 10342 ),577725,(+/- 12572 ),544213,(+/- 10401 ),568467,(+/- 11515 ),536750,(+/- 6303 ),543430,(+/- 8688 ),537734,(+/- 2911 ),567034,(+/- 6121 ),543312,(+/- 8936 ),541763,(+/- 4398 ),537066,(+/- 4290 ),536799,(+/- 5280 ),554318,(+/- 5355 )
People,Sex and Age,65 years and over,107751,(+/- 4164 ),106110,(+/- 4435 ),98022,(+/- 4427 ),65588,(+/- 4089 ),90566,(+/- 4697 ),105742,(+/- 4258 ),87228,(+/- 4663 ),91052,(+/- 4265 ),120462,(+/- 5295 ),100381,(+/- 4131 ),86247,(+/- 4674 ),113497,(+/- 1903 ),109875,(+/- 2887 ),92802,(+/- 4985 ),125770,(+/- 1939 ),121540,(+/- 1909 ),123007,(+/- 2202 ),127190,(+/- 2302 )
People,Race,Total population,691474,(+/- 15480 ),713917,(+/- 12291 ),720930,(+/- 14494 ),695098,(+/- 16697 ),723373,(+/- 12713 ),722323,(+/- 13209 ),723481,(+/- 15876 ),717789,(+/- 12657 ),724071,(+/- 16066 ),710610,(+/- 7793 ),730480,(+/- 9077 ),693736,(+/- 3049 ),704699,(+/- 7382 ),736397,(+/- 9581 ),700549,(+/- 4872 ),687998,(+/- 6074 ),691212,(+/- 7398 ),713402,(+/- 7888 )
People,Race,One race,678321,(+/- 15517 ),701179,(+/- 12858 ),705313,(+/- 14966 ),677161,(+/- 16770 ),698365,(+/- 12488 ),701526,(+/- 12640 ),707299,(+/- 16300 ),697064,(+/- 12241 ),701515,(+/- 15966 ),692115,(+/- 8007 ),706419,(+/- 9692 ),676694,(+/- 4479 ),683388,(+/- 7660 ),720513,(+/- 9948 ),690432,(+/- 5262 ),672554,(+/- 6201 ),669608,(+/- 8625 ),700662,(+/- 7616 )
People,Race,White,292771,(+/- 9617 ),264797,(+/- 10688 ),529893,(+/- 12176 ),385144,(+/- 15151 ),593685,(+/- 11920 ),599312,(+/- 12468 ),256647,(+/- 10330 ),465992,(+/- 13220 ),514493,(+/- 14600 ),505898,(+/- 11032 ),478688,(+/- 11631 ),541201,(+/- 4109 ),573421,(+/- 7334 ),636375,(+/- 11239 ),648770,(+/- 5148 ),623579,(+/- 6153 ),565738,(+/- 6834 ),647359,(+/- 7275 )
People,Race,Black or African American,345746,(+/- 11428 ),406653,(+/- 12101 ),38014,(+/- 5647 ),26083,(+/- 4248 ),18194,(+/- 3280 ),19108,(+/- 2428 ),341264,(+/- 13815 ),33339,(+/- 5295 ),72697,(+/- 8031 ),48352,(+/- 3250 ),77608,(+/- 7290 ),117759,(+/- 3342 ),77940,(+/- 3883 ),25846,(+/- 5302 ),31367,(+/- 3625 ),23523,(+/- 2539 ),80747,(+/- 5002 ),29237,(+/- 3368 )
