Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,Total population,711958,(+/- 2757 ),724060,(+/- 3598 ),740262,(+/- 2628 ),749049,(+/- 4989 ),768412,(+/- 8156 ),720656,(+/- 2663 ),751554,(+/- 7835 ),717028,(+/- 2312 ),750074,(+/- 4283 )
People,Sex and Age,Male,349843,(+/- 1563 ),355911,(+/- 2449 ),365181,(+/- 2124 ),376172,(+/- 3711 ),371206,(+/- 5158 ),357738,(+/- 2189 ),364001,(+/- 4780 ),358359,(+/- 2322 ),368926,(+/- 2672 )
People,Sex and Age,Female,362115,(+/- 2068 ),368149,(+/- 2962 ),375081,(+/- 2014 ),372877,(+/- 3405 ),397206,(+/- 5258 ),362918,(+/- 2335 ),387553,(+/- 4777 ),358669,(+/- 2562 ),381148,(+/- 2968 )
People,Sex and Age,Under 5 years,42267,(+/- 774 ),48124,(+/- 946 ),51068,(+/- 725 ),44796,(+/- 1403 ),48450,(+/- 2549 ),40804,(+/- 1125 ),58873,(+/- 2227 ),43232,(+/- 1075 ),42753,(+/- 1600 )
People,Sex and Age,5 to 9 years,48613,(+/- 2616 ),47074,(+/- 2722 ),51170,(+/- 2333 ),49067,(+/- 2679 ),49298,(+/- 2984 ),45521,(+/- 2798 ),58324,(+/- 3430 ),46866,(+/- 2427 ),48170,(+/- 2406 )
People,Sex and Age,10 to 14 years,44557,(+/- 2473 ),53449,(+/- 2669 ),55716,(+/- 2283 ),47174,(+/- 2939 ),56278,(+/- 3497 ),43424,(+/- 2861 ),48789,(+/- 3481 ),43875,(+/- 2261 ),44250,(+/- 2585 )
People,Sex and Age,15 to 19 years,48097,(+/- 1323 ),53039,(+/- 1747 ),51590,(+/- 1718 ),56462,(+/- 1993 ),49934,(+/- 2100 ),51170,(+/- 1689 ),48460,(+/- 2073 ),48871,(+/- 1662 ),56569,(+/- 2187 )
People,Sex and Age,20 to 24 years,46566,(+/- 1430 ),48005,(+/- 2051 ),47862,(+/- 1925 ),68465,(+/- 2197 ),46020,(+/- 2388 ),53164,(+/- 2077 ),52671,(+/- 2181 ),48883,(+/- 1749 ),62667,(+/- 2615 )
People,Sex and Age,25 to 34 years,88736,(+/- 1713 ),87582,(+/- 2767 ),93147,(+/- 1638 ),92947,(+/- 2534 ),105035,(+/- 3771 ),83699,(+/- 1684 ),121728,(+/- 2794 ),89464,(+/- 1881 ),95147,(+/- 2742 )
People,Sex and Age,35 to 44 years,91983,(+/- 1508 ),87637,(+/- 2248 ),88517,(+/- 1978 ),88467,(+/- 2272 ),100247,(+/- 3598 ),85142,(+/- 1839 ),97196,(+/- 2739 ),82447,(+/- 1384 ),91578,(+/- 1955 )
