Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE
People,Sex and Age,Total population,708078,(+/- 2182 ),716597,(+/- 2455 ),759978,(+/- 1780 ),722636,(+/- 1942 )
People,Sex and Age,Male,358502,(+/- 2938 ),358155,(+/- 2634 ),373421,(+/- 1229 ),358775,(+/- 1473 )
People,Sex and Age,Female,349576,(+/- 3046 ),358442,(+/- 2485 ),386557,(+/- 1257 ),363861,(+/- 1680 )
People,Sex and Age,Under 5 years,50792,(+/- 1682 ),44008,(+/- 1350 ),52473,(+/- 439 ),50133,(+/- 900 )
People,Sex and Age,5 to 9 years,50331,(+/- 2687 ),45563,(+/- 2354 ),54079,(+/- 2763 ),52697,(+/- 2279 )
People,Sex and Age,10 to 14 years,44503,(+/- 2703 ),44981,(+/- 2333 ),56406,(+/- 2725 ),51019,(+/- 2576 )
People,Sex and Age,15 to 19 years,50988,(+/- 2339 ),54657,(+/- 2462 ),49366,(+/- 1468 ),50515,(+/- 1603 )
People,Sex and Age,20 to 24 years,64110,(+/- 2716 ),56379,(+/- 2641 ),44142,(+/- 1851 ),48211,(+/- 1750 )
People,Sex and Age,25 to 34 years,89968,(+/- 2576 ),87003,(+/- 2232 ),104027,(+/- 1376 ),96170,(+/- 868 )
People,Sex and Age,35 to 44 years,80028,(+/- 2588 ),83040,(+/- 2211 ),104826,(+/- 1039 ),85454,(+/- 1038 )
People,Sex and Age,45 to 54 years,76482,(+/- 2325 ),85891,(+/- 1543 ),100788,(+/- 742 ),87350,(+/- 1218 )
People,Sex and Age,55 to 59 years,46280,(+/- 2322 ),49917,(+/- 2635 ),49132,(+/- 2055 ),49843,(+/- 2648 )
People,Sex and Age,60 to 64 years,42777,(+/- 2274 ),46240,(+/- 2902 ),44717,(+/- 2009 ),44332,(+/- 2587 )
People,Sex and Age,65 to 74 years,59435,(+/- 1166 ),68160,(+/- 1215 ),59534,(+/- 699 ),60205,(+/- 624 )
People,Sex and Age,75 to 84 years,35223,(+/- 1991 ),34983,(+/- 1466 ),26991,(+/- 1457 ),30014,(+/- 1531 )
People,Sex and Age,85 years and over,17161,(+/- 1695 ),15775,(+/- 1437 ),13497,(+/- 1356 ),16693,(+/- 1435 )
People,Sex and Age,Median age (years),35.4,(+/- 0.4 ),37.5,(+/- 0.3 ),36.8,(+/- 0.3 ),36.3,(+/- 0.3 )
People,Sex and Age,18 years and over,536582,(+/- 2564 ),554008,(+/- 2057 ),564525,(+/- 1168 ),537255,(+/- 1579 )
People,Sex and Age,65 years and over,111819,(+/- 1336 ),118918,(+/- 1434 ),100022,(+/- 515 ),106912,(+/- 811 )
People,Race,Total population,708078,(+/- 2182 ),716597,(+/- 2455 ),759978,(+/- 1780 ),722636,(+/- 1942 )
People,Race,One race,685924,(+/- 4369 ),691218,(+/- 3574 ),734187,(+/- 3688 ),692594,(+/- 4162 )
People,Race,White,631156,(+/- 4218 ),618279,(+/- 4566 ),613550,(+/- 4262 ),595981,(+/- 5335 )
People,Race,Black or African American,21369,(+/- 2399 ),35163,(+/- 1936 ),62701,(+/- 2204 ),47318,(+/- 3251 )
People,Race,American Indian and Alaska Native,3191,(+/- 965 ),9027,(+/- 1490 ),2722,(+/- 1021 ),6680,(+/- 1432 )
People,Race,Asian,12137,(+/- 2076 ),11391,(+/- 995 ),33775,(+/- 2040 ),22438,(+/- 1121 )
People,Race,Native Hawaiian and Other Pacific Islander,1425,(+/- 1143 ),696,(+/- 520 ),332,(+/- 423 ),469,(+/- 623 )
People,Race,Some other race,16646,(+/- 3049 ),16662,(+/- 3695 ),21107,(+/- 4166 ),19708,(+/- 4846 )
People,Race,Two or more races,22154,(+/- 3492 ),25379,(+/- 2725 ),25791,(+/- 3298 ),30042,(+/- 3628 )
People,Hispanic or Latino and Race,Total population,708078,(+/- 2182 ),716597,(+/- 2455 ),759978,(+/- 1780 ),722636,(+/- 1942 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),112079,(+/- 914 ),45801,(+/- 595 ),90368,(+/- 364 ),88661,(+/- 705 )
People,Hispanic or Latino and Race,Mexican,88779,(+/- 3761 ),38889,(+/- 1990 ),70450,(+/- 3913 ),73636,(+/- 3096 )
People,Hispanic or Latino and Race,Puerto Rican,4193,(+/- 1533 ),1471,(+/- 626 ),2811,(+/- 1190 ),2361,(+/- 999 )
People,Hispanic or Latino and Race,Cuban,3102,(+/- 1950 ),101,(+/- 169 ),1276,(+/- 676 ),437,(+/- 356 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,16005,(+/- 3499 ),5340,(+/- 1831 ),15831,(+/- 3526 ),12227,(+/- 2931 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,595999,(+/- 2137 ),670796,(+/- 2550 ),669610,(+/- 1803 ),633975,(+/- 1779 )
People,Place of Birth,Total population,708078,(+/- 2182 ),716597,(+/- 2455 ),759978,(+/- 1780 ),722636,(+/- 1942 )
People,Place of Birth,Native,651388,(+/- 4259 ),694540,(+/- 3747 ),680222,(+/- 5392 ),675617,(+/- 3942 )
People,Place of Birth,Born in United States,644700,(+/- 4426 ),687828,(+/- 3958 ),674067,(+/- 5262 ),668463,(+/- 4157 )
People,Place of Birth,State of residence,448006,(+/- 8574 ),457369,(+/- 7324 ),336681,(+/- 8873 ),477310,(+/- 7499 )
People,Place of Birth,Different state,196694,(+/- 8350 ),230459,(+/- 7006 ),337386,(+/- 10157 ),191153,(+/- 7369 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6688,(+/- 1243 ),6712,(+/- 1188 ),6155,(+/- 1529 ),7154,(+/- 1644 )
People,Place of Birth,Foreign born,56690,(+/- 3950 ),22057,(+/- 3003 ),79756,(+/- 5001 ),47019,(+/- 3409 )
People,Ancestry,Total population,708078,(+/- 2182 ),716597,(+/- 2455 ),759978,(+/- 1780 ),722636,(+/- 1942 )
People,Ancestry,American,40320,(+/- 4087 ),58313,(+/- 5329 ),34412,(+/- 4572 ),49967,(+/- 4807 )
People,Ancestry,Arab,1927,(+/- 1125 ),385,(+/- 241 ),3292,(+/- 1402 ),3109,(+/- 1448 )
People,Ancestry,Czech,6795,(+/- 1427 ),4743,(+/- 1109 ),4437,(+/- 1295 ),3260,(+/- 929 )
People,Ancestry,Danish,3158,(+/- 812 ),3772,(+/- 925 ),5495,(+/- 1448 ),1758,(+/- 495 )
People,Ancestry,Dutch,11921,(+/- 1584 ),12467,(+/- 2258 ),13466,(+/- 2445 ),9950,(+/- 1813 )
People,Ancestry,English,57546,(+/- 3855 ),77274,(+/- 5521 ),80674,(+/- 6042 ),55169,(+/- 3833 )
People,Ancestry,French (except Basque),20851,(+/- 2967 ),19619,(+/- 2988 ),19603,(+/- 3264 ),15760,(+/- 2402 )
People,Ancestry,French Canadian,2473,(+/- 877 ),2283,(+/- 809 ),3540,(+/- 1624 ),1627,(+/- 520 )
People,Ancestry,German,212934,(+/- 7102 ),186394,(+/- 7881 ),182215,(+/- 9535 ),160768,(+/- 7824 )
People,Ancestry,Greek,860,(+/- 620 ),883,(+/- 654 ),1399,(+/- 656 ),976,(+/- 865 )
People,Ancestry,Hungarian,572,(+/- 318 ),1117,(+/- 533 ),2005,(+/- 868 ),1180,(+/- 981 )
People,Ancestry,Irish,75951,(+/- 4558 ),90763,(+/- 5787 ),102759,(+/- 7234 ),67436,(+/- 5104 )
People,Ancestry,Italian,12194,(+/- 2158 ),15315,(+/- 2080 ),24746,(+/- 3287 ),11636,(+/- 2022 )
People,Ancestry,Lithuanian,260,(+/- 265 ),730,(+/- 783 ),835,(+/- 432 ),157,(+/- 105 )
People,Ancestry,Norwegian,8775,(+/- 1807 ),7216,(+/- 1400 ),9227,(+/- 1828 ),4096,(+/- 1308 )
People,Ancestry,Polish,7377,(+/- 1556 ),9420,(+/- 1752 ),13084,(+/- 2368 ),7585,(+/- 1493 )
People,Ancestry,Portuguese,508,(+/- 387 ),1254,(+/- 1511 ),1376,(+/- 934 ),712,(+/- 525 )
People,Ancestry,Russian,6184,(+/- 1167 ),2861,(+/- 1097 ),4261,(+/- 1123 ),2841,(+/- 903 )
People,Ancestry,Scotch-Irish,9480,(+/- 2059 ),8527,(+/- 1556 ),10116,(+/- 2241 ),7337,(+/- 1376 )
People,Ancestry,Scottish,11987,(+/- 1510 ),17481,(+/- 2478 ),19008,(+/- 3074 ),15120,(+/- 2668 )
People,Ancestry,Slovak,245,(+/- 230 ),200,(+/- 174 ),520,(+/- 425 ),182,(+/- 157 )
People,Ancestry,Subsaharan African,2933,(+/- 1725 ),2615,(+/- 1122 ),6766,(+/- 2635 ),10859,(+/- 3302 )
People,Ancestry,Swedish,17080,(+/- 2085 ),14576,(+/- 2250 ),18054,(+/- 3075 ),10208,(+/- 1972 )
People,Ancestry,Swiss,3430,(+/- 908 ),2498,(+/- 776 ),3053,(+/- 817 ),3424,(+/- 1005 )
People,Ancestry,Ukrainian,598,(+/- 390 ),833,(+/- 600 ),1940,(+/- 994 ),300,(+/- 389 )
People,Ancestry,Welsh,4753,(+/- 1392 ),7506,(+/- 2119 ),6979,(+/- 1718 ),5629,(+/- 1454 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1814,(+/- 1199 ),334,(+/- 272 ),1047,(+/- 626 ),1494,(+/- 982 )
People,Veteran Status,Civilian population 18 years and over,525734,(+/- 3081 ),551443,(+/- 2338 ),564333,(+/- 1183 ),535878,(+/- 1631 )
People,Veteran Status,Civilian veterans,41567,(+/- 2363 ),50552,(+/- 2647 ),36136,(+/- 2797 ),47117,(+/- 2760 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,683600,(+/- 2803 ),700571,(+/- 3078 ),754855,(+/- 2134 ),711836,(+/- 2485 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,91369,(+/- 3939 ),108634,(+/- 4294 ),74890,(+/- 3526 ),90343,(+/- 4490 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,171059,(+/- 2279 ),161965,(+/- 1895 ),195110,(+/- 977 ),184968,(+/- 1316 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7891,(+/- 1461 ),7858,(+/- 1385 ),7431,(+/- 1643 ),7029,(+/- 1385 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,407302,(+/- 3456 ),424209,(+/- 2780 ),462753,(+/- 1650 ),424129,(+/- 1895 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,45982,(+/- 2960 ),56056,(+/- 3086 ),38193,(+/- 2764 ),48440,(+/- 3451 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,105239,(+/- 1394 ),114397,(+/- 1553 ),96992,(+/- 672 ),102739,(+/- 1033 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,37496,(+/- 1847 ),44720,(+/- 2366 ),29266,(+/- 1621 ),34874,(+/- 1926 )
People,Residence 1 Year Ago,Population 1 year and over,698622,(+/- 2628 ),707714,(+/- 2751 ),750087,(+/- 2345 ),714106,(+/- 2434 )
People,Residence 1 Year Ago,Same house,569164,(+/- 8578 ),587136,(+/- 6745 ),630792,(+/- 8201 ),607259,(+/- 9176 )
People,Residence 1 Year Ago,Different house in the U.S.,122898,(+/- 7704 ),117533,(+/- 6964 ),114728,(+/- 8273 ),103642,(+/- 8400 )
People,Residence 1 Year Ago,Same county,65888,(+/- 6174 ),66810,(+/- 6582 ),68043,(+/- 5673 ),68809,(+/- 7422 )
People,Residence 1 Year Ago,Different county,57010,(+/- 4881 ),50723,(+/- 3747 ),46685,(+/- 6090 ),34833,(+/- 4119 )
People,Residence 1 Year Ago,Same state,34220,(+/- 3266 ),27878,(+/- 3257 ),18709,(+/- 4680 ),19614,(+/- 3247 )
People,Residence 1 Year Ago,Different state,22790,(+/- 3824 ),22845,(+/- 2447 ),27976,(+/- 4803 ),15219,(+/- 2538 )
People,Residence 1 Year Ago,Abroad,6560,(+/- 2060 ),3045,(+/- 1306 ),4567,(+/- 1959 ),3205,(+/- 1466 )
Workers,Employment Status,Population 16 years and over,554669,(+/- 2662 ),573069,(+/- 2187 ),586690,(+/- 1624 ),558910,(+/- 2310 )
Workers,Employment Status,In labor force,362180,(+/- 5059 ),363354,(+/- 4700 ),416532,(+/- 4849 ),366079,(+/- 4000 )
Workers,Employment Status,Civilian labor force,351332,(+/- 5152 ),360763,(+/- 4775 ),416340,(+/- 4840 ),364702,(+/- 4017 )
