Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
People,Sex and Age,Total population,717739,(+/- 3538 ),754967,(+/- 4533 ),740860,(+/- 3023 ),754502,(+/- 4825 ),703315,(+/- 3667 ),765591,(+/- 5044 )
People,Sex and Age,Male,355584,(+/- 3361 ),371354,(+/- 3160 ),358077,(+/- 1972 ),373104,(+/- 3409 ),348533,(+/- 3129 ),373162,(+/- 3975 )
People,Sex and Age,Female,362155,(+/- 2950 ),383613,(+/- 3421 ),382783,(+/- 1697 ),381398,(+/- 3505 ),354782,(+/- 2484 ),392429,(+/- 3169 )
People,Sex and Age,Under 5 years,43227,(+/- 1954 ),46535,(+/- 1537 ),46969,(+/- 791 ),47139,(+/- 1501 ),41672,(+/- 1556 ),47407,(+/- 1644 )
People,Sex and Age,5 to 9 years,42987,(+/- 2126 ),47545,(+/- 3134 ),44660,(+/- 2895 ),53462,(+/- 2627 ),40849,(+/- 2959 ),49060,(+/- 2650 )
People,Sex and Age,10 to 14 years,47091,(+/- 2489 ),50983,(+/- 2888 ),45154,(+/- 2552 ),48660,(+/- 2567 ),46534,(+/- 2851 ),46350,(+/- 2769 )
People,Sex and Age,15 to 19 years,49574,(+/- 2726 ),57230,(+/- 2792 ),44909,(+/- 1195 ),52632,(+/- 2453 ),45865,(+/- 2208 ),56415,(+/- 2502 )
People,Sex and Age,20 to 24 years,49340,(+/- 2713 ),52315,(+/- 2809 ),46801,(+/- 1059 ),46540,(+/- 2069 ),41494,(+/- 2193 ),62066,(+/- 2436 )
People,Sex and Age,25 to 34 years,83656,(+/- 3220 ),90461,(+/- 2789 ),110926,(+/- 689 ),91649,(+/- 2252 ),83564,(+/- 2206 ),104467,(+/- 2422 )
People,Sex and Age,35 to 44 years,83881,(+/- 2170 ),96106,(+/- 2372 ),91063,(+/- 1269 ),100822,(+/- 2367 ),87526,(+/- 1775 ),96860,(+/- 2125 )
People,Sex and Age,45 to 54 years,91915,(+/- 2053 ),101544,(+/- 1891 ),95617,(+/- 1133 ),108486,(+/- 1927 ),99971,(+/- 2197 ),99706,(+/- 2565 )
People,Sex and Age,55 to 59 years,51126,(+/- 3174 ),53199,(+/- 2252 ),53039,(+/- 2741 ),51792,(+/- 2729 ),46375,(+/- 2716 ),50005,(+/- 2543 )
People,Sex and Age,60 to 64 years,48354,(+/- 3045 ),45056,(+/- 2240 ),48030,(+/- 2671 ),45564,(+/- 2599 ),50235,(+/- 2583 ),46989,(+/- 2660 )
People,Sex and Age,65 to 74 years,73378,(+/- 1512 ),69112,(+/- 1633 ),65689,(+/- 867 ),65767,(+/- 1435 ),73324,(+/- 1643 ),64040,(+/- 1509 )
People,Sex and Age,75 to 84 years,38957,(+/- 2072 ),32613,(+/- 1874 ),32020,(+/- 1558 ),29855,(+/- 1497 ),35219,(+/- 1805 ),31718,(+/- 1684 )
People,Sex and Age,85 years and over,14253,(+/- 1644 ),12268,(+/- 1565 ),15983,(+/- 1459 ),12134,(+/- 1399 ),10687,(+/- 1560 ),10508,(+/- 1305 )
People,Sex and Age,Median age (years),40.2,(+/- 0.5 ),38.4,(+/- 0.4 ),38.2,(+/- 0.3 ),38.5,(+/- 0.4 ),41.0,(+/- 0.5 ),36.7,(+/- 0.4 )
People,Sex and Age,18 years and over,555537,(+/- 3154 ),579217,(+/- 3781 ),577087,(+/- 1951 ),570528,(+/- 3439 ),546858,(+/- 3425 ),595290,(+/- 4105 )
People,Sex and Age,65 years and over,126588,(+/- 2141 ),113993,(+/- 2069 ),113692,(+/- 1079 ),107756,(+/- 1874 ),119230,(+/- 2136 ),106266,(+/- 1919 )
People,Race,Total population,717739,(+/- 3538 ),754967,(+/- 4533 ),740860,(+/- 3023 ),754502,(+/- 4825 ),703315,(+/- 3667 ),765591,(+/- 5044 )
People,Race,One race,705911,(+/- 4667 ),736588,(+/- 4957 ),721517,(+/- 4351 ),736585,(+/- 4986 ),696745,(+/- 4019 ),747493,(+/- 6093 )
