Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE
People,Sex and Age,Total population,803427,(+/- 12630 ),792390,(+/- 13604 ),785686,(+/- 2338 ),753181,(+/- 3394 ),748306,(+/- 7216 ),798676,(+/- 10720 )
People,Sex and Age,Male,389886,(+/- 6879 ),383981,(+/- 8064 ),382825,(+/- 2765 ),372217,(+/- 2986 ),373944,(+/- 4497 ),389027,(+/- 7062 )
People,Sex and Age,Female,413541,(+/- 7378 ),408409,(+/- 7869 ),402861,(+/- 2582 ),380964,(+/- 3091 ),374362,(+/- 4657 ),409649,(+/- 6703 )
People,Sex and Age,Under 5 years,52105,(+/- 2671 ),52267,(+/- 3406 ),54098,(+/- 1814 ),50673,(+/- 1837 ),47234,(+/- 1995 ),50586,(+/- 3168 )
People,Sex and Age,5 to 9 years,50391,(+/- 3792 ),51718,(+/- 2833 ),52700,(+/- 2926 ),50649,(+/- 2936 ),47298,(+/- 3846 ),53033,(+/- 4195 )
People,Sex and Age,10 to 14 years,51903,(+/- 3754 ),47237,(+/- 3746 ),55881,(+/- 2731 ),52990,(+/- 3205 ),53957,(+/- 3824 ),55231,(+/- 4044 )
People,Sex and Age,15 to 19 years,53074,(+/- 2606 ),48873,(+/- 2758 ),58755,(+/- 2949 ),50776,(+/- 2382 ),50867,(+/- 3259 ),53561,(+/- 3126 )
People,Sex and Age,20 to 24 years,50435,(+/- 3370 ),54240,(+/- 2996 ),49273,(+/- 2905 ),50841,(+/- 2651 ),52776,(+/- 3532 ),63224,(+/- 3055 )
People,Sex and Age,25 to 34 years,109018,(+/- 4508 ),128924,(+/- 4948 ),111707,(+/- 3336 ),103095,(+/- 3368 ),96594,(+/- 3731 ),121770,(+/- 4759 )
People,Sex and Age,35 to 44 years,100688,(+/- 3905 ),100021,(+/- 4464 ),96765,(+/- 2571 ),89852,(+/- 2699 ),95252,(+/- 3459 ),100788,(+/- 3664 )
People,Sex and Age,45 to 54 years,103023,(+/- 3445 ),100164,(+/- 3841 ),99306,(+/- 2302 ),92493,(+/- 2021 ),90850,(+/- 2923 ),101551,(+/- 3495 )
People,Sex and Age,55 to 59 years,57241,(+/- 3300 ),54145,(+/- 3437 ),55164,(+/- 2309 ),49144,(+/- 2779 ),48085,(+/- 2774 ),50800,(+/- 2986 )
People,Sex and Age,60 to 64 years,52272,(+/- 3161 ),48495,(+/- 3096 ),45049,(+/- 2375 ),45763,(+/- 2686 ),47751,(+/- 2874 ),45071,(+/- 2790 )
People,Sex and Age,65 to 74 years,73834,(+/- 2196 ),65278,(+/- 2138 ),62540,(+/- 1247 ),68404,(+/- 1389 ),69467,(+/- 1768 ),64336,(+/- 2759 )
People,Sex and Age,75 to 84 years,32488,(+/- 2099 ),28853,(+/- 2092 ),32025,(+/- 1492 ),36497,(+/- 1590 ),35198,(+/- 2187 ),28373,(+/- 2134 )
People,Sex and Age,85 years and over,16955,(+/- 1770 ),12175,(+/- 1473 ),12423,(+/- 1402 ),12004,(+/- 1363 ),12977,(+/- 1571 ),10352,(+/- 1745 )
People,Sex and Age,Median age (years),38.4,(+/- 0.6 ),35.9,(+/- 0.4 ),36.0,(+/- 0.3 ),36.7,(+/- 0.3 ),37.4,(+/- 0.5 ),35.2,(+/- 0.4 )
People,Sex and Age,18 years and over,615548,(+/- 8770 ),612065,(+/- 9324 ),589035,(+/- 2175 ),567949,(+/- 2424 ),570738,(+/- 5583 ),609050,(+/- 7226 )
People,Sex and Age,65 years and over,123277,(+/- 3208 ),106306,(+/- 2828 ),106988,(+/- 1392 ),116905,(+/- 1612 ),117642,(+/- 2213 ),103061,(+/- 3424 )
People,Race,Total population,803427,(+/- 12630 ),792390,(+/- 13604 ),785686,(+/- 2338 ),753181,(+/- 3394 ),748306,(+/- 7216 ),798676,(+/- 10720 )
People,Race,One race,784200,(+/- 12921 ),777803,(+/- 13257 ),769436,(+/- 4190 ),737659,(+/- 4159 ),737931,(+/- 7334 ),781888,(+/- 10281 )
People,Race,White,628111,(+/- 11203 ),245248,(+/- 8675 ),550599,(+/- 3305 ),453897,(+/- 3920 ),465878,(+/- 6461 ),557762,(+/- 7510 )
