Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
People,Sex and Age,Total population,676165,(+/- 3279 ),655314,(+/- 3279 )
People,Sex and Age,Male,329563,(+/- 2391 ),321139,(+/- 2240 )
People,Sex and Age,Female,346602,(+/- 2286 ),334175,(+/- 2424 )
People,Sex and Age,Under 5 years,32510,(+/- 993 ),31431,(+/- 933 )
People,Sex and Age,5 to 9 years,37336,(+/- 2287 ),37517,(+/- 2144 )
People,Sex and Age,10 to 14 years,35590,(+/- 2185 ),33367,(+/- 2065 )
People,Sex and Age,15 to 19 years,38934,(+/- 1010 ),43160,(+/- 1769 )
People,Sex and Age,20 to 24 years,38756,(+/- 1370 ),36309,(+/- 1279 )
People,Sex and Age,25 to 34 years,81669,(+/- 1545 ),75783,(+/- 1599 )
People,Sex and Age,35 to 44 years,79750,(+/- 1739 ),71897,(+/- 1370 )
People,Sex and Age,45 to 54 years,98815,(+/- 1637 ),92810,(+/- 1343 )
People,Sex and Age,55 to 59 years,55169,(+/- 2898 ),54072,(+/- 2641 )
People,Sex and Age,60 to 64 years,49318,(+/- 2632 ),50634,(+/- 2377 )
People,Sex and Age,65 to 74 years,75508,(+/- 1185 ),76272,(+/- 998 )
People,Sex and Age,75 to 84 years,34301,(+/- 2091 ),35375,(+/- 1762 )
People,Sex and Age,85 years and over,18509,(+/- 2132 ),16687,(+/- 1530 )
People,Sex and Age,Median age (years),44.3,(+/- 0.3 ),44.7,(+/- 0.3 )
People,Sex and Age,18 years and over,547607,(+/- 2362 ),528921,(+/- 2302 )
People,Sex and Age,65 years and over,128318,(+/- 1306 ),128334,(+/- 1108 )
People,Race,Total population,676165,(+/- 3279 ),655314,(+/- 3279 )
People,Race,One race,664478,(+/- 4296 ),640661,(+/- 3842 )
People,Race,White,636468,(+/- 3807 ),620652,(+/- 3830 )
People,Race,Black or African American,12358,(+/- 1494 ),7605,(+/- 1317 )
People,Race,American Indian and Alaska Native,2400,(+/- 761 ),5493,(+/- 961 )
People,Race,Asian,12060,(+/- 1344 ),5439,(+/- 1026 )
People,Race,Native Hawaiian and Other Pacific Islander,183,(+/- 199 ),31,(+/- 38 )
People,Race,Some other race,1009,(+/- 541 ),1441,(+/- 630 )
People,Race,Two or more races,11687,(+/- 2339 ),14653,(+/- 1666 )
People,Hispanic or Latino and Race,Total population,676165,(+/- 3279 ),655314,(+/- 3279 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),11334,(+/- 735 ),9380,(+/- 668 )
People,Hispanic or Latino and Race,Mexican,2157,(+/- 957 ),2960,(+/- 891 )
