Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Sex and Age,Total population,735590,(+/- 8368 ),764948,(+/- 15791 ),764166,(+/- 16478 ),755108,(+/- 13531 ),758857,(+/- 11397 ),757889,(+/- 12668 ),722745,(+/- 14322 ),757144,(+/- 12165 )
People,Sex and Age,Male,362532,(+/- 5048 ),364711,(+/- 9951 ),370414,(+/- 9228 ),363271,(+/- 7586 ),371561,(+/- 6514 ),373828,(+/- 7981 ),342471,(+/- 8574 ),368985,(+/- 8038 )
People,Sex and Age,Female,373058,(+/- 5167 ),400237,(+/- 8346 ),393752,(+/- 9472 ),391837,(+/- 8574 ),387296,(+/- 7000 ),384061,(+/- 6489 ),380274,(+/- 7995 ),388159,(+/- 6365 )
People,Sex and Age,Under 5 years,36756,(+/- 1882 ),53325,(+/- 3261 ),43841,(+/- 3898 ),53284,(+/- 2857 ),42124,(+/- 2665 ),45022,(+/- 2882 ),40367,(+/- 2651 ),48176,(+/- 3325 )
People,Sex and Age,5 to 9 years,41755,(+/- 2858 ),50315,(+/- 3781 ),47102,(+/- 3800 ),54980,(+/- 3620 ),43927,(+/- 3058 ),50860,(+/- 3441 ),43537,(+/- 3462 ),44231,(+/- 3042 )
People,Sex and Age,10 to 14 years,48000,(+/- 3298 ),48117,(+/- 4055 ),41473,(+/- 3873 ),45786,(+/- 3874 ),50469,(+/- 3246 ),47296,(+/- 3327 ),44452,(+/- 2863 ),48938,(+/- 3200 )
People,Sex and Age,15 to 19 years,51538,(+/- 2750 ),47466,(+/- 3143 ),44542,(+/- 3693 ),41322,(+/- 2519 ),59017,(+/- 2717 ),49430,(+/- 2753 ),45550,(+/- 2914 ),46452,(+/- 2572 )
People,Sex and Age,20 to 24 years,46946,(+/- 3104 ),49840,(+/- 3424 ),55800,(+/- 4383 ),47417,(+/- 2737 ),53215,(+/- 3313 ),50531,(+/- 3093 ),50726,(+/- 3511 ),40014,(+/- 2427 )
People,Sex and Age,25 to 34 years,81432,(+/- 3540 ),121140,(+/- 5575 ),116783,(+/- 6032 ),112918,(+/- 3952 ),97362,(+/- 3348 ),97863,(+/- 4302 ),109305,(+/- 5103 ),95481,(+/- 4952 )
People,Sex and Age,35 to 44 years,83050,(+/- 2967 ),96229,(+/- 4449 ),97994,(+/- 5123 ),104972,(+/- 3614 ),93428,(+/- 3766 ),98024,(+/- 4149 ),87566,(+/- 3372 ),104239,(+/- 4441 )
People,Sex and Age,45 to 54 years,107605,(+/- 3100 ),102935,(+/- 4124 ),102639,(+/- 5157 ),103150,(+/- 3920 ),118889,(+/- 3491 ),112160,(+/- 3782 ),98025,(+/- 3976 ),109281,(+/- 3757 )
