Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,Total population,729294,(+/- 6127 ),749202,(+/- 8272 ),761611,(+/- 9896 ),753156,(+/- 6905 ),759165,(+/- 7694 ),766310,(+/- 5214 ),779173,(+/- 9589 ),773806,(+/- 10653 ),740062,(+/- 6449 )
People,Sex and Age,Male,350785,(+/- 3766 ),365726,(+/- 5239 ),375472,(+/- 7016 ),369669,(+/- 4842 ),369568,(+/- 5538 ),374244,(+/- 4530 ),375981,(+/- 6193 ),369107,(+/- 6503 ),355265,(+/- 5020 )
People,Sex and Age,Female,378509,(+/- 4107 ),383476,(+/- 5054 ),386139,(+/- 7265 ),383487,(+/- 5543 ),389597,(+/- 5687 ),392066,(+/- 4650 ),403192,(+/- 6720 ),404699,(+/- 7053 ),384797,(+/- 5492 )
People,Sex and Age,Under 5 years,37912,(+/- 1411 ),37713,(+/- 2191 ),44064,(+/- 3117 ),36231,(+/- 2879 ),41308,(+/- 2958 ),41447,(+/- 3084 ),42727,(+/- 2749 ),42485,(+/- 3169 ),35887,(+/- 2267 )
People,Sex and Age,5 to 9 years,39849,(+/- 2747 ),41441,(+/- 2917 ),42465,(+/- 3321 ),45794,(+/- 3407 ),40279,(+/- 2497 ),41279,(+/- 2691 ),35162,(+/- 2889 ),38565,(+/- 2935 ),39251,(+/- 3349 )
People,Sex and Age,10 to 14 years,43146,(+/- 2889 ),45560,(+/- 3092 ),51154,(+/- 3589 ),54715,(+/- 3169 ),43811,(+/- 3419 ),49903,(+/- 3183 ),32840,(+/- 2550 ),42844,(+/- 3173 ),40714,(+/- 3627 )
People,Sex and Age,15 to 19 years,49254,(+/- 2009 ),59990,(+/- 2618 ),53609,(+/- 3289 ),55628,(+/- 3001 ),46430,(+/- 2885 ),48016,(+/- 2423 ),58596,(+/- 3162 ),44131,(+/- 2810 ),44239,(+/- 2754 )
People,Sex and Age,20 to 24 years,55771,(+/- 2662 ),63563,(+/- 3173 ),54678,(+/- 3995 ),48408,(+/- 2798 ),50672,(+/- 3354 ),46173,(+/- 2819 ),85364,(+/- 3123 ),47319,(+/- 2986 ),43877,(+/- 2203 )
People,Sex and Age,25 to 34 years,90396,(+/- 2353 ),91608,(+/- 3008 ),96388,(+/- 5651 ),83627,(+/- 4834 ),112146,(+/- 4693 ),89803,(+/- 3789 ),180802,(+/- 6241 ),127311,(+/- 5293 ),78876,(+/- 3086 )
People,Sex and Age,35 to 44 years,80045,(+/- 2024 ),89376,(+/- 2792 ),94731,(+/- 4473 ),89100,(+/- 4043 ),100785,(+/- 4433 ),88892,(+/- 3772 ),101349,(+/- 3796 ),99731,(+/- 3262 ),82704,(+/- 3662 )
People,Sex and Age,45 to 54 years,99886,(+/- 2175 ),107578,(+/- 3108 ),114808,(+/- 5182 ),119525,(+/- 4284 ),106900,(+/- 3867 ),117491,(+/- 4225 ),84434,(+/- 3335 ),103692,(+/- 4349 ),105740,(+/- 3322 )
People,Sex and Age,55 to 59 years,52405,(+/- 2575 ),54886,(+/- 3926 ),58441,(+/- 3708 ),52840,(+/- 2801 ),52881,(+/- 3152 ),59567,(+/- 3577 ),40562,(+/- 2946 ),53854,(+/- 3504 ),55804,(+/- 3654 )
