Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
People,Sex and Age,Total population,699621,(+/- 945 ),734965,(+/- 3659 ),733618,(+/- 3526 ),700487,(+/- 3783 ),681278,(+/- 4207 ),716163,(+/- 1333 ),700983,(+/- 3621 ),734008,(+/- 4332 ),711069,(+/- 6696 ),714802,(+/- 5467 ),732690,(+/- 5868 ),708880,(+/- 6475 ),658383,(+/- 12653 ),701353,(+/- 12708 )
People,Sex and Age,Male,354920,(+/- 1714 ),361448,(+/- 3254 ),366244,(+/- 3222 ),350197,(+/- 2670 ),330862,(+/- 2491 ),352531,(+/- 1413 ),351898,(+/- 2682 ),360728,(+/- 3443 ),346151,(+/- 5644 ),354677,(+/- 4043 ),359057,(+/- 4868 ),345290,(+/- 4703 ),313426,(+/- 7094 ),335791,(+/- 7221 )
People,Sex and Age,Female,344701,(+/- 1880 ),373517,(+/- 3372 ),367374,(+/- 3676 ),350290,(+/- 2340 ),350416,(+/- 2309 ),363632,(+/- 1190 ),349085,(+/- 2631 ),373280,(+/- 3083 ),364918,(+/- 4989 ),360125,(+/- 3955 ),373633,(+/- 4697 ),363590,(+/- 4991 ),344957,(+/- 8182 ),365562,(+/- 7383 )
People,Sex and Age,Under 5 years,32787,(+/- 698 ),48111,(+/- 2037 ),46996,(+/- 2064 ),35769,(+/- 1081 ),39836,(+/- 973 ),42373,(+/- 786 ),37483,(+/- 1368 ),39244,(+/- 1840 ),39598,(+/- 2573 ),35090,(+/- 1558 ),41680,(+/- 2935 ),41269,(+/- 2310 ),45008,(+/- 2996 ),46419,(+/- 3217 )
People,Sex and Age,5 to 9 years,35291,(+/- 1792 ),49615,(+/- 3040 ),48519,(+/- 2907 ),41441,(+/- 2256 ),43918,(+/- 2428 ),43923,(+/- 2808 ),40404,(+/- 2319 ),43241,(+/- 2583 ),38765,(+/- 2332 ),40862,(+/- 2618 ),42129,(+/- 2331 ),39986,(+/- 2675 ),46285,(+/- 3426 ),44995,(+/- 3803 )
People,Sex and Age,10 to 14 years,38671,(+/- 1898 ),48136,(+/- 2568 ),48914,(+/- 3112 ),39843,(+/- 1676 ),40390,(+/- 2223 ),47111,(+/- 2753 ),47080,(+/- 2663 ),47223,(+/- 2520 ),39063,(+/- 2718 ),44637,(+/- 2752 ),47289,(+/- 2902 ),41882,(+/- 2581 ),41806,(+/- 3732 ),46754,(+/- 3442 )
People,Sex and Age,15 to 19 years,42112,(+/- 1267 ),52870,(+/- 2018 ),51721,(+/- 1686 ),52168,(+/- 1517 ),42416,(+/- 1427 ),47580,(+/- 1521 ),47109,(+/- 1759 ),60214,(+/- 2123 ),37125,(+/- 2630 ),47842,(+/- 2510 ),46479,(+/- 2600 ),57639,(+/- 2446 ),45378,(+/- 3008 ),41967,(+/- 3102 )
People,Sex and Age,20 to 24 years,42852,(+/- 1350 ),57844,(+/- 2317 ),46405,(+/- 1890 ),53829,(+/- 1928 ),44771,(+/- 1710 ),58345,(+/- 1475 ),43357,(+/- 2057 ),65503,(+/- 2628 ),43487,(+/- 2780 ),40803,(+/- 2322 ),42494,(+/- 3198 ),70750,(+/- 3336 ),46587,(+/- 2907 ),48415,(+/- 3562 )
People,Sex and Age,25 to 34 years,72944,(+/- 1313 ),95225,(+/- 2532 ),103002,(+/- 2529 ),79349,(+/- 1642 ),81570,(+/- 1989 ),86448,(+/- 1879 ),79118,(+/- 1721 ),86250,(+/- 2721 ),109454,(+/- 4011 ),77815,(+/- 2813 ),87380,(+/- 4106 ),100332,(+/- 3479 ),93253,(+/- 4792 ),96161,(+/- 4858 )
People,Sex and Age,35 to 44 years,73427,(+/- 1354 ),84845,(+/- 2197 ),89092,(+/- 2312 ),75849,(+/- 1209 ),77976,(+/- 1717 ),82239,(+/- 1589 ),83187,(+/- 1900 ),86512,(+/- 3077 ),87479,(+/- 3489 ),82108,(+/- 2729 ),92519,(+/- 3898 ),80100,(+/- 3264 ),75991,(+/- 3815 ),86945,(+/- 4091 )
