Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Sex and Age,Total population,672415,(+/- 2611 ),700264,(+/- 2715 ),709906,(+/- 4300 ),702162,(+/- 3130 ),708082,(+/- 5908 ),696720,(+/- 5345 ),668049,(+/- 3043 ),662354,(+/- 1369 )
People,Sex and Age,Male,334997,(+/- 2246 ),345675,(+/- 2736 ),346115,(+/- 4049 ),343064,(+/- 2293 ),355175,(+/- 4757 ),350846,(+/- 3504 ),335706,(+/- 2361 ),336368,(+/- 1310 )
People,Sex and Age,Female,337418,(+/- 2551 ),354589,(+/- 2166 ),363791,(+/- 3404 ),359098,(+/- 2051 ),352907,(+/- 3770 ),345874,(+/- 3628 ),332343,(+/- 2046 ),325986,(+/- 1402 )
People,Sex and Age,Under 5 years,42885,(+/- 1052 ),46002,(+/- 1245 ),42824,(+/- 3014 ),46921,(+/- 871 ),49799,(+/- 2962 ),44545,(+/- 1698 ),42825,(+/- 1345 ),35279,(+/- 598 )
People,Sex and Age,5 to 9 years,44618,(+/- 1925 ),48399,(+/- 2513 ),48893,(+/- 3448 ),48869,(+/- 2779 ),42011,(+/- 3370 ),50981,(+/- 2892 ),45199,(+/- 1825 ),38655,(+/- 1707 )
People,Sex and Age,10 to 14 years,42500,(+/- 1612 ),50917,(+/- 2531 ),49937,(+/- 3458 ),44200,(+/- 2490 ),33262,(+/- 2579 ),48967,(+/- 2507 ),43028,(+/- 1887 ),41730,(+/- 1721 )
People,Sex and Age,15 to 19 years,43460,(+/- 1306 ),46284,(+/- 1333 ),44547,(+/- 2616 ),45939,(+/- 1484 ),38069,(+/- 2533 ),51272,(+/- 2206 ),44871,(+/- 1639 ),41926,(+/- 1198 )
People,Sex and Age,20 to 24 years,51986,(+/- 1470 ),43566,(+/- 1710 ),31882,(+/- 2335 ),49351,(+/- 1687 ),59111,(+/- 2337 ),45604,(+/- 2106 ),42587,(+/- 1690 ),40968,(+/- 1154 )
People,Sex and Age,25 to 34 years,84391,(+/- 1828 ),84566,(+/- 1819 ),91653,(+/- 3852 ),107006,(+/- 1805 ),144682,(+/- 4132 ),85318,(+/- 2577 ),74829,(+/- 1605 ),72364,(+/- 1133 )
People,Sex and Age,35 to 44 years,77154,(+/- 1237 ),93780,(+/- 1864 ),90101,(+/- 3146 ),84708,(+/- 1633 ),93716,(+/- 3286 ),94952,(+/- 2471 ),73356,(+/- 1456 ),72625,(+/- 890 )
People,Sex and Age,45 to 54 years,82917,(+/- 1292 ),102131,(+/- 1907 ),103649,(+/- 3855 ),87977,(+/- 1599 ),82649,(+/- 3665 ),100913,(+/- 2464 ),80382,(+/- 1266 ),86934,(+/- 901 )
People,Sex and Age,55 to 59 years,48965,(+/- 1651 ),51028,(+/- 2516 ),53444,(+/- 2907 ),45320,(+/- 2076 ),41794,(+/- 2810 ),49659,(+/- 2508 ),49374,(+/- 1829 ),53389,(+/- 1622 )
People,Sex and Age,60 to 64 years,41414,(+/- 1902 ),41888,(+/- 2285 ),48527,(+/- 2993 ),45021,(+/- 2321 ),38929,(+/- 2560 ),39269,(+/- 2373 ),45250,(+/- 1971 ),48924,(+/- 1768 )
People,Sex and Age,65 to 74 years,59485,(+/- 905 ),53654,(+/- 1412 ),61232,(+/- 2382 ),56320,(+/- 1115 ),47394,(+/- 2422 ),52310,(+/- 1569 ),66583,(+/- 954 ),74228,(+/- 418 )
People,Sex and Age,75 to 84 years,34705,(+/- 1536 ),25657,(+/- 1410 ),30075,(+/- 2111 ),25903,(+/- 1329 ),21930,(+/- 1712 ),22800,(+/- 1486 ),39133,(+/- 1514 ),37608,(+/- 1267 )
People,Sex and Age,85 years and over,17935,(+/- 1455 ),12392,(+/- 1203 ),13142,(+/- 1677 ),14627,(+/- 1019 ),14736,(+/- 1446 ),10130,(+/- 1316 ),20632,(+/- 1413 ),17724,(+/- 1255 )
People,Sex and Age,Median age (years),38.3,(+/- 0.4 ),37.7,(+/- 0.4 ),40.1,(+/- 0.7 ),36.0,(+/- 0.3 ),34.0,(+/- 0.4 ),37.1,(+/- 0.4 ),40.2,(+/- 0.4 ),43.4,(+/- 0.3 )
People,Sex and Age,18 years and over,517644,(+/- 1889 ),524533,(+/- 2132 ),537062,(+/- 6174 ),535463,(+/- 2341 ),563732,(+/- 6509 ),520803,(+/- 4701 ),510257,(+/- 2147 ),521835,(+/- 1258 )
People,Sex and Age,65 years and over,112125,(+/- 1097 ),91703,(+/- 1622 ),104449,(+/- 3426 ),96850,(+/- 1445 ),84060,(+/- 3461 ),85240,(+/- 2121 ),126348,(+/- 1195 ),129560,(+/- 762 )
People,Race,Total population,672415,(+/- 2611 ),700264,(+/- 2715 ),709906,(+/- 4300 ),702162,(+/- 3130 ),708082,(+/- 5908 ),696720,(+/- 5345 ),668049,(+/- 3043 ),662354,(+/- 1369 )
People,Race,One race,660466,(+/- 3657 ),677167,(+/- 3918 ),691540,(+/- 5650 ),669537,(+/- 5659 ),678017,(+/- 6897 ),681882,(+/- 5500 ),655897,(+/- 3632 ),648800,(+/- 2152 )
People,Race,White,606853,(+/- 3588 ),591403,(+/- 4290 ),567960,(+/- 8433 ),493306,(+/- 4771 ),477182,(+/- 8478 ),632472,(+/- 5592 ),611864,(+/- 3376 ),615526,(+/- 1657 )
People,Race,Black or African American,20467,(+/- 1645 ),31558,(+/- 2493 ),58565,(+/- 7174 ),68539,(+/- 3444 ),117792,(+/- 7473 ),20269,(+/- 2052 ),7226,(+/- 1384 ),6892,(+/- 982 )
