Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE
People,Sex and Age,Total population,764223,(+/- 2709 ),705911,(+/- 6750 ),751004,(+/- 6762 ),767588,(+/- 1708 )
People,Sex and Age,Male,366190,(+/- 3124 ),339844,(+/- 4261 ),364086,(+/- 5249 ),370814,(+/- 3006 )
People,Sex and Age,Female,398033,(+/- 3327 ),366067,(+/- 4216 ),386918,(+/- 5016 ),396774,(+/- 2970 )
People,Sex and Age,Under 5 years,44419,(+/- 1684 ),48860,(+/- 1774 ),44352,(+/- 1833 ),49199,(+/- 1978 )
People,Sex and Age,5 to 9 years,51533,(+/- 3689 ),48374,(+/- 3370 ),54572,(+/- 3644 ),50900,(+/- 3420 )
People,Sex and Age,10 to 14 years,54087,(+/- 3873 ),51777,(+/- 3678 ),49699,(+/- 2921 ),52796,(+/- 3553 )
People,Sex and Age,15 to 19 years,58815,(+/- 2865 ),50111,(+/- 2684 ),56866,(+/- 3642 ),54022,(+/- 2805 )
People,Sex and Age,20 to 24 years,53636,(+/- 3164 ),49836,(+/- 3199 ),53249,(+/- 3499 ),54601,(+/- 3740 )
People,Sex and Age,25 to 34 years,92217,(+/- 3412 ),92249,(+/- 4170 ),94058,(+/- 4388 ),100088,(+/- 3840 )
People,Sex and Age,35 to 44 years,97091,(+/- 2875 ),87259,(+/- 2838 ),94056,(+/- 3718 ),96194,(+/- 2989 )
People,Sex and Age,45 to 54 years,99733,(+/- 1999 ),82888,(+/- 2788 ),94806,(+/- 3479 ),98009,(+/- 2237 )
People,Sex and Age,55 to 59 years,48905,(+/- 2603 ),45998,(+/- 2876 ),51303,(+/- 2680 ),49073,(+/- 3075 )
People,Sex and Age,60 to 64 years,45714,(+/- 2590 ),45042,(+/- 2643 ),44662,(+/- 2923 ),48043,(+/- 2843 )
People,Sex and Age,65 to 74 years,70845,(+/- 1770 ),63833,(+/- 1929 ),67311,(+/- 2411 ),68120,(+/- 1542 )
People,Sex and Age,75 to 84 years,35125,(+/- 1644 ),27052,(+/- 1746 ),33255,(+/- 1904 ),33110,(+/- 1690 )
People,Sex and Age,85 years and over,12103,(+/- 1386 ),12632,(+/- 1471 ),12815,(+/- 1584 ),13433,(+/- 1435 )
People,Sex and Age,Median age (years),37.9,(+/- 0.4 ),36.2,(+/- 0.6 ),37.1,(+/- 0.7 ),37.5,(+/- 0.5 )
People,Sex and Age,18 years and over,581969,(+/- 2563 ),529014,(+/- 5055 ),571079,(+/- 5519 ),583511,(+/- 1976 )
People,Sex and Age,65 years and over,118073,(+/- 1783 ),103517,(+/- 2080 ),113381,(+/- 2597 ),114663,(+/- 1926 )
People,Race,Total population,764223,(+/- 2709 ),705911,(+/- 6750 ),751004,(+/- 6762 ),767588,(+/- 1708 )
People,Race,One race,754182,(+/- 3822 ),701045,(+/- 6700 ),746132,(+/- 6807 ),753515,(+/- 3713 )
People,Race,White,524228,(+/- 3468 ),217330,(+/- 4400 ),457221,(+/- 5500 ),549955,(+/- 3252 )
People,Race,Black or African American,214570,(+/- 3410 ),470163,(+/- 6915 ),268814,(+/- 7527 ),181411,(+/- 4472 )
People,Race,American Indian and Alaska Native,1386,(+/- 694 ),2705,(+/- 900 ),6967,(+/- 849 ),2202,(+/- 650 )
People,Race,Asian,5389,(+/- 653 ),2473,(+/- 546 ),6305,(+/- 1173 ),12541,(+/- 1889 )
People,Race,Native Hawaiian and Other Pacific Islander,243,(+/- 172 ),379,(+/- 465 ),9,(+/- 19 ),0,(+/- 213 )
People,Race,Some other race,8366,(+/- 2433 ),7995,(+/- 2065 ),6816,(+/- 1740 ),7406,(+/- 2135 )
People,Race,Two or more races,10041,(+/- 2621 ),4866,(+/- 1756 ),4872,(+/- 1619 ),14073,(+/- 3276 )
People,Hispanic or Latino and Race,Total population,764223,(+/- 2709 ),705911,(+/- 6750 ),751004,(+/- 6762 ),767588,(+/- 1708 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),22074,(+/- 1002 ),12654,(+/- 2170 ),20232,(+/- 2530 ),31773,(+/- 612 )
People,Hispanic or Latino and Race,Mexican,16271,(+/- 1868 ),8166,(+/- 2145 ),14851,(+/- 2629 ),14045,(+/- 3015 )
People,Hispanic or Latino and Race,Puerto Rican,1160,(+/- 691 ),1083,(+/- 629 ),1348,(+/- 1159 ),5814,(+/- 2315 )
People,Hispanic or Latino and Race,Cuban,161,(+/- 189 ),82,(+/- 127 ),246,(+/- 263 ),1604,(+/- 962 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,4482,(+/- 1602 ),3323,(+/- 1039 ),3787,(+/- 1695 ),10310,(+/- 2382 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,742149,(+/- 2913 ),693257,(+/- 6772 ),730772,(+/- 7305 ),735815,(+/- 1752 )
People,Place of Birth,Total population,764223,(+/- 2709 ),705911,(+/- 6750 ),751004,(+/- 6762 ),767588,(+/- 1708 )
People,Place of Birth,Native,750630,(+/- 3568 ),698028,(+/- 6768 ),734504,(+/- 7126 ),746798,(+/- 3330 )
People,Place of Birth,Born in United States,747103,(+/- 3661 ),695939,(+/- 6788 ),730994,(+/- 7271 ),736411,(+/- 3814 )
