Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE
People,Sex and Age,Total population,735410,(+/- 8211 ),763176,(+/- 11571 ),783679,(+/- 10619 ),761860,(+/- 4848 ),763288,(+/- 6821 ),767878,(+/- 7043 ),776586,(+/- 3086 ),741123,(+/- 4752 )
People,Sex and Age,Male,346342,(+/- 4877 ),371413,(+/- 6768 ),391035,(+/- 5681 ),383090,(+/- 3545 ),367345,(+/- 3710 ),384286,(+/- 4279 ),381297,(+/- 3129 ),369843,(+/- 3329 )
People,Sex and Age,Female,389068,(+/- 4823 ),391763,(+/- 6761 ),392644,(+/- 6699 ),378770,(+/- 2969 ),395943,(+/- 4359 ),383592,(+/- 4426 ),395289,(+/- 2371 ),371280,(+/- 3450 )
People,Sex and Age,Under 5 years,47203,(+/- 1534 ),40593,(+/- 2320 ),48217,(+/- 2101 ),46671,(+/- 1622 ),51637,(+/- 1781 ),45436,(+/- 1674 ),48192,(+/- 1279 ),43583,(+/- 1604 )
People,Sex and Age,5 to 9 years,45269,(+/- 2766 ),43301,(+/- 3548 ),53134,(+/- 2944 ),43800,(+/- 2733 ),47776,(+/- 3001 ),50922,(+/- 3089 ),50281,(+/- 3170 ),48930,(+/- 2517 )
People,Sex and Age,10 to 14 years,41587,(+/- 3133 ),51935,(+/- 3392 ),52547,(+/- 3232 ),50412,(+/- 3024 ),49588,(+/- 2780 ),52856,(+/- 2547 ),50086,(+/- 3088 ),45321,(+/- 2714 )
People,Sex and Age,15 to 19 years,47049,(+/- 2194 ),46791,(+/- 2296 ),54501,(+/- 2230 ),61743,(+/- 2710 ),46940,(+/- 1768 ),53757,(+/- 2490 ),54708,(+/- 2135 ),50762,(+/- 2375 )
People,Sex and Age,20 to 24 years,55014,(+/- 2477 ),39474,(+/- 3428 ),47400,(+/- 2931 ),64121,(+/- 2582 ),47618,(+/- 1667 ),48047,(+/- 2065 ),59913,(+/- 1754 ),44871,(+/- 2412 )
People,Sex and Age,25 to 34 years,126424,(+/- 3150 ),86036,(+/- 4221 ),98012,(+/- 3256 ),97323,(+/- 2387 ),116486,(+/- 2373 ),92747,(+/- 2869 ),97258,(+/- 2160 ),85291,(+/- 2221 )
People,Sex and Age,35 to 44 years,91269,(+/- 2784 ),91996,(+/- 3455 ),97457,(+/- 3128 ),86082,(+/- 2388 ),93539,(+/- 2341 ),97880,(+/- 2957 ),91020,(+/- 1867 ),88012,(+/- 2564 )
People,Sex and Age,45 to 54 years,90527,(+/- 2954 ),107324,(+/- 3324 ),106396,(+/- 3069 ),92624,(+/- 2728 ),97617,(+/- 2638 ),103145,(+/- 2618 ),96366,(+/- 1604 ),98113,(+/- 1912 )
People,Sex and Age,55 to 59 years,47821,(+/- 2730 ),59788,(+/- 3371 ),59520,(+/- 3267 ),50414,(+/- 2659 ),52873,(+/- 2467 ),53316,(+/- 2818 ),53407,(+/- 2432 ),57098,(+/- 2192 )
People,Sex and Age,60 to 64 years,48446,(+/- 2648 ),55291,(+/- 3406 ),47559,(+/- 2890 ),45079,(+/- 2509 ),46344,(+/- 2357 ),47827,(+/- 2497 ),44461,(+/- 2410 ),45847,(+/- 2346 )
People,Sex and Age,65 to 74 years,56324,(+/- 1958 ),75601,(+/- 2519 ),71733,(+/- 2261 ),71327,(+/- 1627 ),63774,(+/- 1643 ),70440,(+/- 1858 ),75722,(+/- 1405 ),75976,(+/- 1353 )
People,Sex and Age,75 to 84 years,25330,(+/- 1565 ),41874,(+/- 2081 ),34356,(+/- 2247 ),37885,(+/- 2182 ),32703,(+/- 1727 ),36114,(+/- 1827 ),39774,(+/- 1882 ),41646,(+/- 1556 )
People,Sex and Age,85 years and over,13147,(+/- 1484 ),23172,(+/- 1796 ),12847,(+/- 1862 ),14379,(+/- 1987 ),16393,(+/- 1667 ),15391,(+/- 1464 ),15398,(+/- 1762 ),15673,(+/- 1324 )
People,Sex and Age,Median age (years),35.5,(+/- 0.4 ),43.2,(+/- 0.8 ),38.7,(+/- 0.5 ),36.6,(+/- 0.4 ),37.1,(+/- 0.4 ),38.7,(+/- 0.5 ),37.7,(+/- 0.4 ),40.8,(+/- 0.5 )
People,Sex and Age,18 years and over,575204,(+/- 6336 ),596416,(+/- 8277 ),597091,(+/- 7516 ),590683,(+/- 4059 ),585441,(+/- 5455 ),586486,(+/- 5657 ),598065,(+/- 2139 ),573550,(+/- 3365 )
People,Sex and Age,65 years and over,94801,(+/- 2464 ),140647,(+/- 3292 ),118936,(+/- 3033 ),123591,(+/- 2029 ),112870,(+/- 2350 ),121945,(+/- 2372 ),130894,(+/- 1601 ),133295,(+/- 1771 )
People,Race,Total population,735410,(+/- 8211 ),763176,(+/- 11571 ),783679,(+/- 10619 ),761860,(+/- 4848 ),763288,(+/- 6821 ),767878,(+/- 7043 ),776586,(+/- 3086 ),741123,(+/- 4752 )
People,Race,One race,713575,(+/- 8959 ),750823,(+/- 11540 ),766469,(+/- 11005 ),740355,(+/- 5531 ),740564,(+/- 7476 ),746706,(+/- 7154 ),757446,(+/- 4377 ),726962,(+/- 5220 )
People,Race,White,318745,(+/- 7760 ),681910,(+/- 10161 ),725198,(+/- 9740 ),677392,(+/- 5493 ),522123,(+/- 8101 ),694426,(+/- 7471 ),712301,(+/- 3722 ),679412,(+/- 4992 )
People,Race,Black or African American,360343,(+/- 5764 ),31386,(+/- 5457 ),26446,(+/- 3302 ),35588,(+/- 2192 ),170350,(+/- 5006 ),29725,(+/- 2921 ),14450,(+/- 1489 ),34658,(+/- 2541 )
People,Race,American Indian and Alaska Native,1903,(+/- 907 ),844,(+/- 494 ),2044,(+/- 895 ),5772,(+/- 1405 ),3530,(+/- 1083 ),2619,(+/- 837 ),9656,(+/- 1763 ),4520,(+/- 1079 )
People,Race,Asian,22599,(+/- 2521 ),33619,(+/- 2887 ),7989,(+/- 1674 ),13329,(+/- 1088 ),13238,(+/- 1932 ),11387,(+/- 1601 ),9538,(+/- 1163 ),5636,(+/- 976 )
People,Race,Native Hawaiian and Other Pacific Islander,260,(+/- 240 ),99,(+/- 120 ),617,(+/- 581 ),1528,(+/- 1156 ),3988,(+/- 1546 ),716,(+/- 415 ),1820,(+/- 1062 ),165,(+/- 158 )
People,Race,Some other race,9725,(+/- 3377 ),2965,(+/- 1428 ),4175,(+/- 1470 ),6746,(+/- 2002 ),27335,(+/- 4340 ),7833,(+/- 2372 ),9681,(+/- 2010 ),2571,(+/- 890 )
People,Race,Two or more races,21835,(+/- 3915 ),12353,(+/- 2143 ),17210,(+/- 2902 ),21505,(+/- 2463 ),22724,(+/- 3823 ),21172,(+/- 3335 ),19140,(+/- 2530 ),14161,(+/- 2494 )
People,Hispanic or Latino and Race,Total population,735410,(+/- 8211 ),763176,(+/- 11571 ),783679,(+/- 10619 ),761860,(+/- 4848 ),763288,(+/- 6821 ),767878,(+/- 7043 ),776586,(+/- 3086 ),741123,(+/- 4752 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),26798,(+/- 2535 ),20011,(+/- 3391 ),18627,(+/- 2141 ),27658,(+/- 856 ),69400,(+/- 2125 ),29895,(+/- 2265 ),38505,(+/- 610 ),12673,(+/- 1460 )
People,Hispanic or Latino and Race,Mexican,16356,(+/- 2759 ),12108,(+/- 2891 ),11046,(+/- 2137 ),20793,(+/- 1380 ),50847,(+/- 3331 ),23161,(+/- 2494 ),24384,(+/- 2479 ),8546,(+/- 1438 )
People,Hispanic or Latino and Race,Puerto Rican,3818,(+/- 2103 ),640,(+/- 406 ),541,(+/- 409 ),2223,(+/- 823 ),2420,(+/- 1629 ),1894,(+/- 844 ),1103,(+/- 681 ),1316,(+/- 813 )
People,Hispanic or Latino and Race,Cuban,778,(+/- 523 ),288,(+/- 258 ),602,(+/- 441 ),330,(+/- 283 ),3062,(+/- 1054 ),848,(+/- 532 ),531,(+/- 484 ),175,(+/- 217 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,5846,(+/- 1678 ),6975,(+/- 2027 ),6438,(+/- 1944 ),4312,(+/- 1181 ),13071,(+/- 2533 ),3992,(+/- 1264 ),12487,(+/- 2449 ),2636,(+/- 771 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,708612,(+/- 7867 ),743165,(+/- 10899 ),765052,(+/- 10062 ),734202,(+/- 4870 ),693888,(+/- 6863 ),737983,(+/- 7028 ),738081,(+/- 3121 ),728450,(+/- 4630 )
People,Place of Birth,Total population,735410,(+/- 8211 ),763176,(+/- 11571 ),783679,(+/- 10619 ),761860,(+/- 4848 ),763288,(+/- 6821 ),767878,(+/- 7043 ),776586,(+/- 3086 ),741123,(+/- 4752 )
People,Place of Birth,Native,692324,(+/- 7982 ),701698,(+/- 11435 ),769235,(+/- 10134 ),735516,(+/- 5916 ),719455,(+/- 7193 ),743965,(+/- 7356 ),750947,(+/- 4009 ),730658,(+/- 4938 )
