Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,1042520,(*****)
People,Sex and Age,Male,526023,(+/- 2537 )
People,Sex and Age,Female,516497,(+/- 2537 )
People,Sex and Age,Under 5 years,61143,(+/- 1458 )
People,Sex and Age,5 to 9 years,63475,(+/- 2918 )
People,Sex and Age,10 to 14 years,65609,(+/- 2704 )
People,Sex and Age,15 to 19 years,65750,(+/- 2231 )
People,Sex and Age,20 to 24 years,73927,(+/- 2294 )
People,Sex and Age,25 to 34 years,126836,(+/- 2198 )
People,Sex and Age,35 to 44 years,120268,(+/- 1725 )
People,Sex and Age,45 to 54 years,127833,(+/- 1790 )
People,Sex and Age,55 to 59 years,77803,(+/- 3267 )
People,Sex and Age,60 to 64 years,75995,(+/- 3385 )
People,Sex and Age,65 to 74 years,109577,(+/- 907 )
People,Sex and Age,75 to 84 years,52382,(+/- 1841 )
People,Sex and Age,85 years and over,21922,(+/- 1870 )
People,Sex and Age,Median age (years),40.1,(+/- 0.3 )
People,Sex and Age,18 years and over,813846,(+/- 1696 )
People,Sex and Age,65 years and over,183881,(+/- 964 )
People,Race,Total population,1042520,(*****)
People,Race,One race,1010302,(+/- 2943 )
People,Race,White,927374,(+/- 1791 )
People,Race,Black or African American,3949,(+/- 1039 )
People,Race,American Indian and Alaska Native,66231,(+/- 2513 )
People,Race,Asian,8432,(+/- 1383 )
People,Race,Native Hawaiian and Other Pacific Islander,578,(+/- 331 )
People,Race,Some other race,3738,(+/- 1189 )
People,Race,Two or more races,32218,(+/- 2943 )
People,Hispanic or Latino and Race,Total population,1042520,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),37090,(+/- 1084 )
People,Hispanic or Latino and Race,Mexican,26618,(+/- 2164 )
People,Hispanic or Latino and Race,Puerto Rican,2409,(+/- 925 )
People,Hispanic or Latino and Race,Cuban,948,(+/- 588 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,7115,(+/- 1676 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,1005430,(+/- 1084 )
People,Place of Birth,Total population,1042520,(*****)
People,Place of Birth,Native,1020627,(+/- 2335 )
People,Place of Birth,Born in United States,1011818,(+/- 2840 )
People,Place of Birth,State of residence,570457,(+/- 9849 )
People,Place of Birth,Different state,441361,(+/- 9901 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8809,(+/- 1457 )
People,Place of Birth,Foreign born,21893,(+/- 2335 )
People,Ancestry,Total population,1042520,(*****)
People,Ancestry,American,62502,(+/- 5089 )
People,Ancestry,Arab,1787,(+/- 797 )
People,Ancestry,Czech,6137,(+/- 1153 )
People,Ancestry,Danish,13785,(+/- 2068 )
People,Ancestry,Dutch,23806,(+/- 3170 )
People,Ancestry,English,115052,(+/- 5372 )
People,Ancestry,French (except Basque),32541,(+/- 3188 )
People,Ancestry,French Canadian,9825,(+/- 1903 )
People,Ancestry,German,265835,(+/- 8068 )
People,Ancestry,Greek,2778,(+/- 970 )
People,Ancestry,Hungarian,3522,(+/- 1050 )
People,Ancestry,Irish,145425,(+/- 6312 )
People,Ancestry,Italian,34653,(+/- 3690 )
People,Ancestry,Lithuanian,1527,(+/- 767 )
People,Ancestry,Norwegian,98023,(+/- 5747 )
People,Ancestry,Polish,24835,(+/- 3973 )
People,Ancestry,Portuguese,2423,(+/- 859 )
People,Ancestry,Russian,10293,(+/- 1955 )
People,Ancestry,Scotch-Irish,18128,(+/- 2728 )
People,Ancestry,Scottish,34549,(+/- 3406 )
People,Ancestry,Slovak,1100,(+/- 543 )
People,Ancestry,Subsaharan African,1150,(+/- 827 )
People,Ancestry,Swedish,30288,(+/- 3534 )
People,Ancestry,Swiss,5719,(+/- 1451 )
People,Ancestry,Ukrainian,1888,(+/- 586 )
People,Ancestry,Welsh,12702,(+/- 1894 )
People,Ancestry,West Indian (excluding Hispanic origin groups),787,(+/- 1028 )
People,Veteran Status,Civilian population 18 years and over,810835,(+/- 1855 )
People,Veteran Status,Civilian veterans,85461,(+/- 3960 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,1027510,(+/- 634 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,147538,(+/- 5519 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,227631,(+/- 1693 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9469,(+/- 1654 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,620433,(+/- 2049 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,76169,(+/- 4545 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,179446,(+/- 1104 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,61900,(+/- 2583 )
People,Residence 1 Year Ago,Population 1 year and over,1032794,(+/- 1223 )
People,Residence 1 Year Ago,Same house,863174,(+/- 7519 )
People,Residence 1 Year Ago,Different house in the U.S.,166075,(+/- 7433 )
People,Residence 1 Year Ago,Same county,92044,(+/- 6758 )
People,Residence 1 Year Ago,Different county,74031,(+/- 4900 )
People,Residence 1 Year Ago,Same state,36256,(+/- 4092 )
People,Residence 1 Year Ago,Different state,37775,(+/- 4095 )
People,Residence 1 Year Ago,Abroad,3545,(+/- 882 )
Workers,Employment Status,Population 16 years and over,838974,(+/- 2147 )
Workers,Employment Status,In labor force,532234,(+/- 5079 )
Workers,Employment Status,Civilian labor force,529223,(+/- 5034 )
Workers,Employment Status,Employed,503850,(+/- 5556 )
Workers,Employment Status,Unemployed,25373,(+/- 2311 )
Workers,Employment Status,Armed Forces,3011,(+/- 634 )
Workers,Employment Status,Not in labor force,306740,(+/- 4777 )
Workers,Employment Status,Civilian labor force,529223,(+/- 5034 )
Workers,Employment Status,Unemployment Rate,4.8,(+/- 0.4 )
Workers,Commuting to Work,Workers 16 years and over,496311,(+/- 5572 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",377028,(+/- 6907 )
