Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE
People,Sex and Age,Total population,722331,(+/- 18132 ),713779,(+/- 2932 ),779908,(+/- 14843 ),724040,(+/- 14482 )
People,Sex and Age,Male,368419,(+/- 11180 ),360683,(+/- 2505 ),385289,(+/- 9031 ),358762,(+/- 9680 )
People,Sex and Age,Female,353912,(+/- 9766 ),353096,(+/- 2454 ),394619,(+/- 8091 ),365278,(+/- 8033 )
People,Sex and Age,Under 5 years,47128,(+/- 4569 ),42470,(+/- 878 ),51041,(+/- 4884 ),42722,(+/- 4123 )
People,Sex and Age,5 to 9 years,46218,(+/- 4058 ),42874,(+/- 2798 ),48769,(+/- 3633 ),51746,(+/- 4100 )
People,Sex and Age,10 to 14 years,46565,(+/- 3672 ),45097,(+/- 2450 ),45175,(+/- 3660 ),54003,(+/- 3604 )
People,Sex and Age,15 to 19 years,46120,(+/- 3320 ),45253,(+/- 2175 ),42308,(+/- 3387 ),46294,(+/- 3157 )
People,Sex and Age,20 to 24 years,53676,(+/- 3926 ),45864,(+/- 1852 ),38318,(+/- 3034 ),47807,(+/- 3550 )
People,Sex and Age,25 to 34 years,110543,(+/- 5140 ),96228,(+/- 1966 ),119066,(+/- 5886 ),98468,(+/- 5241 )
People,Sex and Age,35 to 44 years,97254,(+/- 4865 ),84317,(+/- 1793 ),111794,(+/- 4647 ),97008,(+/- 5032 )
People,Sex and Age,45 to 54 years,97371,(+/- 4388 ),93437,(+/- 1638 ),104983,(+/- 4344 ),95250,(+/- 4199 )
People,Sex and Age,55 to 59 years,43456,(+/- 3127 ),51840,(+/- 2861 ),49653,(+/- 3325 ),41928,(+/- 3385 )
People,Sex and Age,60 to 64 years,39192,(+/- 2648 ),47984,(+/- 2728 ),44567,(+/- 3622 ),44510,(+/- 3027 )
People,Sex and Age,65 to 74 years,59999,(+/- 3638 ),74950,(+/- 1396 ),77421,(+/- 3765 ),63558,(+/- 3233 )
People,Sex and Age,75 to 84 years,26386,(+/- 2304 ),32588,(+/- 1688 ),35887,(+/- 2316 ),31378,(+/- 2462 )
People,Sex and Age,85 years and over,8423,(+/- 1387 ),10877,(+/- 1609 ),10926,(+/- 1458 ),9368,(+/- 1402 )
People,Sex and Age,Median age (years),36.0,(+/- 0.8 ),39.5,(+/- 0.4 ),39.0,(+/- 0.9 ),37.0,(+/- 0.7 )
People,Sex and Age,18 years and over,556783,(+/- 12511 ),556672,(+/- 1909 ),604122,(+/- 10893 ),544979,(+/- 10700 )
