Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
People,Sex and Age,Total population,671625,(+/- 6059 ),663170,(+/- 6059 )
People,Sex and Age,Male,338116,(+/- 3350 ),326606,(+/- 3667 )
People,Sex and Age,Female,333509,(+/- 4609 ),336564,(+/- 4448 )
People,Sex and Age,Under 5 years,31750,(+/- 2124 ),32728,(+/- 2041 )
People,Sex and Age,5 to 9 years,34969,(+/- 2326 ),39153,(+/- 3185 )
People,Sex and Age,10 to 14 years,37681,(+/- 2381 ),34808,(+/- 2486 )
People,Sex and Age,15 to 19 years,43810,(+/- 2383 ),43675,(+/- 2152 )
People,Sex and Age,20 to 24 years,48442,(+/- 2828 ),40193,(+/- 2875 )
People,Sex and Age,25 to 34 years,83227,(+/- 2525 ),77367,(+/- 2700 )
People,Sex and Age,35 to 44 years,79468,(+/- 2519 ),73020,(+/- 2637 )
People,Sex and Age,45 to 54 years,100545,(+/- 2845 ),101713,(+/- 3015 )
People,Sex and Age,55 to 59 years,55430,(+/- 2743 ),54878,(+/- 3217 )
People,Sex and Age,60 to 64 years,48789,(+/- 2814 ),46217,(+/- 2517 )
People,Sex and Age,65 to 74 years,64436,(+/- 2146 ),70738,(+/- 2450 )
People,Sex and Age,75 to 84 years,30553,(+/- 1976 ),31403,(+/- 2052 )
People,Sex and Age,85 years and over,12525,(+/- 1645 ),17277,(+/- 1445 )
People,Sex and Age,Median age (years),41.9,(+/- 0.6 ),43.6,(+/- 0.6 )
People,Sex and Age,18 years and over,542467,(+/- 4707 ),532487,(+/- 4809 )
People,Sex and Age,65 years and over,107514,(+/- 2692 ),119418,(+/- 2975 )
People,Race,Total population,671625,(+/- 6059 ),663170,(+/- 6059 )
People,Race,One race,656658,(+/- 6269 ),649420,(+/- 6398 )
People,Race,White,627367,(+/- 6642 ),619788,(+/- 6960 )
People,Race,Black or African American,8607,(+/- 1838 ),8064,(+/- 1949 )
People,Race,American Indian and Alaska Native,437,(+/- 287 ),1013,(+/- 678 )
People,Race,Asian,17300,(+/- 2471 ),15379,(+/- 2341 )
People,Race,Native Hawaiian and Other Pacific Islander,0,(+/- 187 ),66,(+/- 87 )
People,Race,Some other race,2947,(+/- 1268 ),5110,(+/- 1769 )
People,Race,Two or more races,14967,(+/- 2048 ),13750,(+/- 2157 )
People,Hispanic or Latino and Race,Total population,671625,(+/- 6059 ),663170,(+/- 6059 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),23792,(+/- 3056 ),23479,(+/- 2927 )
People,Hispanic or Latino and Race,Mexican,4956,(+/- 1793 ),4961,(+/- 1529 )
People,Hispanic or Latino and Race,Puerto Rican,8573,(+/- 2092 ),6944,(+/- 1898 )
People,Hispanic or Latino and Race,Cuban,937,(+/- 595 ),954,(+/- 711 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,9326,(+/- 2072 ),10620,(+/- 2644 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,647833,(+/- 6387 ),639691,(+/- 6381 )
People,Place of Birth,Total population,671625,(+/- 6059 ),663170,(+/- 6059 )
People,Place of Birth,Native,634179,(+/- 7398 ),624307,(+/- 6973 )
People,Place of Birth,Born in United States,624254,(+/- 7241 ),616893,(+/- 7259 )
People,Place of Birth,State of residence,281070,(+/- 7839 ),275677,(+/- 8267 )
People,Place of Birth,Different state,343184,(+/- 7911 ),341216,(+/- 6925 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9925,(+/- 2138 ),7414,(+/- 1881 )
People,Place of Birth,Foreign born,37446,(+/- 3511 ),38863,(+/- 3640 )
People,Ancestry,Total population,671625,(+/- 6059 ),663170,(+/- 6059 )
People,Ancestry,American,25873,(+/- 3296 ),28202,(+/- 3064 )
People,Ancestry,Arab,4523,(+/- 1750 ),4669,(+/- 2062 )
People,Ancestry,Czech,2300,(+/- 1285 ),2135,(+/- 943 )
