Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE
People,Sex and Age,Total population,731932,(+/- 6707 ),725217,(+/- 7381 ),739696,(+/- 6009 ),732142,(+/- 7019 ),742865,(+/- 11998 ),750419,(+/- 9783 ),732070,(+/- 10384 ),778294,(+/- 11151 ),760005,(+/- 11073 ),758062,(+/- 11540 ),733706,(+/- 8600 ),760061,(+/- 10059 )
People,Sex and Age,Male,353416,(+/- 3897 ),357433,(+/- 4438 ),361896,(+/- 4442 ),352856,(+/- 5727 ),361492,(+/- 6953 ),373560,(+/- 6309 ),361457,(+/- 5836 ),388020,(+/- 8093 ),367923,(+/- 6971 ),363667,(+/- 7039 ),358551,(+/- 5466 ),369940,(+/- 7582 )
People,Sex and Age,Female,378516,(+/- 3946 ),367784,(+/- 4230 ),377800,(+/- 3971 ),379286,(+/- 4930 ),381373,(+/- 7307 ),376859,(+/- 6126 ),370613,(+/- 5902 ),390274,(+/- 6643 ),392082,(+/- 6974 ),394395,(+/- 7076 ),375155,(+/- 6210 ),390121,(+/- 6060 )
People,Sex and Age,Under 5 years,43199,(+/- 1234 ),40243,(+/- 1577 ),37687,(+/- 2267 ),48060,(+/- 2672 ),38574,(+/- 2661 ),44145,(+/- 2638 ),36304,(+/- 2984 ),50273,(+/- 3337 ),45980,(+/- 2537 ),55637,(+/- 3187 ),37312,(+/- 2818 ),42756,(+/- 3371 )
People,Sex and Age,5 to 9 years,45225,(+/- 2531 ),43406,(+/- 3020 ),40036,(+/- 2967 ),47674,(+/- 2838 ),44928,(+/- 3137 ),46758,(+/- 3755 ),43399,(+/- 2872 ),48083,(+/- 3566 ),49398,(+/- 3473 ),48214,(+/- 3279 ),42602,(+/- 2823 ),51018,(+/- 3857 )
People,Sex and Age,10 to 14 years,45887,(+/- 2796 ),45813,(+/- 2677 ),45211,(+/- 2987 ),50504,(+/- 3159 ),50727,(+/- 3396 ),41595,(+/- 3139 ),50299,(+/- 2884 ),41319,(+/- 3186 ),44018,(+/- 3440 ),49821,(+/- 3538 ),45605,(+/- 3455 ),49150,(+/- 3714 )
People,Sex and Age,15 to 19 years,46456,(+/- 1548 ),43869,(+/- 2160 ),45824,(+/- 2004 ),47428,(+/- 2629 ),50539,(+/- 2829 ),50591,(+/- 2309 ),50343,(+/- 2699 ),42055,(+/- 2457 ),47172,(+/- 2604 ),49412,(+/- 2613 ),48543,(+/- 2370 ),49685,(+/- 3113 )
People,Sex and Age,20 to 24 years,47631,(+/- 1711 ),44753,(+/- 2432 ),46145,(+/- 2079 ),44379,(+/- 3290 ),45189,(+/- 2906 ),55428,(+/- 2509 ),40601,(+/- 2642 ),54850,(+/- 2918 ),48680,(+/- 3343 ),56366,(+/- 3402 ),41027,(+/- 2907 ),45471,(+/- 2785 )
People,Sex and Age,25 to 34 years,99940,(+/- 2305 ),87504,(+/- 2869 ),85434,(+/- 2918 ),76658,(+/- 3755 ),77392,(+/- 3830 ),107581,(+/- 4058 ),74377,(+/- 3986 ),153029,(+/- 4539 ),106899,(+/- 3538 ),116666,(+/- 4601 ),74840,(+/- 3507 ),96742,(+/- 4431 )
People,Sex and Age,35 to 44 years,91896,(+/- 2142 ),84046,(+/- 2412 ),84101,(+/- 2850 ),80477,(+/- 3717 ),88499,(+/- 3917 ),101662,(+/- 4084 ),92525,(+/- 4289 ),125452,(+/- 4266 ),105780,(+/- 4363 ),104474,(+/- 3811 ),91857,(+/- 3332 ),100619,(+/- 4826 )
People,Sex and Age,45 to 54 years,101941,(+/- 1736 ),102413,(+/- 2247 ),108005,(+/- 2658 ),104072,(+/- 4161 ),119183,(+/- 3701 ),105495,(+/- 4520 ),120893,(+/- 4052 ),100321,(+/- 3695 ),104994,(+/- 3898 ),102616,(+/- 4202 ),116138,(+/- 3462 ),108435,(+/- 4488 )
People,Sex and Age,55 to 59 years,55138,(+/- 2387 ),55728,(+/- 2494 ),56563,(+/- 2820 ),54406,(+/- 3469 ),59754,(+/- 3612 ),52730,(+/- 2725 ),61126,(+/- 3275 ),42489,(+/- 2907 ),47749,(+/- 2837 ),47869,(+/- 2999 ),54477,(+/- 3186 ),55185,(+/- 3315 )
People,Sex and Age,60 to 64 years,42948,(+/- 2877 ),48357,(+/- 2358 ),49447,(+/- 2499 ),46021,(+/- 3114 ),48978,(+/- 3066 ),44111,(+/- 2551 ),49146,(+/- 3054 ),39377,(+/- 2993 ),47002,(+/- 3461 ),39749,(+/- 3098 ),51852,(+/- 3037 ),45859,(+/- 2643 )
