Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE
People,Sex and Age,Total population,702719,(+/- 7505 ),691695,(+/- 6435 ),686601,(+/- 6574 )
People,Sex and Age,Male,342495,(+/- 4517 ),348760,(+/- 4082 ),338969,(+/- 4636 )
People,Sex and Age,Female,360224,(+/- 3903 ),342935,(+/- 4258 ),347632,(+/- 3765 )
People,Sex and Age,Under 5 years,40930,(+/- 1445 ),43383,(+/- 1202 ),40813,(+/- 1478 )
People,Sex and Age,5 to 9 years,42393,(+/- 3573 ),48641,(+/- 3215 ),47001,(+/- 2952 )
People,Sex and Age,10 to 14 years,44688,(+/- 3692 ),48329,(+/- 3498 ),48178,(+/- 2688 )
People,Sex and Age,15 to 19 years,44017,(+/- 1884 ),51249,(+/- 2396 ),49157,(+/- 1919 )
People,Sex and Age,20 to 24 years,46522,(+/- 1739 ),52578,(+/- 2676 ),41755,(+/- 3012 )
People,Sex and Age,25 to 34 years,102212,(+/- 2102 ),88154,(+/- 4048 ),86613,(+/- 2561 )
People,Sex and Age,35 to 44 years,86094,(+/- 2390 ),79592,(+/- 3211 ),83667,(+/- 2671 )
People,Sex and Age,45 to 54 years,89637,(+/- 1903 ),78534,(+/- 2979 ),81414,(+/- 2261 )
People,Sex and Age,55 to 59 years,48420,(+/- 2920 ),44404,(+/- 2775 ),47097,(+/- 3008 )
People,Sex and Age,60 to 64 years,45883,(+/- 2539 ),42545,(+/- 2544 ),45054,(+/- 2838 )
People,Sex and Age,65 to 74 years,68433,(+/- 1454 ),64503,(+/- 1752 ),69844,(+/- 1577 )
People,Sex and Age,75 to 84 years,31681,(+/- 1699 ),35631,(+/- 1989 ),33235,(+/- 1766 )
People,Sex and Age,85 years and over,11809,(+/- 1386 ),14152,(+/- 1843 ),12773,(+/- 1789 )
People,Sex and Age,Median age (years),38.3,(+/- 0.4 ),36.6,(+/- 0.5 ),38.2,(+/- 0.5 )
People,Sex and Age,18 years and over,548049,(+/- 5157 ),522346,(+/- 4825 ),521106,(+/- 4534 )
People,Sex and Age,65 years and over,111923,(+/- 1860 ),114286,(+/- 1688 ),115852,(+/- 1928 )
People,Race,Total population,702719,(+/- 7505 ),691695,(+/- 6435 ),686601,(+/- 6574 )
People,Race,One race,677389,(+/- 8144 ),675706,(+/- 6987 ),662015,(+/- 7572 )
People,Race,White,501221,(+/- 11843 ),589953,(+/- 7242 ),448460,(+/- 8609 )
People,Race,Black or African American,19223,(+/- 1773 ),13080,(+/- 1359 ),8740,(+/- 1442 )
People,Race,American Indian and Alaska Native,34629,(+/- 3480 ),35358,(+/- 2796 ),124146,(+/- 3666 )
People,Race,Asian,18366,(+/- 1584 ),4834,(+/- 989 ),9146,(+/- 1662 )
People,Race,Native Hawaiian and Other Pacific Islander,523,(+/- 549 ),137,(+/- 165 ),768,(+/- 504 )
People,Race,Some other race,103427,(+/- 9074 ),32344,(+/- 5472 ),70755,(+/- 6837 )
People,Race,Two or more races,25330,(+/- 3833 ),15989,(+/- 2756 ),24586,(+/- 3217 )
People,Hispanic or Latino and Race,Total population,702719,(+/- 7505 ),691695,(+/- 6435 ),686601,(+/- 6574 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),347997,(+/- 6104 ),379919,(+/- 4053 ),281960,(+/- 5044 )
People,Hispanic or Latino and Race,Mexican,200631,(+/- 8954 ),326368,(+/- 4600 ),124682,(+/- 8750 )
People,Hispanic or Latino and Race,Puerto Rican,3268,(+/- 1508 ),2143,(+/- 999 ),3266,(+/- 1466 )
People,Hispanic or Latino and Race,Cuban,3165,(+/- 1518 ),536,(+/- 711 ),759,(+/- 773 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,140933,(+/- 9106 ),50872,(+/- 4278 ),153253,(+/- 7151 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,354722,(+/- 4686 ),311776,(+/- 4505 ),404641,(+/- 5581 )
People,Place of Birth,Total population,702719,(+/- 7505 ),691695,(+/- 6435 ),686601,(+/- 6574 )
People,Place of Birth,Native,631888,(+/- 10102 ),605880,(+/- 8915 ),644841,(+/- 7514 )
People,Place of Birth,Born in United States,622051,(+/- 10408 ),598042,(+/- 8713 ),638486,(+/- 7819 )
People,Place of Birth,State of residence,376372,(+/- 9697 ),340779,(+/- 11093 ),383894,(+/- 10426 )
