Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE
People,Sex and Age,Total population,718175,(+/- 4908 ),714040,(+/- 8215 ),732591,(+/- 12035 ),723377,(+/- 13136 ),794154,(+/- 15868 ),753744,(+/- 16877 ),763468,(+/- 18454 ),771711,(+/- 19644 ),738674,(+/- 19050 ),708960,(+/- 18585 ),735452,(+/- 11681 ),715471,(+/- 19247 ),812752,(+/- 17642 ),691715,(+/- 20462 ),768801,(+/- 19325 ),736806,(+/- 13874 ),744406,(+/- 5999 ),722617,(+/- 6833 ),698185,(+/- 6241 ),723416,(+/- 5531 ),711798,(+/- 3688 ),703464,(+/- 3765 ),703717,(+/- 3717 ),707479,(+/- 2961 ),720963,(+/- 2696 ),709220,(+/- 4462 ),720133,(+/- 6294 )
People,Sex and Age,Male,352992,(+/- 4328 ),353634,(+/- 5755 ),352888,(+/- 6759 ),348339,(+/- 7526 ),382388,(+/- 8860 ),359146,(+/- 10560 ),372543,(+/- 9729 ),357216,(+/- 10268 ),342061,(+/- 10455 ),347200,(+/- 11103 ),357647,(+/- 6158 ),333207,(+/- 11741 ),390380,(+/- 10325 ),347962,(+/- 10963 ),361988,(+/- 10933 ),343016,(+/- 8098 ),365271,(+/- 5689 ),358588,(+/- 4218 ),350299,(+/- 4072 ),353637,(+/- 4170 ),361270,(+/- 2855 ),348384,(+/- 2219 ),349545,(+/- 2736 ),345260,(+/- 2220 ),347980,(+/- 1723 ),337037,(+/- 3911 ),362172,(+/- 4803 )
People,Sex and Age,Female,365183,(+/- 4999 ),360406,(+/- 6364 ),379703,(+/- 8088 ),375038,(+/- 7457 ),411766,(+/- 9569 ),394598,(+/- 9029 ),390925,(+/- 12027 ),414495,(+/- 12344 ),396613,(+/- 10846 ),361760,(+/- 10806 ),377805,(+/- 6884 ),382264,(+/- 11637 ),422372,(+/- 10635 ),343753,(+/- 12382 ),406813,(+/- 10422 ),393790,(+/- 9069 ),379135,(+/- 4252 ),364029,(+/- 3873 ),347886,(+/- 4281 ),369779,(+/- 3180 ),350528,(+/- 2850 ),355080,(+/- 2648 ),354172,(+/- 2808 ),362219,(+/- 2194 ),372983,(+/- 1553 ),372183,(+/- 3796 ),357961,(+/- 4604 )
People,Sex and Age,Under 5 years,33503,(+/- 2632 ),42888,(+/- 3014 ),41322,(+/- 3771 ),39985,(+/- 3064 ),49225,(+/- 2636 ),43978,(+/- 3316 ),55144,(+/- 3705 ),48024,(+/- 3619 ),49497,(+/- 3904 ),51297,(+/- 3909 ),46536,(+/- 2418 ),32741,(+/- 3485 ),51146,(+/- 3556 ),46370,(+/- 3801 ),59577,(+/- 3504 ),45186,(+/- 3753 ),46837,(+/- 2549 ),39846,(+/- 1762 ),30528,(+/- 1557 ),38799,(+/- 1563 ),38129,(+/- 1204 ),37911,(+/- 1036 ),37101,(+/- 1096 ),38637,(+/- 1053 ),40062,(+/- 676 ),41046,(+/- 2187 ),33704,(+/- 2045 )
People,Sex and Age,5 to 9 years,39898,(+/- 3446 ),43085,(+/- 3972 ),40263,(+/- 3292 ),46094,(+/- 2957 ),48298,(+/- 3899 ),39583,(+/- 3748 ),50094,(+/- 3731 ),44545,(+/- 3128 ),50409,(+/- 3982 ),36537,(+/- 2901 ),45200,(+/- 2947 ),23318,(+/- 3408 ),42401,(+/- 3841 ),40798,(+/- 4820 ),64012,(+/- 4051 ),44059,(+/- 3323 ),52558,(+/- 2684 ),46572,(+/- 2685 ),34702,(+/- 2322 ),41275,(+/- 2993 ),40190,(+/- 2234 ),41370,(+/- 2119 ),38340,(+/- 2044 ),42235,(+/- 2013 ),42020,(+/- 2572 ),37821,(+/- 2689 ),38405,(+/- 2654 )
People,Sex and Age,10 to 14 years,45931,(+/- 2995 ),44799,(+/- 3754 ),43271,(+/- 3418 ),45739,(+/- 3212 ),50166,(+/- 3728 ),37110,(+/- 3356 ),46314,(+/- 4016 ),39451,(+/- 3409 ),45646,(+/- 3880 ),31347,(+/- 2975 ),44069,(+/- 3105 ),18414,(+/- 2645 ),46073,(+/- 3600 ),34936,(+/- 3005 ),57256,(+/- 3514 ),43875,(+/- 3336 ),52484,(+/- 2952 ),49125,(+/- 2552 ),39448,(+/- 2530 ),38452,(+/- 2581 ),40118,(+/- 2008 ),38984,(+/- 2115 ),41366,(+/- 1983 ),41856,(+/- 2091 ),42903,(+/- 2446 ),40075,(+/- 2709 ),45516,(+/- 2759 )
People,Sex and Age,15 to 19 years,53909,(+/- 2709 ),41636,(+/- 3016 ),44197,(+/- 2987 ),50798,(+/- 2622 ),51336,(+/- 2691 ),36299,(+/- 2972 ),40080,(+/- 3088 ),44960,(+/- 3392 ),41610,(+/- 2814 ),32786,(+/- 3388 ),41375,(+/- 1930 ),25748,(+/- 3271 ),44505,(+/- 3357 ),35418,(+/- 3237 ),59370,(+/- 3262 ),47149,(+/- 3101 ),52505,(+/- 2010 ),53481,(+/- 2364 ),50964,(+/- 3689 ),49932,(+/- 2131 ),47661,(+/- 1598 ),52316,(+/- 1348 ),55427,(+/- 2085 ),52498,(+/- 1365 ),49888,(+/- 643 ),45829,(+/- 2049 ),45917,(+/- 2362 )
People,Sex and Age,20 to 24 years,48497,(+/- 3026 ),49070,(+/- 3055 ),42597,(+/- 3255 ),48198,(+/- 2559 ),58370,(+/- 3333 ),40555,(+/- 2869 ),55017,(+/- 3692 ),56026,(+/- 3920 ),45333,(+/- 3262 ),46762,(+/- 3977 ),46296,(+/- 2018 ),46485,(+/- 4732 ),65794,(+/- 3776 ),41408,(+/- 3661 ),68610,(+/- 3272 ),50226,(+/- 2965 ),47863,(+/- 2121 ),50848,(+/- 2125 ),48198,(+/- 2362 ),64116,(+/- 2212 ),52890,(+/- 1625 ),54868,(+/- 1500 ),58344,(+/- 1984 ),49458,(+/- 1284 ),52935,(+/- 787 ),54818,(+/- 2253 ),42696,(+/- 2667 )
People,Sex and Age,25 to 34 years,77022,(+/- 3794 ),91703,(+/- 4518 ),75068,(+/- 5202 ),88033,(+/- 4358 ),113159,(+/- 5070 ),120102,(+/- 6020 ),160563,(+/- 7619 ),138370,(+/- 6021 ),120159,(+/- 5759 ),131308,(+/- 7835 ),104815,(+/- 3402 ),200820,(+/- 8263 ),165486,(+/- 6710 ),115774,(+/- 6985 ),125240,(+/- 5598 ),88584,(+/- 4703 ),84143,(+/- 3005 ),81500,(+/- 2466 ),75314,(+/- 2066 ),96939,(+/- 3276 ),89774,(+/- 2600 ),80942,(+/- 2099 ),82860,(+/- 1893 ),88819,(+/- 1278 ),100858,(+/- 1249 ),104702,(+/- 3183 ),84731,(+/- 3662 )
People,Sex and Age,35 to 44 years,86496,(+/- 3979 ),84749,(+/- 4090 ),84083,(+/- 4967 ),86783,(+/- 4136 ),99397,(+/- 4525 ),105490,(+/- 4317 ),107689,(+/- 5618 ),98986,(+/- 5156 ),103539,(+/- 5350 ),109872,(+/- 5596 ),95656,(+/- 2939 ),105830,(+/- 6370 ),110285,(+/- 5692 ),111099,(+/- 5459 ),93490,(+/- 3990 ),95695,(+/- 4282 ),90962,(+/- 3016 ),87826,(+/- 2523 ),72424,(+/- 2412 ),83206,(+/- 2969 ),79434,(+/- 1984 ),74749,(+/- 1521 ),73426,(+/- 1462 ),79092,(+/- 1405 ),80340,(+/- 923 ),77294,(+/- 2936 ),82392,(+/- 3423 )
