Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Sex and Age,Total population,796981,(+/- 2064 ),749490,(+/- 2779 ),779596,(+/- 2921 ),781940,(+/- 3977 ),815554,(+/- 3007 )
People,Sex and Age,Male,388793,(+/- 1467 ),371912,(+/- 2175 ),393904,(+/- 2495 ),390816,(+/- 2408 ),397848,(+/- 1954 )
People,Sex and Age,Female,408188,(+/- 1321 ),377578,(+/- 2279 ),385692,(+/- 2437 ),391124,(+/- 3050 ),417706,(+/- 1951 )
People,Sex and Age,Under 5 years,56600,(+/- 529 ),46213,(+/- 795 ),50316,(+/- 1381 ),48076,(+/- 1448 ),62891,(+/- 1420 )
People,Sex and Age,5 to 9 years,54124,(+/- 1641 ),50563,(+/- 1743 ),55660,(+/- 2478 ),54075,(+/- 2575 ),57191,(+/- 2869 )
People,Sex and Age,10 to 14 years,57753,(+/- 1887 ),49445,(+/- 2040 ),53737,(+/- 2368 ),52049,(+/- 2430 ),57586,(+/- 2843 )
People,Sex and Age,15 to 19 years,51667,(+/- 771 ),50072,(+/- 1551 ),55825,(+/- 2539 ),56414,(+/- 2141 ),51779,(+/- 1088 )
People,Sex and Age,20 to 24 years,50993,(+/- 745 ),49125,(+/- 1714 ),59805,(+/- 2479 ),64892,(+/- 2512 ),55074,(+/- 1417 )
People,Sex and Age,25 to 34 years,113750,(+/- 975 ),89879,(+/- 1786 ),99672,(+/- 3020 ),106618,(+/- 2901 ),126850,(+/- 1837 )
People,Sex and Age,35 to 44 years,101439,(+/- 881 ),85172,(+/- 1541 ),92258,(+/- 2501 ),95562,(+/- 2718 ),103160,(+/- 1530 )
People,Sex and Age,45 to 54 years,99279,(+/- 846 ),93673,(+/- 1462 ),95132,(+/- 2297 ),97052,(+/- 2606 ),95675,(+/- 1409 )
People,Sex and Age,55 to 59 years,52260,(+/- 2160 ),52049,(+/- 1976 ),51065,(+/- 2216 ),50651,(+/- 2369 ),51119,(+/- 2520 )
People,Sex and Age,60 to 64 years,46782,(+/- 2189 ),47880,(+/- 1893 ),45378,(+/- 2407 ),45070,(+/- 2335 ),45919,(+/- 2530 )
People,Sex and Age,65 to 74 years,65596,(+/- 872 ),79294,(+/- 1000 ),68708,(+/- 1612 ),66551,(+/- 1552 ),63235,(+/- 1071 )
People,Sex and Age,75 to 84 years,34290,(+/- 1262 ),40644,(+/- 1408 ),38600,(+/- 1915 ),32253,(+/- 1543 ),32323,(+/- 1353 )
People,Sex and Age,85 years and over,12448,(+/- 1155 ),15481,(+/- 1433 ),13440,(+/- 1586 ),12677,(+/- 1522 ),12752,(+/- 1259 )
People,Sex and Age,Median age (years),36.2,(+/- 0.2 ),39.5,(+/- 0.3 ),36.6,(+/- 0.3 ),35.8,(+/- 0.3 ),34.7,(+/- 0.2 )
People,Sex and Age,18 years and over,595623,(+/- 1542 ),572823,(+/- 2127 ),589910,(+/- 2724 ),597337,(+/- 3106 ),605912,(+/- 2450 )
People,Sex and Age,65 years and over,112334,(+/- 790 ),135419,(+/- 1224 ),120748,(+/- 1621 ),111481,(+/- 1672 ),108310,(+/- 1189 )
People,Race,Total population,796981,(+/- 2064 ),749490,(+/- 2779 ),779596,(+/- 2921 ),781940,(+/- 3977 ),815554,(+/- 3007 )
People,Race,One race,732341,(+/- 4330 ),668406,(+/- 3905 ),732154,(+/- 5206 ),721947,(+/- 5544 ),765107,(+/- 5447 )
People,Race,White,564445,(+/- 3529 ),497803,(+/- 3316 ),616508,(+/- 4605 ),595384,(+/- 5531 ),567327,(+/- 5790 )
People,Race,Black or African American,68469,(+/- 2123 ),25146,(+/- 935 ),27377,(+/- 1724 ),55355,(+/- 3588 ),111026,(+/- 3861 )
People,Race,American Indian and Alaska Native,47171,(+/- 2802 ),126475,(+/- 3583 ),44895,(+/- 2916 ),41175,(+/- 3069 ),38232,(+/- 3066 )
People,Race,Asian,23677,(+/- 992 ),3946,(+/- 706 ),10123,(+/- 1004 ),18172,(+/- 1914 ),23328,(+/- 2086 )
People,Race,Native Hawaiian and Other Pacific Islander,424,(+/- 193 ),1924,(+/- 889 ),2323,(+/- 609 ),395,(+/- 294 ),1077,(+/- 485 )
People,Race,Some other race,28155,(+/- 3362 ),13112,(+/- 2297 ),30928,(+/- 3671 ),11466,(+/- 2118 ),24117,(+/- 4787 )
People,Race,Two or more races,64640,(+/- 3590 ),81084,(+/- 3767 ),47442,(+/- 3825 ),59993,(+/- 4207 ),50447,(+/- 4537 )
People,Hispanic or Latino and Race,Total population,796981,(+/- 2064 ),749490,(+/- 2779 ),779596,(+/- 2921 ),781940,(+/- 3977 ),815554,(+/- 3007 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),87914,(+/- 659 ),39094,(+/- 1097 ),76606,(+/- 915 ),66628,(+/- 2023 ),133694,(+/- 1496 )
People,Hispanic or Latino and Race,Mexican,71038,(+/- 2321 ),32718,(+/- 1447 ),65774,(+/- 2382 ),49346,(+/- 2499 ),116819,(+/- 4058 )
People,Hispanic or Latino and Race,Puerto Rican,2549,(+/- 718 ),879,(+/- 384 ),2662,(+/- 1137 ),3858,(+/- 1283 ),1724,(+/- 942 )
People,Hispanic or Latino and Race,Cuban,967,(+/- 450 ),228,(+/- 245 ),769,(+/- 589 ),904,(+/- 676 ),568,(+/- 512 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,13360,(+/- 2157 ),5269,(+/- 1055 ),7401,(+/- 1879 ),12520,(+/- 2184 ),14583,(+/- 3303 )
