Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Sex and Age,Total population,830772,(+/- 3855 ),809980,(+/- 2987 ),835143,(+/- 7260 ),795499,(+/- 3627 ),822071,(+/- 5920 )
People,Sex and Age,Male,412053,(+/- 3376 ),404218,(+/- 2562 ),412041,(+/- 4658 ),394210,(+/- 2675 ),403516,(+/- 4510 )
People,Sex and Age,Female,418719,(+/- 2458 ),405762,(+/- 2571 ),423102,(+/- 4172 ),401289,(+/- 2762 ),418555,(+/- 3939 )
People,Sex and Age,Under 5 years,48866,(+/- 828 ),45673,(+/- 1239 ),49732,(+/- 1382 ),40766,(+/- 1548 ),49545,(+/- 1800 )
People,Sex and Age,5 to 9 years,55206,(+/- 2979 ),50004,(+/- 2967 ),47937,(+/- 2450 ),40228,(+/- 3331 ),47992,(+/- 2963 )
People,Sex and Age,10 to 14 years,50554,(+/- 2961 ),49809,(+/- 3040 ),43901,(+/- 2873 ),42461,(+/- 3229 ),56064,(+/- 2911 )
People,Sex and Age,15 to 19 years,51929,(+/- 1562 ),49361,(+/- 2651 ),42481,(+/- 1467 ),51910,(+/- 2467 ),55563,(+/- 2132 )
People,Sex and Age,20 to 24 years,48162,(+/- 1364 ),45679,(+/- 2380 ),53385,(+/- 1518 ),65991,(+/- 2555 ),52314,(+/- 2032 )
People,Sex and Age,25 to 34 years,124986,(+/- 2628 ),99445,(+/- 3002 ),145713,(+/- 3396 ),98315,(+/- 2568 ),104574,(+/- 3003 )
People,Sex and Age,35 to 44 years,118840,(+/- 1964 ),94169,(+/- 2619 ),132348,(+/- 2118 ),87889,(+/- 2091 ),100526,(+/- 2406 )
People,Sex and Age,45 to 54 years,110228,(+/- 1728 ),97154,(+/- 2724 ),112085,(+/- 2665 ),92308,(+/- 2759 ),103125,(+/- 2429 )
People,Sex and Age,55 to 59 years,52266,(+/- 2636 ),58238,(+/- 3522 ),48711,(+/- 3028 ),53925,(+/- 2800 ),53528,(+/- 2978 )
People,Sex and Age,60 to 64 years,51785,(+/- 2659 ),58789,(+/- 3490 ),52553,(+/- 2622 ),59876,(+/- 2727 ),57688,(+/- 2966 )
People,Sex and Age,65 to 74 years,72412,(+/- 1490 ),96515,(+/- 2076 ),66232,(+/- 2075 ),96753,(+/- 1736 ),84735,(+/- 1861 )
People,Sex and Age,75 to 84 years,27166,(+/- 1814 ),44642,(+/- 2294 ),27613,(+/- 1807 ),45135,(+/- 2257 ),38816,(+/- 2004 )
People,Sex and Age,85 years and over,18372,(+/- 1712 ),20502,(+/- 2047 ),12452,(+/- 1676 ),19942,(+/- 2000 ),17601,(+/- 1545 )
People,Sex and Age,Median age (years),37.7,(+/- 0.3 ),41.6,(+/- 0.4 ),37.0,(+/- 0.3 ),41.3,(+/- 0.6 ),39.5,(+/- 0.5 )
People,Sex and Age,18 years and over,643959,(+/- 3674 ),633731,(+/- 2876 ),667383,(+/- 6104 ),645302,(+/- 3256 ),634844,(+/- 4754 )
People,Sex and Age,65 years and over,117950,(+/- 1639 ),161659,(+/- 2556 ),106297,(+/- 2590 ),161830,(+/- 2060 ),141152,(+/- 2514 )
People,Race,Total population,830772,(+/- 3855 ),809980,(+/- 2987 ),835143,(+/- 7260 ),795499,(+/- 3627 ),822071,(+/- 5920 )
People,Race,One race,783514,(+/- 6526 ),779854,(+/- 4360 ),793100,(+/- 8171 ),758040,(+/- 4861 ),771364,(+/- 7624 )
People,Race,White,660825,(+/- 6737 ),728420,(+/- 5398 ),661685,(+/- 8809 ),708840,(+/- 4683 ),696040,(+/- 7753 )
People,Race,Black or African American,12444,(+/- 2260 ),6170,(+/- 1662 ),45731,(+/- 3063 ),6187,(+/- 1217 ),9043,(+/- 1199 )
People,Race,American Indian and Alaska Native,5140,(+/- 1571 ),16026,(+/- 1924 ),7168,(+/- 2020 ),9508,(+/- 1996 ),7584,(+/- 1541 )
People,Race,Asian,64144,(+/- 2980 ),7736,(+/- 1185 ),57438,(+/- 3012 ),18409,(+/- 1889 ),21732,(+/- 2790 )
People,Race,Native Hawaiian and Other Pacific Islander,2952,(+/- 1266 ),2076,(+/- 630 ),4660,(+/- 1436 ),1388,(+/- 366 ),3747,(+/- 1361 )
People,Race,Some other race,38009,(+/- 6018 ),19426,(+/- 4319 ),16418,(+/- 3396 ),13708,(+/- 3271 ),33218,(+/- 5041 )
People,Race,Two or more races,47258,(+/- 5265 ),30126,(+/- 3233 ),42043,(+/- 4382 ),37459,(+/- 3038 ),50707,(+/- 6266 )
People,Hispanic or Latino and Race,Total population,830772,(+/- 3855 ),809980,(+/- 2987 ),835143,(+/- 7260 ),795499,(+/- 3627 ),822071,(+/- 5920 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),120263,(+/- 859 ),110435,(+/- 1702 ),95463,(+/- 2835 ),61973,(+/- 1721 ),134434,(+/- 2693 )
People,Hispanic or Latino and Race,Mexican,98125,(+/- 4696 ),91129,(+/- 4829 ),73309,(+/- 4325 ),51001,(+/- 2607 ),111516,(+/- 4576 )
People,Hispanic or Latino and Race,Puerto Rican,2775,(+/- 1425 ),1469,(+/- 727 ),4294,(+/- 1539 ),1289,(+/- 525 ),3238,(+/- 1830 )
People,Hispanic or Latino and Race,Cuban,754,(+/- 508 ),1409,(+/- 1603 ),1829,(+/- 907 ),716,(+/- 471 ),1020,(+/- 567 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,18609,(+/- 4556 ),16428,(+/- 4437 ),16031,(+/- 3121 ),8967,(+/- 2020 ),18660,(+/- 4030 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,710509,(+/- 3805 ),699545,(+/- 3211 ),739680,(+/- 7179 ),733526,(+/- 3777 ),687637,(+/- 5861 )
People,Place of Birth,Total population,830772,(+/- 3855 ),809980,(+/- 2987 ),835143,(+/- 7260 ),795499,(+/- 3627 ),822071,(+/- 5920 )
People,Place of Birth,Native,713707,(+/- 6078 ),762001,(+/- 4089 ),724748,(+/- 9789 ),755095,(+/- 4339 ),743697,(+/- 6816 )
People,Place of Birth,Born in United States,702114,(+/- 6273 ),755037,(+/- 4044 ),712904,(+/- 10055 ),748796,(+/- 4628 ),735580,(+/- 6761 )
People,Place of Birth,State of residence,365394,(+/- 8313 ),358400,(+/- 8950 ),358236,(+/- 8623 ),381534,(+/- 8245 ),431533,(+/- 8044 )
People,Place of Birth,Different state,336720,(+/- 8147 ),396637,(+/- 9606 ),354668,(+/- 8353 ),367262,(+/- 7593 ),304047,(+/- 7502 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11593,(+/- 1850 ),6964,(+/- 1775 ),11844,(+/- 2144 ),6299,(+/- 1386 ),8117,(+/- 1782 )
People,Place of Birth,Foreign born,117065,(+/- 4915 ),47979,(+/- 3225 ),110395,(+/- 7291 ),40404,(+/- 3013 ),78374,(+/- 5174 )
People,Ancestry,Total population,830772,(+/- 3855 ),809980,(+/- 2987 ),835143,(+/- 7260 ),795499,(+/- 3627 ),822071,(+/- 5920 )
People,Ancestry,American,37402,(+/- 4980 ),37449,(+/- 4159 ),41926,(+/- 5801 ),40164,(+/- 3903 ),42044,(+/- 4977 )
People,Ancestry,Arab,6064,(+/- 1527 ),1108,(+/- 606 ),6599,(+/- 2625 ),3486,(+/- 1891 ),3575,(+/- 1526 )
People,Ancestry,Czech,3746,(+/- 902 ),3303,(+/- 1189 ),4854,(+/- 1170 ),2644,(+/- 810 ),4179,(+/- 1281 )
People,Ancestry,Danish,10551,(+/- 2220 ),7140,(+/- 1442 ),6794,(+/- 1566 ),8066,(+/- 1710 ),8416,(+/- 2021 )
People,Ancestry,Dutch,16445,(+/- 2762 ),17748,(+/- 2627 ),15295,(+/- 2161 ),16838,(+/- 3031 ),17181,(+/- 2432 )
People,Ancestry,English,90154,(+/- 5757 ),81105,(+/- 6460 ),79845,(+/- 5495 ),90728,(+/- 5735 ),85517,(+/- 5148 )
People,Ancestry,French (except Basque),19999,(+/- 3008 ),19245,(+/- 2795 ),24930,(+/- 2854 ),29166,(+/- 3280 ),23880,(+/- 2830 )
People,Ancestry,French Canadian,5433,(+/- 2167 ),6201,(+/- 1725 ),5131,(+/- 1133 ),5869,(+/- 1598 ),6367,(+/- 1626 )
People,Ancestry,German,151821,(+/- 8837 ),145382,(+/- 8471 ),142955,(+/- 8561 ),156866,(+/- 6939 ),153316,(+/- 8736 )
People,Ancestry,Greek,2639,(+/- 901 ),2366,(+/- 738 ),3860,(+/- 1530 ),2232,(+/- 741 ),2259,(+/- 845 )
People,Ancestry,Hungarian,4526,(+/- 1654 ),1570,(+/- 733 ),3154,(+/- 927 ),3086,(+/- 1031 ),3600,(+/- 1149 )
People,Ancestry,Irish,95078,(+/- 6777 ),88836,(+/- 5762 ),88480,(+/- 6447 ),98667,(+/- 6085 ),85816,(+/- 6150 )
People,Ancestry,Italian,31224,(+/- 3921 ),32012,(+/- 3780 ),33925,(+/- 3735 ),35405,(+/- 5016 ),26914,(+/- 3155 )
People,Ancestry,Lithuanian,772,(+/- 408 ),651,(+/- 379 ),2024,(+/- 689 ),1129,(+/- 464 ),822,(+/- 377 )
People,Ancestry,Norwegian,31800,(+/- 3851 ),21491,(+/- 2944 ),26723,(+/- 2873 ),29742,(+/- 3625 ),33555,(+/- 3925 )
People,Ancestry,Polish,13534,(+/- 2109 ),10149,(+/- 2272 ),16022,(+/- 2166 ),15934,(+/- 2624 ),12948,(+/- 2345 )
People,Ancestry,Portuguese,3616,(+/- 1186 ),5190,(+/- 1915 ),2980,(+/- 1222 ),5406,(+/- 1443 ),4763,(+/- 1796 )
