Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE
People,Sex and Age,Total population,721901,(+/- 19220 ),711404,(+/- 16934 ),693850,(+/- 4569 ),726738,(+/- 4737 ),700472,(+/- 4591 ),737397,(+/- 11534 ),712330,(+/- 12061 ),709746,(+/- 6045 ),689669,(+/- 5402 ),689108,(+/- 7525 ),707150,(+/- 8282 ),697773,(+/- 8275 ),731754,(+/- 15317 ),696529,(+/- 8106 ),725473,(+/- 8109 ),725915,(+/- 8849 ),699918,(+/- 9688 ),707100,(+/- 9522 )
People,Sex and Age,Male,352634,(+/- 11790 ),327545,(+/- 9240 ),342645,(+/- 2783 ),354367,(+/- 3368 ),359449,(+/- 2871 ),361439,(+/- 6551 ),347700,(+/- 7527 ),348275,(+/- 3028 ),340322,(+/- 3592 ),343103,(+/- 4317 ),351664,(+/- 5147 ),343480,(+/- 5203 ),347948,(+/- 9436 ),334643,(+/- 4841 ),357087,(+/- 4855 ),356344,(+/- 4883 ),348148,(+/- 6562 ),346077,(+/- 5845 )
People,Sex and Age,Female,369267,(+/- 9358 ),383859,(+/- 10270 ),351205,(+/- 3179 ),372371,(+/- 3185 ),341023,(+/- 3158 ),375958,(+/- 7507 ),364630,(+/- 6367 ),361471,(+/- 3600 ),349347,(+/- 3257 ),346005,(+/- 4626 ),355486,(+/- 5098 ),354293,(+/- 4939 ),383806,(+/- 9207 ),361886,(+/- 5332 ),368386,(+/- 4472 ),369571,(+/- 5466 ),351770,(+/- 4846 ),361023,(+/- 5809 )
People,Sex and Age,Under 5 years,50485,(+/- 4057 ),43962,(+/- 3574 ),36555,(+/- 1073 ),40629,(+/- 1608 ),32909,(+/- 1207 ),41864,(+/- 2880 ),41269,(+/- 2814 ),34218,(+/- 1156 ),34436,(+/- 1456 ),36046,(+/- 1692 ),39312,(+/- 1961 ),37784,(+/- 2307 ),47301,(+/- 4284 ),35466,(+/- 2400 ),39531,(+/- 1716 ),49433,(+/- 1948 ),33211,(+/- 2262 ),35332,(+/- 2255 )
People,Sex and Age,5 to 9 years,47769,(+/- 4190 ),35732,(+/- 4103 ),41420,(+/- 2096 ),42813,(+/- 3068 ),36992,(+/- 2268 ),43544,(+/- 3051 ),44378,(+/- 3062 ),42962,(+/- 2395 ),35704,(+/- 2221 ),38339,(+/- 2178 ),37145,(+/- 2149 ),38704,(+/- 2993 ),48039,(+/- 3841 ),30677,(+/- 2503 ),42238,(+/- 3026 ),50032,(+/- 2960 ),38085,(+/- 2667 ),36426,(+/- 2691 )
People,Sex and Age,10 to 14 years,45902,(+/- 3692 ),36915,(+/- 3527 ),35906,(+/- 2087 ),44826,(+/- 2797 ),37936,(+/- 2039 ),47610,(+/- 3315 ),45258,(+/- 3455 ),42952,(+/- 2515 ),43845,(+/- 2691 ),41996,(+/- 2096 ),41589,(+/- 2569 ),38774,(+/- 2674 ),45453,(+/- 3653 ),32039,(+/- 2426 ),46558,(+/- 2812 ),45863,(+/- 2865 ),41870,(+/- 3315 ),42589,(+/- 3003 )
People,Sex and Age,15 to 19 years,42462,(+/- 3999 ),51653,(+/- 3793 ),45892,(+/- 1624 ),47220,(+/- 1872 ),56806,(+/- 2878 ),51742,(+/- 2524 ),45479,(+/- 2450 ),43862,(+/- 1298 ),44390,(+/- 1737 ),44777,(+/- 2177 ),46501,(+/- 2113 ),39195,(+/- 2105 ),43672,(+/- 3406 ),41486,(+/- 2173 ),49634,(+/- 2034 ),50705,(+/- 1895 ),44630,(+/- 2330 ),42703,(+/- 2477 )
People,Sex and Age,20 to 24 years,47802,(+/- 3281 ),64697,(+/- 3793 ),42471,(+/- 1622 ),44501,(+/- 1795 ),57037,(+/- 2701 ),46301,(+/- 2771 ),40967,(+/- 2407 ),40948,(+/- 1577 ),44269,(+/- 1395 ),41179,(+/- 2264 ),43049,(+/- 2112 ),34504,(+/- 2162 ),46747,(+/- 3513 ),57247,(+/- 2237 ),47951,(+/- 2553 ),49520,(+/- 2167 ),47326,(+/- 2431 ),34304,(+/- 2285 )
People,Sex and Age,25 to 34 years,140441,(+/- 6971 ),132486,(+/- 6165 ),82986,(+/- 1966 ),91960,(+/- 2319 ),82960,(+/- 2036 ),89998,(+/- 4090 ),77030,(+/- 3433 ),77985,(+/- 2065 ),76849,(+/- 1806 ),76050,(+/- 2729 ),84929,(+/- 3104 ),78299,(+/- 3697 ),106879,(+/- 5582 ),123199,(+/- 3595 ),89202,(+/- 3740 ),94010,(+/- 2856 ),86638,(+/- 3376 ),82142,(+/- 3779 )
People,Sex and Age,35 to 44 years,93702,(+/- 5025 ),79444,(+/- 4719 ),74752,(+/- 1980 ),86700,(+/- 2712 ),78342,(+/- 1678 ),85375,(+/- 3495 ),84319,(+/- 3754 ),83557,(+/- 2100 ),78065,(+/- 1902 ),75329,(+/- 2477 ),80209,(+/- 3567 ),79715,(+/- 3553 ),90825,(+/- 4600 ),72692,(+/- 3423 ),88962,(+/- 2969 ),84878,(+/- 2612 ),79006,(+/- 3465 ),85493,(+/- 3682 )
People,Sex and Age,45 to 54 years,89500,(+/- 3818 ),81207,(+/- 3097 ),99240,(+/- 2066 ),103372,(+/- 2642 ),91206,(+/- 2145 ),109449,(+/- 3818 ),103092,(+/- 3747 ),107371,(+/- 1694 ),91987,(+/- 1835 ),97340,(+/- 2834 ),100111,(+/- 3405 ),97611,(+/- 3170 ),94889,(+/- 3900 ),83488,(+/- 3222 ),96280,(+/- 2966 ),94251,(+/- 2203 ),98862,(+/- 3073 ),98371,(+/- 3565 )
