Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,3411307,(*****)
People,Sex and Age,Male,1625567,(+/- 3242 )
People,Sex and Age,Female,1785740,(+/- 3242 )
People,Sex and Age,Under 5 years,159753,(+/- 1598 )
People,Sex and Age,5 to 9 years,185471,(+/- 5976 )
People,Sex and Age,10 to 14 years,211269,(+/- 5771 )
People,Sex and Age,15 to 19 years,238225,(+/- 4249 )
People,Sex and Age,20 to 24 years,244392,(+/- 4603 )
People,Sex and Age,25 to 34 years,413129,(+/- 5104 )
People,Sex and Age,35 to 44 years,440352,(+/- 4508 )
People,Sex and Age,45 to 54 years,440533,(+/- 3397 )
People,Sex and Age,55 to 59 years,220311,(+/- 5447 )
People,Sex and Age,60 to 64 years,211987,(+/- 5444 )
People,Sex and Age,65 to 74 years,365448,(+/- 536 )
People,Sex and Age,75 to 84 years,203732,(+/- 3339 )
People,Sex and Age,85 years and over,76705,(+/- 3294 )
People,Sex and Age,Median age (years),40.7,(+/- 0.2 )
People,Sex and Age,18 years and over,2715431,(*****)
People,Sex and Age,65 years and over,645885,(*****)
People,Race,Total population,3411307,(*****)
People,Race,One race,3263452,(+/- 10164 )
People,Race,White,2278731,(+/- 20296 )
People,Race,Black or African American,395069,(+/- 12347 )
People,Race,American Indian and Alaska Native,8082,(+/- 2395 )
People,Race,Asian,5691,(+/- 1571 )
People,Race,Native Hawaiian and Other Pacific Islander,193,(+/- 196 )
People,Race,Some other race,575686,(+/- 19645 )
People,Race,Two or more races,147855,(+/- 10164 )
People,Hispanic or Latino and Race,Total population,3411307,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),3365841,(+/- 5205 )
People,Hispanic or Latino and Race,Mexican,10932,(+/- 1961 )
People,Hispanic or Latino and Race,Puerto Rican,3263755,(+/- 7560 )
People,Hispanic or Latino and Race,Cuban,12457,(+/- 2023 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,78697,(+/- 5997 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,45466,(+/- 5205 )
People,Place of Birth,Total population,3411307,(*****)
People,Place of Birth,Native,3319914,(+/- 6013 )
People,Place of Birth,Born in Puerto Rico or the United States,3310107,(+/- 6221 )
People,Place of Birth,In Puerto Rico,3143727,(+/- 8714 )
People,Place of Birth,In the United States,166380,(+/- 7460 )
People,Place of Birth,"Born in U.S. Island areas, or born abroad of American parents",9807,(+/- 1807 )
People,Place of Birth,Foreign born,91393,(+/- 6013 )
People,Ancestry,Total population,N,(N)
People,Ancestry,American,N,(N)
People,Ancestry,Arab,N,(N)
People,Ancestry,Czech,N,(N)
People,Ancestry,Danish,N,(N)
People,Ancestry,Dutch,N,(N)
People,Ancestry,English,N,(N)
People,Ancestry,French (except Basque),N,(N)
People,Ancestry,French Canadian,N,(N)
People,Ancestry,German,N,(N)
People,Ancestry,Greek,N,(N)
People,Ancestry,Hungarian,N,(N)
People,Ancestry,Irish,N,(N)
People,Ancestry,Italian,N,(N)
People,Ancestry,Lithuanian,N,(N)
People,Ancestry,Norwegian,N,(N)
People,Ancestry,Polish,N,(N)
People,Ancestry,Portuguese,N,(N)
People,Ancestry,Russian,N,(N)
People,Ancestry,Scotch-Irish,N,(N)
People,Ancestry,Scottish,N,(N)
People,Ancestry,Slovak,N,(N)
People,Ancestry,Subsaharan African,N,(N)
People,Ancestry,Swedish,N,(N)
People,Ancestry,Swiss,N,(N)
People,Ancestry,Ukrainian,N,(N)
People,Ancestry,Welsh,N,(N)
People,Ancestry,West Indian (excluding Hispanic origin groups),N,(N)
People,Veteran Status,Civilian population 18 years and over,2713681,(+/- 820 )
People,Veteran Status,Civilian veterans,79492,(+/- 4324 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,3384148,(+/- 818 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,721435,(+/- 13728 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,695620,(+/- 241 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,58882,(+/- 3963 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,2049055,(+/- 1153 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,354695,(+/- 10964 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,639473,(+/- 502 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,307858,(+/- 5407 )
People,Residence 1 Year Ago,Population 1 year and over,3384760,(+/- 2761 )
People,Residence 1 Year Ago,Same house,3143116,(+/- 12230 )
People,Residence 1 Year Ago,Different house in Puerto Rico or the U.S.,238165,(+/- 11699 )
People,Residence 1 Year Ago,In Puerto Rico,216969,(+/- 11523 )
People,Residence 1 Year Ago,Same municipio,138120,(+/- 9367 )
People,Residence 1 Year Ago,Different municipio,78849,(+/- 7797 )
People,Residence 1 Year Ago,In the United States,21196,(+/- 3444 )
