Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE
People,Sex and Age,Total population,536871,(+/- 7384 ),519555,(+/- 7384 )
People,Sex and Age,Male,260742,(+/- 4692 ),250616,(+/- 4733 )
People,Sex and Age,Female,276129,(+/- 4960 ),268939,(+/- 4790 )
People,Sex and Age,Under 5 years,29237,(+/- 2318 ),24907,(+/- 2183 )
People,Sex and Age,5 to 9 years,27856,(+/- 2585 ),23648,(+/- 2101 )
People,Sex and Age,10 to 14 years,33630,(+/- 2989 ),30715,(+/- 2620 )
People,Sex and Age,15 to 19 years,38312,(+/- 2453 ),35702,(+/- 1973 )
People,Sex and Age,20 to 24 years,37876,(+/- 2667 ),40498,(+/- 2235 )
People,Sex and Age,25 to 34 years,76984,(+/- 2944 ),65808,(+/- 3005 )
People,Sex and Age,35 to 44 years,62419,(+/- 2437 ),60614,(+/- 2510 )
People,Sex and Age,45 to 54 years,72048,(+/- 3247 ),74585,(+/- 3249 )
People,Sex and Age,55 to 59 years,40273,(+/- 2342 ),38631,(+/- 2560 )
People,Sex and Age,60 to 64 years,34956,(+/- 2513 ),33672,(+/- 2308 )
People,Sex and Age,65 to 74 years,45026,(+/- 1960 ),52021,(+/- 1925 )
People,Sex and Age,75 to 84 years,25029,(+/- 1753 ),24238,(+/- 1908 )
People,Sex and Age,85 years and over,13225,(+/- 1405 ),14516,(+/- 1570 )
People,Sex and Age,Median age (years),38.9,(+/- 0.7 ),41.3,(+/- 0.7 )
People,Sex and Age,18 years and over,425211,(+/- 6266 ),422575,(+/- 6330 )
People,Sex and Age,65 years and over,83280,(+/- 2770 ),90775,(+/- 2830 )
People,Race,Total population,536871,(+/- 7384 ),519555,(+/- 7384 )
People,Race,One race,517589,(+/- 7789 ),505950,(+/- 7524 )
People,Race,White,409930,(+/- 7006 ),440175,(+/- 6789 )
People,Race,Black or African American,48990,(+/- 4519 ),18536,(+/- 3013 )
People,Race,American Indian and Alaska Native,3381,(+/- 1787 ),1923,(+/- 1023 )
People,Race,Asian,20660,(+/- 2449 ),16215,(+/- 2891 )
People,Race,Native Hawaiian and Other Pacific Islander,834,(+/- 647 ),603,(+/- 672 )
People,Race,Some other race,33794,(+/- 5071 ),28498,(+/- 5310 )
People,Race,Two or more races,19282,(+/- 3404 ),13605,(+/- 2763 )
People,Hispanic or Latino and Race,Total population,536871,(+/- 7384 ),519555,(+/- 7384 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),88993,(+/- 5651 ),68359,(+/- 5650 )
People,Hispanic or Latino and Race,Mexican,6503,(+/- 2074 ),6612,(+/- 2557 )
People,Hispanic or Latino and Race,Puerto Rican,21169,(+/- 3344 ),17641,(+/- 4407 )
People,Hispanic or Latino and Race,Cuban,800,(+/- 615 ),2039,(+/- 914 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,60521,(+/- 5520 ),42067,(+/- 4931 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,447878,(+/- 5577 ),451196,(+/- 5577 )
People,Place of Birth,Total population,536871,(+/- 7384 ),519555,(+/- 7384 )
People,Place of Birth,Native,443639,(+/- 7658 ),464307,(+/- 7488 )
People,Place of Birth,Born in United States,429591,(+/- 7504 ),455176,(+/- 6897 )
People,Place of Birth,State of residence,270866,(+/- 6872 ),324491,(+/- 7371 )
People,Place of Birth,Different state,158725,(+/- 6292 ),130685,(+/- 6023 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",14048,(+/- 2360 ),9131,(+/- 2496 )
People,Place of Birth,Foreign born,93232,(+/- 6564 ),55248,(+/- 4840 )
People,Ancestry,Total population,536871,(+/- 7384 ),519555,(+/- 7384 )
People,Ancestry,American,21323,(+/- 3260 ),20214,(+/- 3239 )
People,Ancestry,Arab,4799,(+/- 1616 ),2857,(+/- 1025 )
People,Ancestry,Czech,611,(+/- 435 ),1387,(+/- 894 )
People,Ancestry,Danish,234,(+/- 154 ),778,(+/- 505 )
People,Ancestry,Dutch,2814,(+/- 1117 ),1662,(+/- 780 )
People,Ancestry,English,47758,(+/- 3733 ),66665,(+/- 5612 )
People,Ancestry,French (except Basque),45022,(+/- 4074 ),49243,(+/- 5147 )
People,Ancestry,French Canadian,33338,(+/- 4123 ),21511,(+/- 3212 )
People,Ancestry,German,26024,(+/- 2872 ),29534,(+/- 3506 )
People,Ancestry,Greek,2349,(+/- 945 ),3419,(+/- 1256 )
People,Ancestry,Hungarian,1147,(+/- 566 ),1129,(+/- 467 )
People,Ancestry,Irish,85618,(+/- 5478 ),102099,(+/- 6764 )
People,Ancestry,Italian,66485,(+/- 5249 ),116320,(+/- 6252 )
People,Ancestry,Lithuanian,1358,(+/- 580 ),2145,(+/- 1107 )
People,Ancestry,Norwegian,2038,(+/- 638 ),2030,(+/- 739 )
People,Ancestry,Polish,20931,(+/- 3261 ),19612,(+/- 2964 )
People,Ancestry,Portuguese,60981,(+/- 5284 ),33606,(+/- 5166 )
People,Ancestry,Russian,6520,(+/- 1752 ),6034,(+/- 1728 )
People,Ancestry,Scotch-Irish,3918,(+/- 1328 ),3090,(+/- 846 )
People,Ancestry,Scottish,8010,(+/- 1957 ),10338,(+/- 1685 )
People,Ancestry,Slovak,423,(+/- 359 ),982,(+/- 595 )
People,Ancestry,Subsaharan African,28782,(+/- 4393 ),5938,(+/- 2000 )
People,Ancestry,Swedish,7535,(+/- 1689 ),12269,(+/- 3133 )
People,Ancestry,Swiss,919,(+/- 515 ),416,(+/- 296 )
People,Ancestry,Ukrainian,2994,(+/- 1601 ),1846,(+/- 1197 )
People,Ancestry,Welsh,589,(+/- 386 ),1126,(+/- 441 )
People,Ancestry,West Indian (excluding Hispanic origin groups),6587,(+/- 2908 ),4568,(+/- 2569 )
People,Veteran Status,Civilian population 18 years and over,422099,(+/- 6302 ),422307,(+/- 6302 )
People,Veteran Status,Civilian veterans,26158,(+/- 2160 ),29307,(+/- 2186 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,527744,(+/- 7540 ),512515,(+/- 7507 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,72904,(+/- 4097 ),70141,(+/- 5177 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,111491,(+/- 3420 ),96777,(+/- 3307 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,7765,(+/- 1663 ),5859,(+/- 1351 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,337343,(+/- 5760 ),328133,(+/- 6061 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,41754,(+/- 3227 ),35009,(+/- 3268 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,78910,(+/- 2822 ),87605,(+/- 2750 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,23385,(+/- 2358 ),29273,(+/- 2656 )
People,Residence 1 Year Ago,Population 1 year and over,530877,(+/- 7523 ),514814,(+/- 7240 )
People,Residence 1 Year Ago,Same house,445138,(+/- 9723 ),453436,(+/- 9988 )
People,Residence 1 Year Ago,Different house in the U.S.,79493,(+/- 7472 ),60032,(+/- 5977 )
People,Residence 1 Year Ago,Same county,52131,(+/- 6468 ),35655,(+/- 4829 )
People,Residence 1 Year Ago,Different county,27362,(+/- 3613 ),24377,(+/- 3919 )
People,Residence 1 Year Ago,Same state,6127,(+/- 2074 ),12812,(+/- 2826 )
People,Residence 1 Year Ago,Different state,21235,(+/- 2937 ),11565,(+/- 2561 )
People,Residence 1 Year Ago,Abroad,6246,(+/- 2382 ),1346,(+/- 860 )
Workers,Employment Status,Population 16 years and over,439651,(+/- 6820 ),434659,(+/- 6725 )
Workers,Employment Status,In labor force,279279,(+/- 7072 ),278994,(+/- 6092 )
Workers,Employment Status,Civilian labor force,276167,(+/- 7101 ),278726,(+/- 6076 )
Workers,Employment Status,Employed,259160,(+/- 6995 ),262719,(+/- 5864 )
Workers,Employment Status,Unemployed,17007,(+/- 2282 ),16007,(+/- 2545 )
Workers,Employment Status,Armed Forces,3112,(+/- 665 ),268,(+/- 232 )
Workers,Employment Status,Not in labor force,160372,(+/- 6540 ),155665,(+/- 5763 )
Workers,Employment Status,Civilian labor force,276167,(+/- 7101 ),278726,(+/- 6076 )
Workers,Employment Status,Unemployment Rate,6.2,(+/- 0.8 ),5.7,(+/- 0.9 )
Workers,Commuting to Work,Workers 16 years and over,256180,(+/- 6985 ),254324,(+/- 5532 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",200536,(+/- 6346 ),209193,(+/- 5837 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",22904,(+/- 2839 ),19737,(+/- 2701 )
Workers,Commuting to Work,Public transportation (excluding taxicab),7824,(+/- 1780 ),4649,(+/- 1121 )
Workers,Commuting to Work,Walked,11122,(+/- 1582 ),7323,(+/- 1569 )
Workers,Commuting to Work,Other means,2189,(+/- 707 ),3273,(+/- 1163 )
Workers,Commuting to Work,Worked at home,11605,(+/- 1567 ),10149,(+/- 1648 )
Workers,Commuting to Work,Mean travel time to work (minutes),24.7,(+/- 0.8 ),25.0,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,259160,(+/- 6995 ),262719,(+/- 5864 )
Workers,Occupation,"Management, business, science, and arts occupations",100340,(+/- 4369 ),104711,(+/- 5522 )
Workers,Occupation,Service occupations,51391,(+/- 4451 ),50514,(+/- 3867 )
Workers,Occupation,Sales and office occupations,57370,(+/- 3201 ),61605,(+/- 3761 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",17627,(+/- 1999 ),21190,(+/- 3146 )
Workers,Occupation,"Production, transportation, and material moving occupations",32432,(+/- 2911 ),24699,(+/- 2439 )
Workers,Industry,Civilian employed population 16 years and over,259160,(+/- 6995 ),262719,(+/- 5864 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1046,(+/- 484 ),1399,(+/- 742 )
Workers,Industry,Construction,13760,(+/- 1924 ),14240,(+/- 2313 )
Workers,Industry,Manufacturing,29916,(+/- 3043 ),26325,(+/- 2742 )
Workers,Industry,Wholesale trade,5193,(+/- 1112 ),4962,(+/- 1220 )
Workers,Industry,Retail trade,33375,(+/- 3149 ),32281,(+/- 3229 )
Workers,Industry,"Transportation and warehousing, and utilities",8429,(+/- 1445 ),9219,(+/- 1821 )
Workers,Industry,Information,4473,(+/- 1189 ),3974,(+/- 1044 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17964,(+/- 2318 ),16744,(+/- 1901 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27398,(+/- 2951 ),25557,(+/- 2786 )
Workers,Industry,"Educational services, and health care and social assistance",69153,(+/- 3776 ),78349,(+/- 4617 )
