Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE
People,Sex and Age,Total population,761869,(+/- 8594 ),703246,(+/- 8723 ),684619,(+/- 6153 ),716552,(+/- 6805 ),704256,(+/- 5234 ),680469,(+/- 12932 ),710108,(+/- 3147 )
People,Sex and Age,Male,367587,(+/- 5152 ),342610,(+/- 5372 ),333835,(+/- 4172 ),347313,(+/- 4079 ),344097,(+/- 4071 ),332615,(+/- 7425 ),337286,(+/- 3602 )
People,Sex and Age,Female,394282,(+/- 5200 ),360636,(+/- 5419 ),350784,(+/- 4251 ),369239,(+/- 4196 ),360159,(+/- 3947 ),347854,(+/- 7789 ),372822,(+/- 3628 )
People,Sex and Age,Under 5 years,44965,(+/- 2135 ),40852,(+/- 1616 ),40448,(+/- 1889 ),43788,(+/- 1768 ),40471,(+/- 1924 ),41764,(+/- 3105 ),37724,(+/- 1542 )
People,Sex and Age,5 to 9 years,45695,(+/- 3204 ),45879,(+/- 3559 ),40258,(+/- 3070 ),47885,(+/- 3051 ),44050,(+/- 2858 ),45111,(+/- 3202 ),41084,(+/- 2943 )
People,Sex and Age,10 to 14 years,47417,(+/- 3255 ),43828,(+/- 2904 ),43964,(+/- 2746 ),44917,(+/- 3021 ),49214,(+/- 2723 ),40257,(+/- 3015 ),45023,(+/- 3093 )
People,Sex and Age,15 to 19 years,46160,(+/- 3016 ),49026,(+/- 2545 ),48364,(+/- 3242 ),47533,(+/- 1874 ),46727,(+/- 2819 ),48832,(+/- 3199 ),44117,(+/- 2710 )
People,Sex and Age,20 to 24 years,45306,(+/- 2973 ),45462,(+/- 2902 ),48039,(+/- 2900 ),46369,(+/- 1770 ),43278,(+/- 2746 ),62073,(+/- 4028 ),36763,(+/- 2251 )
People,Sex and Age,25 to 34 years,110209,(+/- 3425 ),90845,(+/- 3102 ),83582,(+/- 3365 ),96576,(+/- 1969 ),83788,(+/- 3008 ),97756,(+/- 3930 ),84242,(+/- 3204 )
People,Sex and Age,35 to 44 years,99156,(+/- 3414 ),90721,(+/- 3152 ),78459,(+/- 2919 ),91187,(+/- 1967 ),90506,(+/- 3393 ),77874,(+/- 4950 ),83625,(+/- 3117 )
People,Sex and Age,45 to 54 years,96108,(+/- 3120 ),95822,(+/- 2558 ),88392,(+/- 2592 ),96333,(+/- 2125 ),98438,(+/- 2465 ),78138,(+/- 3835 ),90233,(+/- 2460 )
People,Sex and Age,55 to 59 years,45642,(+/- 3232 ),47446,(+/- 3252 ),48751,(+/- 2856 ),47704,(+/- 2671 ),47399,(+/- 3184 ),43265,(+/- 2897 ),52281,(+/- 2938 )
People,Sex and Age,60 to 64 years,50862,(+/- 3304 ),47047,(+/- 3240 ),43777,(+/- 2985 ),41574,(+/- 2698 ),47151,(+/- 2694 ),40834,(+/- 3149 ),52606,(+/- 3016 )
People,Sex and Age,65 to 74 years,83865,(+/- 2097 ),66476,(+/- 1849 ),72474,(+/- 1703 ),67175,(+/- 1820 ),69658,(+/- 1683 ),65325,(+/- 2661 ),89840,(+/- 1612 )
People,Sex and Age,75 to 84 years,31408,(+/- 2088 ),27916,(+/- 1778 ),35277,(+/- 1741 ),33753,(+/- 1625 ),32848,(+/- 1686 ),27967,(+/- 2230 ),39273,(+/- 1908 )
People,Sex and Age,85 years and over,15076,(+/- 1977 ),11926,(+/- 1444 ),12834,(+/- 1507 ),11758,(+/- 1502 ),10728,(+/- 1384 ),11273,(+/- 1559 ),13297,(+/- 1789 )
People,Sex and Age,Median age (years),38.6,(+/- 0.5 ),38.9,(+/- 0.5 ),39.5,(+/- 0.5 ),38.3,(+/- 0.4 ),40.3,(+/- 0.5 ),35.4,(+/- 0.6 ),43.0,(+/- 0.5 )
People,Sex and Age,18 years and over,596521,(+/- 6309 ),544690,(+/- 6984 ),533222,(+/- 5084 ),552060,(+/- 4810 ),542135,(+/- 3561 ),531107,(+/- 9834 ),561420,(+/- 2750 )
People,Sex and Age,65 years and over,130349,(+/- 2564 ),106318,(+/- 2194 ),120585,(+/- 1723 ),112686,(+/- 1953 ),113234,(+/- 1916 ),104565,(+/- 3318 ),142410,(+/- 1791 )
People,Race,Total population,761869,(+/- 8594 ),703246,(+/- 8723 ),684619,(+/- 6153 ),716552,(+/- 6805 ),704256,(+/- 5234 ),680469,(+/- 12932 ),710108,(+/- 3147 )
People,Race,One race,743118,(+/- 8767 ),683676,(+/- 8853 ),670542,(+/- 6773 ),701445,(+/- 7116 ),690382,(+/- 5412 ),668551,(+/- 12938 ),695309,(+/- 4371 )
People,Race,White,575670,(+/- 6625 ),493859,(+/- 6120 ),528975,(+/- 5580 ),531230,(+/- 6983 ),479673,(+/- 5901 ),258967,(+/- 8504 ),474178,(+/- 4850 )
People,Race,Black or African American,138444,(+/- 7201 ),165121,(+/- 7695 ),123091,(+/- 4103 ),135589,(+/- 4214 ),186508,(+/- 5134 ),389399,(+/- 11172 ),199492,(+/- 4852 )
People,Race,American Indian and Alaska Native,2190,(+/- 1242 ),2138,(+/- 867 ),1369,(+/- 1190 ),1280,(+/- 642 ),4078,(+/- 1759 ),1521,(+/- 837 ),3434,(+/- 757 )
People,Race,Asian,14001,(+/- 1732 ),12085,(+/- 1482 ),8044,(+/- 1095 ),17365,(+/- 1268 ),7841,(+/- 1356 ),8917,(+/- 2471 ),8617,(+/- 2352 )
People,Race,Native Hawaiian and Other Pacific Islander,106,(+/- 81 ),781,(+/- 691 ),741,(+/- 680 ),308,(+/- 272 ),257,(+/- 281 ),0,(+/- 207 ),368,(+/- 375 )
People,Race,Some other race,12707,(+/- 4003 ),9692,(+/- 2863 ),8322,(+/- 2767 ),15673,(+/- 3920 ),12025,(+/- 3390 ),9747,(+/- 3267 ),9220,(+/- 2941 )
People,Race,Two or more races,18751,(+/- 3833 ),19570,(+/- 3728 ),14077,(+/- 2498 ),15107,(+/- 3409 ),13874,(+/- 2863 ),11918,(+/- 2468 ),14799,(+/- 3124 )
