Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,865454,(*****)
People,Sex and Age,Male,435668,(+/- 1995 )
People,Sex and Age,Female,429786,(+/- 1995 )
People,Sex and Age,Under 5 years,60892,(+/- 1176 )
People,Sex and Age,5 to 9 years,61712,(+/- 2585 )
People,Sex and Age,10 to 14 years,58129,(+/- 2640 )
People,Sex and Age,15 to 19 years,59375,(+/- 2204 )
People,Sex and Age,20 to 24 years,59452,(+/- 2261 )
People,Sex and Age,25 to 34 years,111536,(+/- 2582 )
People,Sex and Age,35 to 44 years,98662,(+/- 1698 )
People,Sex and Age,45 to 54 years,101899,(+/- 1547 )
People,Sex and Age,55 to 59 years,60333,(+/- 2731 )
People,Sex and Age,60 to 64 years,55895,(+/- 2650 )
People,Sex and Age,65 to 74 years,77216,(+/- 916 )
People,Sex and Age,75 to 84 years,39802,(+/- 1839 )
People,Sex and Age,85 years and over,20551,(+/- 1851 )
People,Sex and Age,Median age (years),36.8,(+/- 0.3 )
People,Sex and Age,18 years and over,651553,(+/- 1285 )
People,Sex and Age,65 years and over,137569,(+/- 1031 )
People,Race,Total population,865454,(*****)
People,Race,One race,843906,(+/- 2935 )
People,Race,White,732939,(+/- 2644 )
People,Race,Black or African American,14524,(+/- 1410 )
People,Race,American Indian and Alaska Native,77378,(+/- 3710 )
People,Race,Asian,12953,(+/- 1806 )
People,Race,Native Hawaiian and Other Pacific Islander,218,(+/- 228 )
People,Race,Some other race,5894,(+/- 1933 )
People,Race,Two or more races,21548,(+/- 2935 )
People,Hispanic or Latino and Race,Total population,865454,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),32227,(+/- 1422 )
People,Hispanic or Latino and Race,Mexican,20802,(+/- 2326 )
People,Hispanic or Latino and Race,Puerto Rican,2142,(+/- 1019 )
People,Hispanic or Latino and Race,Cuban,757,(+/- 538 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,8526,(+/- 1948 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,833227,(+/- 1422 )
People,Place of Birth,Total population,865454,(*****)
People,Place of Birth,Native,834528,(+/- 2591 )
People,Place of Birth,Born in United States,827926,(+/- 2961 )
People,Place of Birth,State of residence,558293,(+/- 7390 )
People,Place of Birth,Different state,269633,(+/- 7392 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6602,(+/- 1586 )
People,Place of Birth,Foreign born,30926,(+/- 2591 )
People,Ancestry,Total population,865454,(*****)
People,Ancestry,American,29844,(+/- 3601 )
People,Ancestry,Arab,1432,(+/- 792 )
People,Ancestry,Czech,17491,(+/- 2241 )
People,Ancestry,Danish,17017,(+/- 2526 )
People,Ancestry,Dutch,41504,(+/- 3401 )
People,Ancestry,English,48963,(+/- 3623 )
People,Ancestry,French (except Basque),19742,(+/- 2541 )
People,Ancestry,French Canadian,4177,(+/- 1104 )
People,Ancestry,German,334966,(+/- 8734 )
People,Ancestry,Greek,1068,(+/- 485 )
People,Ancestry,Hungarian,1059,(+/- 454 )
People,Ancestry,Irish,93642,(+/- 5958 )
People,Ancestry,Italian,9975,(+/- 1762 )
People,Ancestry,Lithuanian,310,(+/- 235 )
People,Ancestry,Norwegian,120062,(+/- 6549 )
People,Ancestry,Polish,17786,(+/- 3205 )
People,Ancestry,Portuguese,314,(+/- 258 )
People,Ancestry,Russian,13910,(+/- 2340 )
People,Ancestry,Scotch-Irish,4740,(+/- 1282 )
People,Ancestry,Scottish,9474,(+/- 1930 )
People,Ancestry,Slovak,229,(+/- 194 )
People,Ancestry,Subsaharan African,6795,(+/- 1950 )
People,Ancestry,Swedish,28659,(+/- 3262 )
People,Ancestry,Swiss,3844,(+/- 999 )
People,Ancestry,Ukrainian,2039,(+/- 1175 )
People,Ancestry,Welsh,5864,(+/- 1596 )
People,Ancestry,West Indian (excluding Hispanic origin groups),386,(+/- 355 )
People,Veteran Status,Civilian population 18 years and over,649687,(+/- 1323 )
People,Veteran Status,Civilian veterans,61405,(+/- 2974 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,848774,(+/- 457 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,103296,(+/- 4714 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,212981,(+/- 1327 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,8209,(+/- 1457 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,504919,(+/- 1531 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,51003,(+/- 3331 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,130874,(+/- 1022 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,44084,(+/- 2572 )
People,Residence 1 Year Ago,Population 1 year and over,853832,(+/- 1413 )
People,Residence 1 Year Ago,Same house,720262,(+/- 7279 )
People,Residence 1 Year Ago,Different house in the U.S.,129536,(+/- 7218 )
People,Residence 1 Year Ago,Same county,66837,(+/- 5767 )
People,Residence 1 Year Ago,Different county,62699,(+/- 5060 )
People,Residence 1 Year Ago,Same state,30910,(+/- 3371 )
People,Residence 1 Year Ago,Different state,31789,(+/- 3927 )
People,Residence 1 Year Ago,Abroad,4034,(+/- 1732 )
Workers,Employment Status,Population 16 years and over,673517,(+/- 1970 )
Workers,Employment Status,In labor force,457331,(+/- 5265 )
Workers,Employment Status,Civilian labor force,455465,(+/- 5183 )
Workers,Employment Status,Employed,437627,(+/- 4932 )
Workers,Employment Status,Unemployed,17838,(+/- 1806 )
Workers,Employment Status,Armed Forces,1866,(+/- 482 )
Workers,Employment Status,Not in labor force,216186,(+/- 4763 )
Workers,Employment Status,Civilian labor force,455465,(+/- 5183 )
Workers,Employment Status,Unemployment Rate,3.9,(+/- 0.4 )
Workers,Commuting to Work,Workers 16 years and over,430172,(+/- 5267 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",343633,(+/- 6082 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",38219,(+/- 3055 )
Workers,Commuting to Work,Public transportation (excluding taxicab),2108,(+/- 780 )
Workers,Commuting to Work,Walked,16482,(+/- 2055 )
Workers,Commuting to Work,Other means,5953,(+/- 1230 )
Workers,Commuting to Work,Worked at home,23777,(+/- 2311 )
Workers,Commuting to Work,Mean travel time to work (minutes),16.6,(+/- 0.4 )
Workers,Occupation,Civilian employed population 16 years and over,437627,(+/- 4932 )
Workers,Occupation,"Management, business, science, and arts occupations",160619,(+/- 5044 )
Workers,Occupation,Service occupations,71908,(+/- 3612 )
Workers,Occupation,Sales and office occupations,100703,(+/- 4627 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",47577,(+/- 2722 )
Workers,Occupation,"Production, transportation, and material moving occupations",56820,(+/- 3084 )
Workers,Industry,Civilian employed population 16 years and over,437627,(+/- 4932 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",27191,(+/- 1817 )
Workers,Industry,Construction,32360,(+/- 2603 )
Workers,Industry,Manufacturing,47109,(+/- 3595 )
Workers,Industry,Wholesale trade,12257,(+/- 1460 )
Workers,Industry,Retail trade,52000,(+/- 3613 )
Workers,Industry,"Transportation and warehousing, and utilities",17177,(+/- 2061 )
Workers,Industry,Information,5847,(+/- 1114 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",31447,(+/- 2134 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",28387,(+/- 2854 )
Workers,Industry,"Educational services, and health care and social assistance",107514,(+/- 4486 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38001,(+/- 2655 )
Workers,Industry,"Other services, except public administration",18957,(+/- 2099 )
Workers,Industry,Public administration,19380,(+/- 1882 )
Workers,Class of Worker,Civilian employed population 16 years and over,437627,(+/- 4932 )
Workers,Class of Worker,Private wage and salary workers,332650,(+/- 4807 )
Workers,Class of Worker,Government workers,66530,(+/- 3664 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,36761,(+/- 2662 )
Workers,Class of Worker,Unpaid family workers,1686,(+/- 599 )
Housing,Housing Occupancy,Total housing units,383827,(+/- 214 )
Housing,Housing Occupancy,Occupied housing units,334003,(+/- 3659 )
Housing,Housing Occupancy,Vacant housing units,49824,(+/- 3620 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.2,(+/- 0.4 )
