Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,Total population,714504,(+/- 2459 ),740182,(+/- 2684 ),728254,(+/- 3622 ),767655,(+/- 4747 ),762535,(+/- 2058 ),761538,(+/- 2963 ),765730,(+/- 4198 ),706468,(+/- 6937 ),704328,(+/- 6687 )
People,Sex and Age,Male,352393,(+/- 2608 ),362381,(+/- 2119 ),358122,(+/- 3060 ),378305,(+/- 3678 ),366966,(+/- 1560 ),371106,(+/- 2307 ),378886,(+/- 2894 ),345432,(+/- 4375 ),333467,(+/- 3812 )
People,Sex and Age,Female,362111,(+/- 2757 ),377801,(+/- 2133 ),370132,(+/- 3270 ),389350,(+/- 3343 ),395569,(+/- 1447 ),390432,(+/- 2266 ),386844,(+/- 3069 ),361036,(+/- 5005 ),370861,(+/- 4469 )
People,Sex and Age,Under 5 years,34789,(+/- 1491 ),41114,(+/- 1205 ),38744,(+/- 1524 ),47561,(+/- 1518 ),51917,(+/- 471 ),46182,(+/- 1332 ),48142,(+/- 1057 ),42222,(+/- 1772 ),53497,(+/- 1476 )
People,Sex and Age,5 to 9 years,42381,(+/- 2614 ),41328,(+/- 2579 ),40690,(+/- 3130 ),51686,(+/- 3172 ),45479,(+/- 2788 ),49828,(+/- 3189 ),54816,(+/- 3311 ),39606,(+/- 2804 ),48360,(+/- 3873 )
People,Sex and Age,10 to 14 years,41254,(+/- 2450 ),45102,(+/- 2456 ),45186,(+/- 3066 ),48070,(+/- 2889 ),43261,(+/- 2773 ),47699,(+/- 2923 ),56220,(+/- 3736 ),51704,(+/- 3472 ),48666,(+/- 3784 )
People,Sex and Age,15 to 19 years,44424,(+/- 1911 ),46741,(+/- 1517 ),44493,(+/- 2247 ),53296,(+/- 2391 ),43054,(+/- 825 ),49824,(+/- 2224 ),52244,(+/- 1892 ),48884,(+/- 2815 ),47247,(+/- 1617 )
People,Sex and Age,20 to 24 years,44770,(+/- 1903 ),56230,(+/- 1654 ),43782,(+/- 2078 ),58868,(+/- 2343 ),56424,(+/- 816 ),41597,(+/- 2033 ),47978,(+/- 2143 ),41549,(+/- 2530 ),57087,(+/- 1720 )
People,Sex and Age,25 to 34 years,79417,(+/- 2014 ),93146,(+/- 1941 ),90317,(+/- 2738 ),101600,(+/- 2820 ),143343,(+/- 906 ),92678,(+/- 1974 ),96236,(+/- 2762 ),78815,(+/- 4029 ),110477,(+/- 3286 )
People,Sex and Age,35 to 44 years,86051,(+/- 1844 ),89175,(+/- 1664 ),90399,(+/- 2472 ),99252,(+/- 2417 ),104182,(+/- 745 ),92403,(+/- 2073 ),100543,(+/- 2490 ),87427,(+/- 3407 ),88465,(+/- 2453 )
