Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE,District 17 Estimate,District 17 MOE,District 18 Estimate,District 18 MOE,District 19 Estimate,District 19 MOE,District 20 Estimate,District 20 MOE,District 21 Estimate,District 21 MOE,District 22 Estimate,District 22 MOE,District 23 Estimate,District 23 MOE,District 24 Estimate,District 24 MOE,District 25 Estimate,District 25 MOE,District 26 Estimate,District 26 MOE,District 27 Estimate,District 27 MOE,District 28 Estimate,District 28 MOE,District 29 Estimate,District 29 MOE,District 30 Estimate,District 30 MOE,District 31 Estimate,District 31 MOE,District 32 Estimate,District 32 MOE,District 33 Estimate,District 33 MOE,District 34 Estimate,District 34 MOE,District 35 Estimate,District 35 MOE,District 36 Estimate,District 36 MOE
People,Sex and Age,Total population,717735,(+/- 3914 ),779662,(+/- 27763 ),842800,(+/- 5868 ),735554,(+/- 6569 ),764456,(+/- 11537 ),770255,(+/- 13806 ),770606,(+/- 28103 ),813519,(+/- 10510 ),793923,(+/- 24052 ),823296,(+/- 24329 ),759136,(+/- 5753 ),770350,(+/- 16870 ),707421,(+/- 5033 ),753147,(+/- 9960 ),776887,(+/- 14120 ),735784,(+/- 7298 ),761922,(+/- 11615 ),787352,(+/- 21789 ),734532,(+/- 6047 ),791141,(+/- 22187 ),804470,(+/- 17282 ),881407,(+/- 20047 ),772944,(+/- 18777 ),790319,(+/- 14242 ),762897,(+/- 15976 ),845376,(+/- 10550 ),736778,(+/- 6082 ),736150,(+/- 15678 ),765403,(+/- 23377 ),749289,(+/- 17031 ),830908,(+/- 5176 ),753715,(+/- 12321 ),764730,(+/- 25130 ),723156,(+/- 10670 ),822601,(+/- 23973 ),732975,(+/- 13220 )
People,Sex and Age,Male,350089,(+/- 3183 ),387942,(+/- 15941 ),413724,(+/- 4175 ),362285,(+/- 4415 ),378985,(+/- 7451 ),379030,(+/- 9991 ),377009,(+/- 14607 ),412909,(+/- 6181 ),383629,(+/- 13825 ),412983,(+/- 13788 ),382493,(+/- 4647 ),376059,(+/- 9317 ),358266,(+/- 3553 ),380229,(+/- 4689 ),382719,(+/- 8363 ),363047,(+/- 4799 ),382375,(+/- 6863 ),400199,(+/- 12835 ),372485,(+/- 3725 ),391669,(+/- 12526 ),398490,(+/- 10228 ),437321,(+/- 10370 ),389384,(+/- 10679 ),386460,(+/- 8566 ),379858,(+/- 8670 ),412154,(+/- 5816 ),361519,(+/- 3639 ),359473,(+/- 9368 ),383115,(+/- 12404 ),363550,(+/- 10243 ),411124,(+/- 3305 ),374001,(+/- 8917 ),386239,(+/- 13479 ),359479,(+/- 6368 ),414033,(+/- 12853 ),366627,(+/- 7614 )
People,Sex and Age,Female,367646,(+/- 3146 ),391720,(+/- 14320 ),429076,(+/- 3516 ),373269,(+/- 3837 ),385471,(+/- 8328 ),391225,(+/- 7602 ),393597,(+/- 15937 ),400610,(+/- 6475 ),410294,(+/- 14098 ),410313,(+/- 13820 ),376643,(+/- 4185 ),394291,(+/- 10897 ),349155,(+/- 3065 ),372918,(+/- 6227 ),394168,(+/- 8047 ),372737,(+/- 4817 ),379547,(+/- 6745 ),387153,(+/- 12089 ),362047,(+/- 3905 ),399472,(+/- 12545 ),405980,(+/- 9953 ),444086,(+/- 12251 ),383560,(+/- 11194 ),403859,(+/- 9832 ),383039,(+/- 9134 ),433222,(+/- 6681 ),375259,(+/- 4633 ),376677,(+/- 8340 ),382288,(+/- 14660 ),385739,(+/- 10079 ),419784,(+/- 3036 ),379714,(+/- 8237 ),378491,(+/- 13714 ),363677,(+/- 6089 ),408568,(+/- 13983 ),366348,(+/- 8659 )
People,Sex and Age,Under 5 years,47701,(+/- 1937 ),56469,(+/- 5166 ),52882,(+/- 1789 ),44520,(+/- 1795 ),55111,(+/- 3559 ),50326,(+/- 3162 ),57465,(+/- 5513 ),52121,(+/- 2267 ),57805,(+/- 6018 ),54028,(+/- 4277 ),57211,(+/- 2398 ),54117,(+/- 3591 ),48378,(+/- 1709 ),50525,(+/- 1823 ),69711,(+/- 3449 ),58171,(+/- 1628 ),51227,(+/- 2865 ),62856,(+/- 5260 ),50073,(+/- 1368 ),55378,(+/- 4608 ),44286,(+/- 4712 ),64436,(+/- 3997 ),56864,(+/- 4239 ),47895,(+/- 4275 ),46053,(+/- 2987 ),58821,(+/- 3374 ),50397,(+/- 1510 ),62873,(+/- 3288 ),70347,(+/- 4897 ),55986,(+/- 4637 ),59604,(+/- 1829 ),54811,(+/- 3845 ),69505,(+/- 5138 ),61269,(+/- 3223 ),66854,(+/- 5433 ),50835,(+/- 3422 )
People,Sex and Age,5 to 9 years,50943,(+/- 3255 ),56392,(+/- 4424 ),61958,(+/- 3666 ),50975,(+/- 2977 ),57626,(+/- 4485 ),50888,(+/- 4335 ),56175,(+/- 4661 ),58300,(+/- 5082 ),60597,(+/- 5466 ),60958,(+/- 4953 ),51271,(+/- 3924 ),51899,(+/- 4820 ),49765,(+/- 2649 ),54065,(+/- 3781 ),61904,(+/- 4200 ),55376,(+/- 3612 ),47861,(+/- 3278 ),62241,(+/- 5411 ),54685,(+/- 3570 ),55540,(+/- 4311 ),43017,(+/- 4062 ),65152,(+/- 5257 ),55840,(+/- 3902 ),53489,(+/- 3320 ),47258,(+/- 3722 ),66952,(+/- 4627 ),48973,(+/- 2765 ),61263,(+/- 4704 ),60547,(+/- 4748 ),60604,(+/- 4898 ),61647,(+/- 3050 ),51605,(+/- 4054 ),74487,(+/- 5818 ),56458,(+/- 4103 ),62684,(+/- 4832 ),51853,(+/- 4054 )
People,Sex and Age,10 to 14 years,47999,(+/- 3458 ),52216,(+/- 5639 ),65934,(+/- 3527 ),52700,(+/- 3016 ),55484,(+/- 4303 ),59547,(+/- 3922 ),52675,(+/- 5676 ),57082,(+/- 4712 ),55301,(+/- 4819 ),60604,(+/- 5960 ),54146,(+/- 3406 ),52795,(+/- 4135 ),48552,(+/- 2623 ),51281,(+/- 3445 ),75244,(+/- 4711 ),55887,(+/- 3811 ),49988,(+/- 3213 ),53804,(+/- 4328 ),50522,(+/- 3373 ),58337,(+/- 4542 ),45645,(+/- 3621 ),72474,(+/- 5415 ),65907,(+/- 4819 ),51321,(+/- 3932 ),56615,(+/- 4594 ),67262,(+/- 3520 ),53831,(+/- 2714 ),66153,(+/- 4948 ),65798,(+/- 5463 ),56628,(+/- 4822 ),63480,(+/- 2895 ),48693,(+/- 3983 ),62959,(+/- 4526 ),58290,(+/- 3720 ),55072,(+/- 4565 ),51267,(+/- 3863 )
People,Sex and Age,15 to 19 years,54797,(+/- 2662 ),45192,(+/- 5257 ),61448,(+/- 1431 ),51294,(+/- 2811 ),53140,(+/- 3204 ),57783,(+/- 3346 ),42770,(+/- 4713 ),56656,(+/- 2723 ),58666,(+/- 5288 ),55176,(+/- 4757 ),55305,(+/- 3366 ),52636,(+/- 3951 ),53157,(+/- 2633 ),49414,(+/- 2158 ),63478,(+/- 3324 ),53500,(+/- 2133 ),63393,(+/- 3192 ),58398,(+/- 4720 ),57295,(+/- 2753 ),59348,(+/- 4582 ),55422,(+/- 4669 ),63130,(+/- 4050 ),59798,(+/- 3928 ),45564,(+/- 3715 ),54751,(+/- 5503 ),62308,(+/- 2856 ),53000,(+/- 2275 ),62157,(+/- 3847 ),60879,(+/- 4781 ),51003,(+/- 4322 ),57925,(+/- 1472 ),46583,(+/- 4003 ),62035,(+/- 4973 ),58488,(+/- 2550 ),56570,(+/- 3900 ),53276,(+/- 3781 )
People,Sex and Age,20 to 24 years,50447,(+/- 3084 ),50073,(+/- 4716 ),49244,(+/- 1214 ),41520,(+/- 2598 ),48168,(+/- 4698 ),57149,(+/- 3841 ),43068,(+/- 4309 ),54576,(+/- 3358 ),68224,(+/- 5694 ),45287,(+/- 4466 ),56056,(+/- 3225 ),47343,(+/- 3398 ),46994,(+/- 2603 ),48097,(+/- 1730 ),57827,(+/- 3187 ),61905,(+/- 2024 ),80418,(+/- 2581 ),62481,(+/- 5131 ),67953,(+/- 2662 ),67950,(+/- 5067 ),62362,(+/- 6561 ),51260,(+/- 3713 ),56928,(+/- 5026 ),48334,(+/- 4053 ),51639,(+/- 4911 ),52540,(+/- 2380 ),51354,(+/- 2720 ),52843,(+/- 3806 ),56145,(+/- 4690 ),58351,(+/- 4044 ),55030,(+/- 1514 ),49383,(+/- 4192 ),60020,(+/- 4370 ),57870,(+/- 2827 ),72942,(+/- 5720 ),50148,(+/- 4083 )
People,Sex and Age,25 to 34 years,88585,(+/- 2835 ),129251,(+/- 8381 ),105951,(+/- 1963 ),85294,(+/- 3807 ),106424,(+/- 5710 ),107266,(+/- 6148 ),134693,(+/- 9042 ),105269,(+/- 4294 ),132318,(+/- 7265 ),125655,(+/- 7020 ),106549,(+/- 2993 ),117639,(+/- 5975 ),95143,(+/- 3433 ),105380,(+/- 2746 ),106131,(+/- 4170 ),112773,(+/- 3220 ),118375,(+/- 5122 ),129077,(+/- 6846 ),105786,(+/- 3548 ),132751,(+/- 7458 ),116417,(+/- 6986 ),112750,(+/- 4840 ),108187,(+/- 6794 ),141002,(+/- 6286 ),101690,(+/- 5209 ),112386,(+/- 5386 ),96855,(+/- 4051 ),97564,(+/- 4865 ),114498,(+/- 6508 ),113870,(+/- 5358 ),123134,(+/- 3201 ),123168,(+/- 5198 ),115832,(+/- 7186 ),89985,(+/- 3690 ),149029,(+/- 8035 ),94913,(+/- 5049 )
People,Sex and Age,35 to 44 years,84641,(+/- 2941 ),117655,(+/- 6635 ),133426,(+/- 2436 ),94125,(+/- 3856 ),104981,(+/- 4700 ),100242,(+/- 4935 ),112992,(+/- 8556 ),108622,(+/- 3443 ),104966,(+/- 6657 ),120701,(+/- 6483 ),84364,(+/- 2358 ),102978,(+/- 5611 ),88847,(+/- 2913 ),99276,(+/- 3518 ),101000,(+/- 4379 ),91309,(+/- 2505 ),92897,(+/- 4256 ),112041,(+/- 6442 ),89424,(+/- 2988 ),106045,(+/- 4993 ),106390,(+/- 5581 ),135428,(+/- 5427 ),100419,(+/- 5250 ),115677,(+/- 5097 ),103285,(+/- 4882 ),129248,(+/- 4465 ),88843,(+/- 3391 ),94303,(+/- 4082 ),105275,(+/- 6441 ),98268,(+/- 5570 ),123083,(+/- 1916 ),103924,(+/- 5182 ),103572,(+/- 6050 ),87146,(+/- 4122 ),112527,(+/- 5715 ),90918,(+/- 4379 )
