Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,624594,(*****)
People,Sex and Age,Male,307874,(+/- 1372 )
People,Sex and Age,Female,316720,(+/- 1372 )
People,Sex and Age,Under 5 years,30464,(+/- 783 )
People,Sex and Age,5 to 9 years,33080,(+/- 1806 )
People,Sex and Age,10 to 14 years,33976,(+/- 1756 )
People,Sex and Age,15 to 19 years,41770,(+/- 1396 )
People,Sex and Age,20 to 24 years,45741,(+/- 1496 )
People,Sex and Age,25 to 34 years,71885,(+/- 1408 )
People,Sex and Age,35 to 44 years,70519,(+/- 1156 )
People,Sex and Age,45 to 54 years,86724,(+/- 1014 )
People,Sex and Age,55 to 59 years,49353,(+/- 2049 )
People,Sex and Age,60 to 64 years,47482,(+/- 1988 )
People,Sex and Age,65 to 74 years,68975,(+/- 704 )
People,Sex and Age,75 to 84 years,30413,(+/- 1182 )
People,Sex and Age,85 years and over,14212,(+/- 1185 )
People,Sex and Age,Median age (years),43.1,(+/- 0.3 )
People,Sex and Age,18 years and over,505910,(+/- 1002 )
People,Sex and Age,65 years and over,113600,(+/- 698 )
People,Race,Total population,624594,(*****)
People,Race,One race,612270,(+/- 1632 )
People,Race,White,589379,(+/- 961 )
People,Race,Black or African American,7893,(+/- 1034 )
People,Race,American Indian and Alaska Native,2177,(+/- 936 )
People,Race,Asian,9406,(+/- 1088 )
People,Race,Native Hawaiian and Other Pacific Islander,252,(+/- 261 )
People,Race,Some other race,3163,(+/- 1496 )
People,Race,Two or more races,12324,(+/- 1632 )
People,Hispanic or Latino and Race,Total population,624594,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),12546,(+/- 1061 )
People,Hispanic or Latino and Race,Mexican,3560,(+/- 917 )
People,Hispanic or Latino and Race,Puerto Rican,3526,(+/- 1452 )
People,Hispanic or Latino and Race,Cuban,1221,(+/- 551 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,4239,(+/- 882 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,612048,(+/- 1061 )
People,Place of Birth,Total population,624594,(*****)
People,Place of Birth,Native,596371,(+/- 2220 )
People,Place of Birth,Born in United States,590208,(+/- 2583 )
People,Place of Birth,State of residence,313645,(+/- 6959 )
People,Place of Birth,Different state,276563,(+/- 6959 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6163,(+/- 1052 )
People,Place of Birth,Foreign born,28223,(+/- 2220 )
People,Ancestry,Total population,624594,(*****)
People,Ancestry,American,52128,(+/- 4064 )
People,Ancestry,Arab,2654,(+/- 1495 )
People,Ancestry,Czech,2424,(+/- 749 )
People,Ancestry,Danish,2295,(+/- 633 )
People,Ancestry,Dutch,7945,(+/- 1492 )
People,Ancestry,English,107376,(+/- 5527 )
People,Ancestry,French (except Basque),71853,(+/- 4763 )
People,Ancestry,French Canadian,48342,(+/- 3456 )
People,Ancestry,German,65728,(+/- 4465 )
People,Ancestry,Greek,2120,(+/- 704 )
People,Ancestry,Hungarian,3577,(+/- 785 )
People,Ancestry,Irish,109554,(+/- 4848 )
People,Ancestry,Italian,47470,(+/- 3745 )
People,Ancestry,Lithuanian,2442,(+/- 990 )
People,Ancestry,Norwegian,5791,(+/- 1531 )
People,Ancestry,Polish,24816,(+/- 3212 )
People,Ancestry,Portuguese,2453,(+/- 713 )
People,Ancestry,Russian,7748,(+/- 1712 )
People,Ancestry,Scotch-Irish,7482,(+/- 1328 )
People,Ancestry,Scottish,29386,(+/- 3844 )
People,Ancestry,Slovak,1047,(+/- 496 )
People,Ancestry,Subsaharan African,4337,(+/- 1334 )
People,Ancestry,Swedish,10527,(+/- 1459 )
People,Ancestry,Swiss,2365,(+/- 745 )
People,Ancestry,Ukrainian,1940,(+/- 670 )
People,Ancestry,Welsh,7899,(+/- 1512 )
People,Ancestry,West Indian (excluding Hispanic origin groups),816,(+/- 458 )
People,Veteran Status,Civilian population 18 years and over,505417,(+/- 1147 )
People,Veteran Status,Civilian veterans,37412,(+/- 1656 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,618622,(+/- 345 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,90464,(+/- 4470 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,118351,(+/- 1005 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6501,(+/- 1121 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,389462,(+/- 1347 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,49458,(+/- 3537 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,110809,(+/- 771 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,34505,(+/- 1995 )
People,Residence 1 Year Ago,Population 1 year and over,619387,(+/- 803 )
People,Residence 1 Year Ago,Same house,535268,(+/- 5519 )
People,Residence 1 Year Ago,Different house in the U.S.,82006,(+/- 5438 )
People,Residence 1 Year Ago,Same county,46864,(+/- 4632 )
People,Residence 1 Year Ago,Different county,35142,(+/- 3202 )
People,Residence 1 Year Ago,Same state,13880,(+/- 2219 )
People,Residence 1 Year Ago,Different state,21262,(+/- 2769 )
People,Residence 1 Year Ago,Abroad,2113,(+/- 643 )
Workers,Employment Status,Population 16 years and over,519521,(+/- 1311 )
Workers,Employment Status,In labor force,338584,(+/- 4286 )
Workers,Employment Status,Civilian labor force,338091,(+/- 4276 )
Workers,Employment Status,Employed,324824,(+/- 4216 )
Workers,Employment Status,Unemployed,13267,(+/- 1842 )
Workers,Employment Status,Armed Forces,493,(+/- 345 )
Workers,Employment Status,Not in labor force,180937,(+/- 4138 )
Workers,Employment Status,Civilian labor force,338091,(+/- 4276 )
Workers,Employment Status,Unemployment Rate,3.9,(+/- 0.5 )
Workers,Commuting to Work,Workers 16 years and over,318010,(+/- 4125 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",240282,(+/- 4857 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",25358,(+/- 2500 )
Workers,Commuting to Work,Public transportation (excluding taxicab),4914,(+/- 1188 )
Workers,Commuting to Work,Walked,18885,(+/- 2042 )
Workers,Commuting to Work,Other means,6374,(+/- 1325 )
Workers,Commuting to Work,Worked at home,22197,(+/- 1660 )
Workers,Commuting to Work,Mean travel time to work (minutes),23.1,(+/- 0.5 )
Workers,Occupation,Civilian employed population 16 years and over,324824,(+/- 4216 )
Workers,Occupation,"Management, business, science, and arts occupations",131867,(+/- 4210 )
Workers,Occupation,Service occupations,56719,(+/- 3282 )
Workers,Occupation,Sales and office occupations,68944,(+/- 3173 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31556,(+/- 2300 )
