Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE
People,Sex and Age,Total population,738149,(+/- 9359 ),728550,(+/- 9188 ),722277,(+/- 3617 ),715254,(+/- 2542 ),708228,(+/- 2178 ),699178,(+/- 8447 ),766221,(+/- 11577 ),738218,(+/- 11363 ),739873,(+/- 12312 ),732052,(+/- 11976 )
People,Sex and Age,Male,371246,(+/- 5841 ),365455,(+/- 5241 ),357099,(+/- 2611 ),359490,(+/- 2521 ),353595,(+/- 1914 ),349526,(+/- 5757 ),384456,(+/- 7577 ),363891,(+/- 8028 ),368455,(+/- 7520 ),366513,(+/- 7736 )
People,Sex and Age,Female,366903,(+/- 7193 ),363095,(+/- 6408 ),365178,(+/- 2391 ),355764,(+/- 2147 ),354633,(+/- 1901 ),349652,(+/- 5060 ),381765,(+/- 8277 ),374327,(+/- 7068 ),371418,(+/- 7658 ),365539,(+/- 6514 )
People,Sex and Age,Under 5 years,49607,(+/- 3208 ),41940,(+/- 2689 ),43189,(+/- 1358 ),54793,(+/- 1075 ),40618,(+/- 942 ),39495,(+/- 2691 ),34657,(+/- 3217 ),53061,(+/- 3441 ),45142,(+/- 3414 ),47442,(+/- 2595 )
People,Sex and Age,5 to 9 years,47783,(+/- 3355 ),42126,(+/- 2842 ),48731,(+/- 2460 ),60671,(+/- 2849 ),41217,(+/- 2749 ),38705,(+/- 2475 ),37970,(+/- 3279 ),54166,(+/- 3250 ),45448,(+/- 3195 ),49358,(+/- 3381 )
People,Sex and Age,10 to 14 years,47646,(+/- 2962 ),41167,(+/- 2687 ),46520,(+/- 2746 ),57188,(+/- 3087 ),44772,(+/- 2553 ),38965,(+/- 2672 ),29631,(+/- 2823 ),48985,(+/- 3609 ),42295,(+/- 3310 ),45437,(+/- 3065 )
People,Sex and Age,15 to 19 years,42693,(+/- 3339 ),44524,(+/- 3093 ),48358,(+/- 1921 ),54328,(+/- 2236 ),51056,(+/- 1568 ),38182,(+/- 2486 ),36735,(+/- 2575 ),47729,(+/- 3393 ),42566,(+/- 2791 ),44606,(+/- 2702 )
People,Sex and Age,20 to 24 years,38160,(+/- 3700 ),56120,(+/- 2795 ),41409,(+/- 1887 ),45089,(+/- 1799 ),56432,(+/- 1596 ),44216,(+/- 2852 ),59872,(+/- 4618 ),44245,(+/- 3949 ),42860,(+/- 4049 ),53540,(+/- 3488 )
People,Sex and Age,25 to 34 years,105921,(+/- 5355 ),105288,(+/- 4276 ),88052,(+/- 1962 ),94464,(+/- 1763 ),97689,(+/- 1766 ),94652,(+/- 3758 ),161617,(+/- 6242 ),88282,(+/- 5074 ),124412,(+/- 5811 ),114426,(+/- 3896 )
People,Sex and Age,35 to 44 years,102076,(+/- 3958 ),93673,(+/- 3790 ),89298,(+/- 1686 ),86112,(+/- 2089 ),80077,(+/- 1321 ),78590,(+/- 2781 ),109810,(+/- 5666 ),105177,(+/- 4796 ),106763,(+/- 4355 ),92458,(+/- 3283 )
People,Sex and Age,45 to 54 years,110304,(+/- 4472 ),90775,(+/- 3249 ),95581,(+/- 1791 ),82068,(+/- 1951 ),85922,(+/- 1355 ),87903,(+/- 3128 ),97839,(+/- 4383 ),108415,(+/- 5066 ),100679,(+/- 4241 ),91741,(+/- 3359 )
