Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE
People,Sex and Age,Total population,617131,(+/- 4104 ),622850,(+/- 3835 ),591121,(+/- 1378 )
People,Sex and Age,Male,307313,(+/- 3059 ),303964,(+/- 2658 ),289636,(+/- 1793 )
People,Sex and Age,Female,309818,(+/- 3126 ),318886,(+/- 2980 ),301485,(+/- 1600 )
People,Sex and Age,Under 5 years,32254,(+/- 1540 ),35421,(+/- 1260 ),33993,(+/- 1284 )
People,Sex and Age,5 to 9 years,30725,(+/- 2008 ),39875,(+/- 2762 ),32230,(+/- 2258 )
People,Sex and Age,10 to 14 years,35139,(+/- 1949 ),36954,(+/- 2619 ),34651,(+/- 2306 )
People,Sex and Age,15 to 19 years,42638,(+/- 2264 ),33980,(+/- 2015 ),36324,(+/- 2149 )
People,Sex and Age,20 to 24 years,46199,(+/- 2112 ),35167,(+/- 2111 ),33795,(+/- 1964 )
People,Sex and Age,25 to 34 years,75700,(+/- 1996 ),74249,(+/- 1761 ),66155,(+/- 1735 )
People,Sex and Age,35 to 44 years,73138,(+/- 1362 ),73850,(+/- 2086 ),75611,(+/- 1586 )
People,Sex and Age,45 to 54 years,80349,(+/- 1564 ),88064,(+/- 1970 ),75011,(+/- 1216 )
People,Sex and Age,55 to 59 years,45788,(+/- 2333 ),47106,(+/- 3194 ),42867,(+/- 2867 )
People,Sex and Age,60 to 64 years,40266,(+/- 2533 ),46078,(+/- 3133 ),43750,(+/- 2724 )
People,Sex and Age,65 to 74 years,67638,(+/- 1578 ),68148,(+/- 1683 ),68253,(+/- 1125 )
People,Sex and Age,75 to 84 years,32493,(+/- 1838 ),31629,(+/- 1626 ),33671,(+/- 1841 )
People,Sex and Age,85 years and over,14804,(+/- 1675 ),12329,(+/- 1435 ),14810,(+/- 1772 )
People,Sex and Age,Median age (years),41.4,(+/- 0.4 ),42.6,(+/- 0.5 ),42.9,(+/- 0.4 )
People,Sex and Age,18 years and over,496656,(+/- 3260 ),488440,(+/- 3442 ),469123,(+/- 2046 )
People,Sex and Age,65 years and over,114935,(+/- 2182 ),112106,(+/- 2285 ),116734,(+/- 1608 )
People,Race,Total population,617131,(+/- 4104 ),622850,(+/- 3835 ),591121,(+/- 1378 )
People,Race,One race,608039,(+/- 4382 ),610742,(+/- 4449 ),581017,(+/- 2625 )
People,Race,White,581788,(+/- 4419 ),569457,(+/- 4453 ),552950,(+/- 2070 )
People,Race,Black or African American,17465,(+/- 1707 ),30779,(+/- 2093 ),21477,(+/- 1990 )
People,Race,American Indian and Alaska Native,1096,(+/- 627 ),2012,(+/- 821 ),743,(+/- 630 )
People,Race,Asian,5892,(+/- 852 ),5041,(+/- 865 ),3200,(+/- 882 )
People,Race,Native Hawaiian and Other Pacific Islander,184,(+/- 299 ),220,(+/- 336 ),0,(+/- 193 )
