Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,585501,(*****)
People,Sex and Age,Male,298205,(+/- 2006 )
People,Sex and Age,Female,287296,(+/- 2006 )
People,Sex and Age,Under 5 years,37873,(+/- 1292 )
People,Sex and Age,5 to 9 years,43974,(+/- 2755 )
People,Sex and Age,10 to 14 years,37253,(+/- 2883 )
People,Sex and Age,15 to 19 years,37465,(+/- 1843 )
People,Sex and Age,20 to 24 years,38142,(+/- 2332 )
People,Sex and Age,25 to 34 years,80974,(+/- 2673 )
People,Sex and Age,35 to 44 years,72132,(+/- 1890 )
People,Sex and Age,45 to 54 years,69086,(+/- 1805 )
People,Sex and Age,55 to 59 years,39389,(+/- 2591 )
People,Sex and Age,60 to 64 years,41630,(+/- 2569 )
People,Sex and Age,65 to 74 years,53643,(+/- 988 )
People,Sex and Age,75 to 84 years,24089,(+/- 1227 )
People,Sex and Age,85 years and over,9851,(+/- 1243 )
People,Sex and Age,Median age (years),37.2,(+/- 0.4 )
People,Sex and Age,18 years and over,444641,(+/- 1641 )
People,Sex and Age,65 years and over,87583,(+/- 847 )
People,Race,Total population,585501,(*****)
People,Race,One race,570197,(+/- 2090 )
People,Race,White,538819,(+/- 2339 )
People,Race,Black or African American,5970,(+/- 1540 )
People,Race,American Indian and Alaska Native,13194,(+/- 1467 )
People,Race,Asian,6012,(+/- 1394 )
People,Race,Native Hawaiian and Other Pacific Islander,420,(+/- 518 )
People,Race,Some other race,5782,(+/- 1948 )
People,Race,Two or more races,15304,(+/- 2090 )
People,Hispanic or Latino and Race,Total population,585501,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),56264,(+/- 683 )
People,Hispanic or Latino and Race,Mexican,43955,(+/- 2317 )
People,Hispanic or Latino and Race,Puerto Rican,872,(+/- 516 )
People,Hispanic or Latino and Race,Cuban,62,(+/- 95 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,11375,(+/- 2328 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,529237,(+/- 683 )
People,Place of Birth,Total population,585501,(*****)
People,Place of Birth,Native,566645,(+/- 2573 )
People,Place of Birth,Born in United States,562483,(+/- 2819 )
People,Place of Birth,State of residence,250041,(+/- 7049 )
People,Place of Birth,Different state,312442,(+/- 7234 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4162,(+/- 1218 )
People,Place of Birth,Foreign born,18856,(+/- 2573 )
People,Ancestry,Total population,585501,(*****)
People,Ancestry,American,29416,(+/- 4088 )
People,Ancestry,Arab,1251,(+/- 1014 )
People,Ancestry,Czech,3655,(+/- 1086 )
People,Ancestry,Danish,8668,(+/- 2090 )
People,Ancestry,Dutch,11752,(+/- 3146 )
People,Ancestry,English,71372,(+/- 5307 )
People,Ancestry,French (except Basque),13724,(+/- 2146 )
People,Ancestry,French Canadian,3184,(+/- 1339 )
People,Ancestry,German,131713,(+/- 7582 )
People,Ancestry,Greek,2035,(+/- 1011 )
People,Ancestry,Hungarian,1919,(+/- 921 )
People,Ancestry,Irish,62834,(+/- 5031 )
People,Ancestry,Italian,19101,(+/- 2928 )
People,Ancestry,Lithuanian,744,(+/- 579 )
People,Ancestry,Norwegian,18800,(+/- 2884 )
People,Ancestry,Polish,9210,(+/- 1850 )
People,Ancestry,Portuguese,767,(+/- 470 )
People,Ancestry,Russian,4663,(+/- 1470 )
People,Ancestry,Scotch-Irish,8305,(+/- 2063 )
People,Ancestry,Scottish,20562,(+/- 3003 )
People,Ancestry,Slovak,372,(+/- 292 )
People,Ancestry,Subsaharan African,2947,(+/- 1694 )
People,Ancestry,Swedish,17429,(+/- 2952 )
People,Ancestry,Swiss,2685,(+/- 1329 )
People,Ancestry,Ukrainian,438,(+/- 245 )
People,Ancestry,Welsh,7622,(+/- 1901 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1501,(+/- 1055 )
People,Veteran Status,Civilian population 18 years and over,442250,(+/- 1769 )
People,Veteran Status,Civilian veterans,47535,(+/- 3109 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,576027,(+/- 635 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,78388,(+/- 4057 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,140464,(+/- 1648 )
